Group,Set,ID,B_Area,B_Length,B_Thickness,PR,R_Area,R_Length,R_Location,Contacts,dR/dX,GF,dR/R_0,Strain,nR
1,1,1,642,64.2,0.26,0.5,46.25,8,0,0,0.0004,0.028253,4.79798,0.169822,6.79288
1,1,2,592,59.2,0.26,0.5,46.25,8,0,0,0.000606,0.029013,5.384615,0.185593,7.42372
1,1,3,542,54.2,0.26,0.5,46.25,8,0,0,0.00125,0.03269,6.692407,0.204722,8.18888
1,1,4,492,49.2,0.26,0.5,46.25,8,0,0,0.00113,0.029721,6.789649,0.228443,9.13772
1,1,5,442,44.2,0.26,0.5,46.25,8,0,0,0.0018,0.030835,7.575758,0.245687,9.82748
1,1,6,392,39.2,0.26,0.5,46.25,8,0,0,0.0022,0.020245,7.98722,0.394529,15.78116
1,1,7,342,34.2,0.26,0.5,46.25,8,0,0,0.0023,0.067189,9.976526,0.148484,5.93934
1,1,8,292,29.2,0.26,0.5,46.25,8,0,0,0.0056,0.035544,14.030612,0.394736,15.78946
1,1,9,242,24.2,0.26,0.5,46.25,8,0,0,0.0065,0.036938,14.175258,0.383761,15.35046
1,1,10,192,19.2,0.26,0.5,46.25,8,0,0,0.0113,0.014978,12.068966,0.805757,32.23026
1,2,11,376,37.6,0.26,0.5,46.25,8,0,0,0.003,0.037073,4.624592,0.124742,4.98966
1,2,12,376,37.6,0.52,0.5,46.25,8,0,0,0.0078,0.050856,8.821321,0.173459,6.93834
1,2,13,376,37.6,0.78,0.5,46.25,8,0,0,0.0226,0.147185,10.586924,0.071929,2.87718
1,2,14,376,37.6,1.04,0.5,46.25,8,0,0,0.0339,0.202292,16.604478,0.082082,3.28328
1,2,15,376,37.6,1.3,0.5,46.25,8,0,0,0.0436,0.257544,21.139706,0.082082,3.28328
1,3,16,500,50,0.26,0.5,46.25,8,0,0,0.028,0.054517,12.212644,0.224015,8.96062
1,3,17,500,50,0.26,0.5,66.25,12,0,0,0.0384,0.036194,8.108108,0.224015,8.96062
1,3,18,500,50,0.26,0.5,71.25,13,0,0,0.0119,0.067788,15.185602,0.224015,8.96062
1,3,19,500,50,0.26,0.5,76.25,14,0,0,0.0229,0.05044,11.299435,0.224015,8.96062
1,3,20,500,50,0.26,0.5,86.25,16,0,0,0.119,0.124799,27.956989,0.224015,8.96062
1,4,21,500,50,0.26,0.5,46.25,8,0,0,0.0274,0.080869,18.115942,0.224015,8.96062
1,4,22,500,50,0.26,0.5,46.25,8,5,0,0.0154,0.050832,11.387164,0.224015,8.96062
1,4,23,500,50,0.26,0.5,46.25,8,10,0,0.0149,0.056151,12.578616,0.224015,8.96062
1,4,24,500,50,0.26,0.5,46.25,8,15,0,0.136,0.193933,4.344392,0.224015,8.96062
1,4,25,500,50,0.26,0.5,46.25,8,20,0,0.0343,0.053143,11.904762,0.224015,8.96062
1,5,26,442,44.2,0.26,0.5,46.25,8,0,1,0.006,0.016785,4.452926,0.265293,10.61172
1,5,27,392,39.2,0.26,0.5,46.25,8,0,1,0.0102,0.044692,8.292383,0.185547,7.42188
1,5,28,342,34.2,0.26,0.5,46.25,8,0,1,0.0103,0.038944,7.033248,0.180598,7.2239
1,5,29,292,29.2,0.26,0.5,46.25,8,0,1,0.0115,0.05017,7.267442,0.144857,5.79428
1,5,30,242,24.2,0.26,0.5,46.25,8,0,1,0.0097,0.030372,5.829016,0.19192,7.6768
1,5,31,192,19.2,0.26,0.5,46.25,8,0,1,0.0088,0.018822,5.141388,0.273153,10.92614
1,6,32,442,44.2,0.26,0.5,46.25,8,0,1,0.0041,0.014525,3.286684,0.226282,9.05128
1,6,33,442,44.2,0.52,0.5,46.25,8,0,1,0.0083,0.091538,11.335784,0.123837,4.95348
1,6,34,442,44.2,0.78,0.5,46.25,8,0,1,0.0139,0.150452,12.231504,0.081299,3.25194
1,6,35,442,44.2,1.04,0.5,46.25,8,0,1,0.0193,0.21001,14.672686,0.069867,2.79466
1,6,36,442,44.2,1.3,0.5,46.25,8,0,1,0.0201,0.190989,13.826185,0.072392,2.8957
