Group,Set,ID,V,AbsJ,J,I,t,R
4,12,A,0.00E+00,1.33E-05,1.33E-05,5.16E-11,0.00E+00,0.00E+00
4,7,A,5.00E-02,2.75E+00,2.75E+00,1.07E-05,5.75E-01,4.69E+03
4,7,A,1.00E-01,5.49E+00,5.49E+00,2.13E-05,7.64E-01,4.69E+03
4,7,A,1.50E-01,8.24E+00,8.24E+00,3.19E-05,9.51E-01,4.70E+03
4,7,A,2.00E-01,1.10E+01,1.10E+01,4.26E-05,1.14E+00,4.70E+03
4,7,A,2.50E-01,1.37E+01,1.37E+01,5.32E-05,1.33E+00,4.70E+03
4,7,A,3.00E-01,1.65E+01,1.65E+01,6.38E-05,1.52E+00,4.70E+03
4,7,A,3.50E-01,1.92E+01,1.92E+01,7.45E-05,1.70E+00,4.70E+03
4,7,A,4.00E-01,2.20E+01,2.20E+01,8.51E-05,1.89E+00,4.70E+03
4,7,A,4.50E-01,2.47E+01,2.47E+01,9.58E-05,2.08E+00,4.70E+03
4,7,A,5.00E-01,2.74E+01,2.74E+01,1.06E-04,2.65E+00,4.70E+03
4,7,A,5.00E-01,2.74E+01,2.74E+01,1.06E-04,2.84E+00,4.70E+03
4,7,A,4.50E-01,2.47E+01,2.47E+01,9.59E-05,3.22E+00,4.69E+03
4,7,A,4.00E-01,2.20E+01,2.20E+01,8.52E-05,3.41E+00,4.69E+03
4,7,A,3.50E-01,1.92E+01,1.92E+01,7.46E-05,3.60E+00,4.69E+03
4,7,A,3.00E-01,1.65E+01,1.65E+01,6.39E-05,3.78E+00,4.69E+03
4,7,A,2.50E-01,1.37E+01,1.37E+01,5.33E-05,3.97E+00,4.69E+03
4,7,A,2.00E-01,1.10E+01,1.10E+01,4.27E-05,4.16E+00,4.69E+03
4,7,A,1.50E-01,8.25E+00,8.25E+00,3.20E-05,4.35E+00,4.69E+03
4,7,A,1.00E-01,5.51E+00,5.51E+00,2.14E-05,4.54E+00,4.68E+03
4,7,A,5.00E-02,2.76E+00,2.76E+00,1.07E-05,4.72E+00,4.68E+03
4,7,A,0.00E+00,4.96E-05,4.96E-05,1.92E-10,5.52E+00,0.00E+00
4,7,A,-5.00E-02,2.75E+00,-2.75E+00,-1.06E-05,6.29E+00,4.70E+03
4,7,A,-1.00E-01,5.50E+00,-5.50E+00,-2.13E-05,6.48E+00,4.69E+03
4,7,A,-1.50E-01,8.25E+00,-8.25E+00,-3.20E-05,6.67E+00,4.69E+03
4,7,A,-2.00E-01,1.10E+01,-1.10E+01,-4.27E-05,6.86E+00,4.69E+03
4,7,A,-2.50E-01,1.38E+01,-1.38E+01,-5.33E-05,7.05E+00,4.69E+03
4,7,A,-3.00E-01,1.65E+01,-1.65E+01,-6.40E-05,7.23E+00,4.69E+03
4,7,A,-3.50E-01,1.93E+01,-1.93E+01,-7.47E-05,7.42E+00,4.68E+03
4,7,A,-4.00E-01,2.20E+01,-2.20E+01,-8.54E-05,7.61E+00,4.68E+03
4,7,A,-4.50E-01,2.48E+01,-2.48E+01,-9.61E-05,7.80E+00,4.68E+03
4,7,A,-5.00E-01,2.75E+01,-2.75E+01,-1.07E-04,8.37E+00,4.68E+03
4,7,A,-5.00E-01,2.75E+01,-2.75E+01,-1.07E-04,8.56E+00,4.68E+03
4,7,A,-4.50E-01,2.48E+01,-2.48E+01,-9.61E-05,8.94E+00,4.68E+03
4,7,A,-4.00E-01,2.20E+01,-2.20E+01,-8.55E-05,9.13E+00,4.68E+03
4,7,A,-3.50E-01,1.93E+01,-1.93E+01,-7.48E-05,9.31E+00,4.68E+03
4,7,A,-3.00E-01,1.65E+01,-1.65E+01,-6.41E-05,9.50E+00,4.68E+03
4,7,A,-2.50E-01,1.38E+01,-1.38E+01,-5.34E-05,9.69E+00,4.68E+03
4,7,A,-2.00E-01,1.10E+01,-1.10E+01,-4.27E-05,9.88E+00,4.68E+03
4,7,A,-1.50E-01,8.26E+00,-8.26E+00,-3.21E-05,1.01E+01,4.68E+03
4,7,A,-1.00E-01,5.51E+00,-5.51E+00,-2.14E-05,1.03E+01,4.68E+03
4,7,A,-5.00E-02,2.75E+00,-2.75E+00,-1.07E-05,1.04E+01,4.69E+03
4,7,A,0.00E+00,3.97E-05,3.97E-05,1.54E-10,1.12E+01,0.00E+00
4,7,A,0.00E+00,3.06E-05,3.06E-05,1.19E-10,1.14E+01,0.00E+00
4,7,A,5.00E-02,2.77E+00,2.77E+00,1.07E-05,1.22E+01,4.66E+03
4,7,A,1.00E-01,5.53E+00,5.53E+00,2.14E-05,1.24E+01,4.67E+03
4,7,A,1.50E-01,8.29E+00,8.29E+00,3.21E-05,1.26E+01,4.67E+03
4,7,A,2.00E-01,1.10E+01,1.10E+01,4.28E-05,1.28E+01,4.67E+03
4,7,A,2.50E-01,1.38E+01,1.38E+01,5.35E-05,1.30E+01,4.67E+03
4,7,A,3.00E-01,1.66E+01,1.66E+01,6.42E-05,1.31E+01,4.67E+03
4,7,A,3.50E-01,1.93E+01,1.93E+01,7.49E-05,1.33E+01,4.67E+03
4,7,A,4.00E-01,2.21E+01,2.21E+01,8.56E-05,1.35E+01,4.67E+03
4,7,A,4.50E-01,2.48E+01,2.48E+01,9.63E-05,1.37E+01,4.67E+03
4,7,A,5.00E-01,2.76E+01,2.76E+01,1.07E-04,1.43E+01,4.67E+03
4,7,A,5.00E-01,2.76E+01,2.76E+01,1.07E-04,1.45E+01,4.67E+03
4,7,A,4.50E-01,2.48E+01,2.48E+01,9.63E-05,1.48E+01,4.67E+03
4,7,A,4.00E-01,2.21E+01,2.21E+01,8.56E-05,1.50E+01,4.67E+03
4,7,A,3.50E-01,1.93E+01,1.93E+01,7.49E-05,1.52E+01,4.67E+03
4,7,A,3.00E-01,1.66E+01,1.66E+01,6.42E-05,1.54E+01,4.67E+03
4,7,A,2.50E-01,1.38E+01,1.38E+01,5.35E-05,1.56E+01,4.67E+03
4,7,A,2.00E-01,1.10E+01,1.10E+01,4.28E-05,1.58E+01,4.67E+03
4,7,A,1.50E-01,8.29E+00,8.29E+00,3.22E-05,1.60E+01,4.67E+03
4,7,A,1.00E-01,5.53E+00,5.53E+00,2.14E-05,1.62E+01,4.66E+03
4,7,A,5.00E-02,2.77E+00,2.77E+00,1.07E-05,1.63E+01,4.66E+03
4,7,A,0.00E+00,3.27E-04,3.27E-04,1.27E-09,1.69E+01,0.00E+00
4,7,A,-5.00E-02,2.70E+00,-2.70E+00,-1.05E-05,1.73E+01,4.77E+03
4,7,A,-1.00E-01,5.52E+00,-5.52E+00,-2.14E-05,1.79E+01,4.67E+03
4,7,A,-1.50E-01,8.28E+00,-8.28E+00,-3.21E-05,1.81E+01,4.67E+03
4,7,A,-2.00E-01,1.10E+01,-1.10E+01,-4.28E-05,1.83E+01,4.67E+03
4,7,A,-2.50E-01,1.38E+01,-1.38E+01,-5.35E-05,1.84E+01,4.67E+03
4,7,A,-3.00E-01,1.66E+01,-1.66E+01,-6.42E-05,1.86E+01,4.67E+03
4,7,A,-3.50E-01,1.93E+01,-1.93E+01,-7.49E-05,1.88E+01,4.67E+03
4,7,A,-4.00E-01,2.21E+01,-2.21E+01,-8.57E-05,1.90E+01,4.67E+03
4,7,A,-4.50E-01,2.48E+01,-2.48E+01,-9.64E-05,1.92E+01,4.67E+03
4,7,A,-5.00E-01,2.76E+01,-2.76E+01,-1.07E-04,1.98E+01,4.67E+03
4,7,A,-5.00E-01,2.76E+01,-2.76E+01,-1.07E-04,2.00E+01,4.67E+03
4,7,A,-4.50E-01,2.48E+01,-2.48E+01,-9.64E-05,2.03E+01,4.67E+03
4,7,A,-4.00E-01,2.21E+01,-2.21E+01,-8.57E-05,2.05E+01,4.67E+03
4,7,A,-3.50E-01,1.93E+01,-1.93E+01,-7.50E-05,2.07E+01,4.67E+03
4,7,A,-3.00E-01,1.66E+01,-1.66E+01,-6.42E-05,2.09E+01,4.67E+03
4,7,A,-2.50E-01,1.38E+01,-1.38E+01,-5.35E-05,2.11E+01,4.67E+03
4,7,A,-2.00E-01,1.10E+01,-1.10E+01,-4.28E-05,2.13E+01,4.67E+03
4,7,A,-1.50E-01,8.28E+00,-8.28E+00,-3.21E-05,2.15E+01,4.67E+03
4,7,A,-1.00E-01,5.52E+00,-5.52E+00,-2.14E-05,2.17E+01,4.67E+03
4,7,A,-5.00E-02,2.76E+00,-2.76E+00,-1.07E-05,2.18E+01,4.68E+03
4,7,A,0.00E+00,3.57E-05,3.57E-05,1.39E-10,2.26E+01,0.00E+00
4,7,A,0.00E+00,2.98E-05,2.98E-05,1.16E-10,2.28E+01,0.00E+00
4,7,A,5.00E-02,2.77E+00,2.77E+00,1.08E-05,2.36E+01,4.65E+03
4,7,A,1.00E-01,5.54E+00,5.54E+00,2.15E-05,2.38E+01,4.66E+03
4,7,A,1.50E-01,8.30E+00,8.30E+00,3.22E-05,2.40E+01,4.66E+03
4,7,A,2.00E-01,1.11E+01,1.11E+01,4.29E-05,2.42E+01,4.66E+03
4,7,A,2.50E-01,1.38E+01,1.38E+01,5.36E-05,2.44E+01,4.66E+03
4,7,A,3.00E-01,1.66E+01,1.66E+01,6.43E-05,2.45E+01,4.66E+03
4,7,A,3.50E-01,1.94E+01,1.94E+01,7.51E-05,2.47E+01,4.66E+03
4,7,A,4.00E-01,2.21E+01,2.21E+01,8.58E-05,2.49E+01,4.66E+03
4,7,A,4.50E-01,2.49E+01,2.49E+01,9.65E-05,2.51E+01,4.66E+03
4,7,A,5.00E-01,2.76E+01,2.76E+01,1.07E-04,2.57E+01,4.66E+03
4,7,A,5.00E-01,2.76E+01,2.76E+01,1.07E-04,2.59E+01,4.66E+03
4,7,A,4.50E-01,2.49E+01,2.49E+01,9.65E-05,2.62E+01,4.66E+03
4,7,A,4.00E-01,2.21E+01,2.21E+01,8.58E-05,2.64E+01,4.66E+03
4,7,A,3.50E-01,1.94E+01,1.94E+01,7.51E-05,2.66E+01,4.66E+03
4,7,A,3.00E-01,1.66E+01,1.66E+01,6.44E-05,2.68E+01,4.66E+03
4,7,A,2.50E-01,1.38E+01,1.38E+01,5.36E-05,2.70E+01,4.66E+03
4,7,A,2.00E-01,1.11E+01,1.11E+01,4.29E-05,2.72E+01,4.66E+03
4,7,A,1.50E-01,8.31E+00,8.31E+00,3.22E-05,2.74E+01,4.66E+03
4,7,A,1.00E-01,5.54E+00,5.54E+00,2.15E-05,2.76E+01,4.65E+03
4,7,A,5.00E-02,2.77E+00,2.77E+00,1.08E-05,2.77E+01,4.65E+03
4,7,A,0.00E+00,1.42E-05,1.42E-05,5.52E-11,2.93E+01,0.00E+00
