voltage_YSR_1_40C	absJ_YSR_1_40C	J_YSR_1_40C	current_YSR_1_40C	time_YSR_1_40C
0.000000E+0	5.004642E-5	5.004642E-5	1.941055E-10	0.000000E+0
5.000000E-2	8.251776E+0	8.251776E+0	3.200459E-5	7.705078E-1
1.000000E-1	1.647830E+1	1.647830E+1	6.391125E-5	9.580078E-1
1.500000E-1	2.470270E+1	2.470270E+1	9.580967E-5	1.146484E+0
2.000000E-1	3.289498E+1	3.289498E+1	1.275835E-4	1.717773E+0
2.500000E-1	4.109996E+1	4.109996E+1	1.594066E-4	1.905273E+0
3.000000E-1	4.932080E+1	4.932080E+1	1.912912E-4	2.093750E+0
3.500000E-1	5.753901E+1	5.753901E+1	2.231656E-4	2.281250E+0
4.000000E-1	6.575998E+1	6.575998E+1	2.550507E-4	2.469727E+0
4.500000E-1	7.396295E+1	7.396295E+1	2.868660E-4	2.658203E+0
5.000000E-1	8.215919E+1	8.215919E+1	3.186552E-4	2.845703E+0
5.000000E-1	8.215416E+1	8.215416E+1	3.186357E-4	3.034180E+0
4.500000E-1	7.394692E+1	7.394692E+1	2.868038E-4	3.222656E+0
4.000000E-1	6.574557E+1	6.574557E+1	2.549948E-4	3.410156E+0
3.500000E-1	5.752388E+1	5.752388E+1	2.231069E-4	3.598633E+0
3.000000E-1	4.931080E+1	4.931080E+1	1.912524E-4	3.786133E+0
2.500000E-1	4.109125E+1	4.109125E+1	1.593728E-4	3.974609E+0
2.000000E-1	3.289155E+1	3.289155E+1	1.275702E-4	4.163086E+0
1.500000E-1	2.469660E+1	2.469660E+1	9.578601E-5	4.542969E+0
1.000000E-1	1.647642E+1	1.647642E+1	6.390396E-5	4.730469E+0
5.000000E-2	8.250420E+0	8.250420E+0	3.199933E-5	4.918945E+0
0.000000E+0	1.469986E-5	1.469986E-5	5.701353E-11	6.200195E+0
-5.000000E-2	8.205797E+0	-8.205797E+0	-3.182626E-5	6.776367E+0
-1.000000E-1	1.643351E+1	-1.643351E+1	-6.373752E-5	6.964844E+0
-1.500000E-1	2.465713E+1	-2.465713E+1	-9.563290E-5	7.152344E+0
-2.000000E-1	3.285071E+1	-3.285071E+1	-1.274118E-4	7.723633E+0
-2.500000E-1	4.105536E+1	-4.105536E+1	-1.592336E-4	7.912109E+0
-3.000000E-1	4.927759E+1	-4.927759E+1	-1.911236E-4	8.099609E+0
-3.500000E-1	5.750207E+1	-5.750207E+1	-2.230223E-4	8.288086E+0
-4.000000E-1	6.572963E+1	-6.572963E+1	-2.549330E-4	8.476563E+0
-4.500000E-1	7.394491E+1	-7.394491E+1	-2.867960E-4	8.664063E+0
-5.000000E-1	8.216737E+1	-8.216737E+1	-3.186869E-4	8.852539E+0
-5.000000E-1	8.217556E+1	-8.217556E+1	-3.187187E-4	9.040039E+0
-4.500000E-1	7.396775E+1	-7.396775E+1	-2.868846E-4	9.228516E+0
-4.000000E-1	6.576029E+1	-6.576029E+1	-2.550519E-4	9.416992E+0
-3.500000E-1	5.752718E+1	-5.752718E+1	-2.231197E-4	9.604492E+0
-3.000000E-1	4.930067E+1	-4.930067E+1	-1.912131E-4	9.792969E+0
-2.500000E-1	4.107648E+1	-4.107648E+1	-1.593155E-4	9.981445E+0
-2.000000E-1	3.286845E+1	-3.286845E+1	-1.274806E-4	1.016895E+1
-1.500000E-1	2.466675E+1	-2.466675E+1	-9.567021E-5	1.054883E+1
-1.000000E-1	1.644067E+1	-1.644067E+1	-6.376531E-5	1.073730E+1
-5.000000E-2	8.209646E+0	-8.209646E+0	-3.184119E-5	1.092480E+1
0.000000E+0	4.158714E-5	4.158714E-5	1.612961E-10	1.172363E+1
0.000000E+0	3.325079E-5	3.325079E-5	1.289635E-10	1.191309E+1
5.000000E-2	8.256509E+0	8.256509E+0	3.202295E-5	1.268262E+1
1.000000E-1	1.648724E+1	1.648724E+1	6.394592E-5	1.287109E+1
1.500000E-1	2.471536E+1	2.471536E+1	9.585874E-5	1.305957E+1
2.000000E-1	3.291239E+1	3.291239E+1	1.276510E-4	1.362988E+1
2.500000E-1	4.112193E+1	4.112193E+1	1.594918E-4	1.381836E+1
3.000000E-1	4.934651E+1	4.934651E+1	1.913909E-4	1.400684E+1
3.500000E-1	5.757201E+1	5.757201E+1	2.232936E-4	1.419434E+1
4.000000E-1	6.579290E+1	6.579290E+1	2.551784E-4	1.438281E+1
4.500000E-1	7.400160E+1	7.400160E+1	2.870159E-4	1.457129E+1
5.000000E-1	8.220114E+1	8.220114E+1	3.188179E-4	1.475879E+1
5.000000E-1	8.219714E+1	8.219714E+1	3.188024E-4	1.494727E+1
4.500000E-1	7.398633E+1	7.398633E+1	2.869567E-4	1.513477E+1
4.000000E-1	6.577550E+1	6.577550E+1	2.551109E-4	1.532324E+1
3.500000E-1	5.755180E+1	5.755180E+1	2.232152E-4	1.551172E+1
3.000000E-1	4.932565E+1	4.932565E+1	1.913100E-4	1.569922E+1
2.500000E-1	4.110510E+1	4.110510E+1	1.594265E-4	1.588770E+1
2.000000E-1	3.290174E+1	3.290174E+1	1.276097E-4	1.607617E+1
1.500000E-1	2.470866E+1	2.470866E+1	9.583276E-5	1.645508E+1
1.000000E-1	1.648286E+1	1.648286E+1	6.392894E-5	1.664355E+1
5.000000E-2	8.253289E+0	8.253289E+0	3.201046E-5	1.683203E+1
0.000000E+0	1.460637E-5	1.460637E-5	5.665093E-11	1.833691E+1
-5.000000E-2	8.208004E+0	-8.208004E+0	-3.183482E-5	1.891309E+1
-1.000000E-1	1.643802E+1	-1.643802E+1	-6.375501E-5	1.910059E+1
-1.500000E-1	2.466439E+1	-2.466439E+1	-9.566105E-5	1.928906E+1
-2.000000E-1	3.286822E+1	-3.286822E+1	-1.274797E-4	1.986035E+1
-2.500000E-1	4.107991E+1	-4.107991E+1	-1.593288E-4	2.004785E+1
-3.000000E-1	4.931229E+1	-4.931229E+1	-1.912582E-4	2.023633E+1
-3.500000E-1	5.754046E+1	-5.754046E+1	-2.231712E-4	2.042480E+1
-4.000000E-1	6.577831E+1	-6.577831E+1	-2.551218E-4	2.061230E+1
-4.500000E-1	7.400377E+1	-7.400377E+1	-2.870243E-4	2.080078E+1
-5.000000E-1	8.223672E+1	-8.223672E+1	-3.189559E-4	2.098926E+1
-5.000000E-1	8.223968E+1	-8.223968E+1	-3.189674E-4	2.117676E+1
-4.500000E-1	7.401176E+1	-7.401176E+1	-2.870553E-4	2.136523E+1
-4.000000E-1	6.579592E+1	-6.579592E+1	-2.551901E-4	2.155273E+1
-3.500000E-1	5.756521E+1	-5.756521E+1	-2.232672E-4	2.174121E+1
-3.000000E-1	4.934241E+1	-4.934241E+1	-1.913750E-4	2.192969E+1
-2.500000E-1	4.110564E+1	-4.110564E+1	-1.594286E-4	2.211719E+1
-2.000000E-1	3.289292E+1	-3.289292E+1	-1.275755E-4	2.230566E+1
-1.500000E-1	2.468149E+1	-2.468149E+1	-9.572737E-5	2.268555E+1
-1.000000E-1	1.645037E+1	-1.645037E+1	-6.380292E-5	2.287305E+1
-5.000000E-2	8.214715E+0	-8.214715E+0	-3.186085E-5	2.306152E+1
