voltage_YSR_1_40D	absJ_YSR_1_40D	J_YSR_1_40D	current_YSR_1_40D	time_YSR_1_40D
0.000000E+0	1.458363E-5	1.458363E-5	5.656273E-11	0.000000E+0
5.000000E-2	1.829451E-5	1.829451E-5	7.095542E-11	5.234375E-1
1.000000E-1	2.638204E-4	2.638204E-4	1.023230E-9	1.099609E+0
1.500000E-1	3.897366E-4	3.897366E-4	1.511597E-9	1.287109E+0
2.000000E-1	5.108006E-4	5.108006E-4	1.981145E-9	1.475586E+0
2.500000E-1	6.309434E-4	6.309434E-4	2.447120E-9	1.664063E+0
3.000000E-1	7.502243E-4	7.502243E-4	2.909752E-9	1.851563E+0
3.500000E-1	8.674925E-4	8.674925E-4	3.364578E-9	2.040039E+0
4.000000E-1	9.833795E-4	9.833795E-4	3.814047E-9	2.227539E+0
4.500000E-1	1.100027E-3	1.100027E-3	4.266465E-9	2.416016E+0
5.000000E-1	1.215280E-3	1.215280E-3	4.713476E-9	2.604492E+0
5.000000E-1	1.203177E-3	1.203177E-3	4.666534E-9	2.791992E+0
4.500000E-1	1.069539E-3	1.069539E-3	4.148217E-9	2.980469E+0
4.000000E-1	9.417404E-4	9.417404E-4	3.652549E-9	3.168945E+0
3.500000E-1	8.157505E-4	8.157505E-4	3.163896E-9	3.356445E+0
3.000000E-1	6.911052E-4	6.911052E-4	2.680458E-9	3.544922E+0
2.500000E-1	5.698462E-4	5.698462E-4	2.210154E-9	3.732422E+0
2.000000E-1	4.499700E-4	4.499700E-4	1.745213E-9	3.920898E+0
1.500000E-1	3.300306E-4	3.300306E-4	1.280027E-9	4.109375E+0
1.000000E-1	1.597631E-4	1.597631E-4	6.196426E-10	4.520508E+0
5.000000E-2	9.932401E-5	9.932401E-5	3.852291E-10	4.708984E+0
0.000000E+0	9.371084E-6	-9.371084E-6	-3.634584E-11	5.604492E+0
-5.000000E-2	1.767965E-5	-1.767965E-5	-6.857068E-11	6.128906E+0
-1.000000E-1	2.029874E-5	-2.029874E-5	-7.872884E-11	6.652344E+0
-1.500000E-1	3.278770E-4	-3.278770E-4	-1.271674E-9	7.228516E+0
-2.000000E-1	4.547103E-4	-4.547103E-4	-1.763598E-9	7.416992E+0
