voltage_YSR_1_41E	absJ_YSR_1_41E	J_YSR_1_41E	current_YSR_1_41E	time_YSR_1_41E
0.000000E+0	6.649578E-4	-6.649578E-4	-2.579045E-9	0.000000E+0
5.000000E-2	5.250367E-4	-5.250367E-4	-2.036360E-9	1.884766E-1
1.000000E-1	3.926655E-4	-3.926655E-4	-1.522957E-9	3.769531E-1
1.500000E-1	2.652743E-4	-2.652743E-4	-1.028869E-9	5.644531E-1
2.000000E-1	1.378771E-4	-1.378771E-4	-5.347578E-10	9.765625E-1
2.500000E-1	1.438436E-5	-1.438436E-5	-5.578987E-11	1.872070E+0
3.000000E-1	1.422261E-5	1.422261E-5	5.516251E-11	2.395508E+0
3.500000E-1	6.868188E-6	6.868188E-6	2.663833E-11	2.918945E+0
4.000000E-1	3.142333E+2	3.142333E+2	1.218757E-3	4.210938E+0
4.500000E-1	4.826022E+2	4.826022E+2	1.871777E-3	4.399414E+0
5.000000E-1	5.261627E+2	5.261627E+2	2.040727E-3	4.587891E+0
5.000000E-1	5.308686E+2	5.308686E+2	2.058979E-3	4.775391E+0
4.500000E-1	4.966390E+2	4.966390E+2	1.926219E-3	4.963867E+0
4.000000E-1	3.402490E+2	3.402490E+2	1.319659E-3	5.151367E+0
3.500000E-1	1.373607E-4	1.373607E-4	5.327546E-10	5.760742E+0
3.000000E-1	3.556116E-5	3.556116E-5	1.379243E-10	5.949219E+0
2.500000E-1	7.424151E-5	-7.424151E-5	-2.879464E-10	6.137695E+0
2.000000E-1	1.414023E-4	-1.414023E-4	-5.484300E-10	6.327148E+0
1.500000E-1	1.618433E-4	-1.618433E-4	-6.277106E-10	6.515625E+0
1.000000E-1	1.834741E-4	-1.834741E-4	-7.116059E-10	6.704102E+0
5.000000E-2	4.799723E-4	-4.799723E-4	-1.861577E-9	7.280273E+0
0.000000E+0	5.824168E-4	-5.824168E-4	-2.258909E-9	7.468750E+0
-5.000000E-2	6.811857E-4	-6.811857E-4	-2.641985E-9	7.657227E+0
-1.000000E-1	7.809056E-4	-7.809056E-4	-3.028750E-9	7.844727E+0
-1.500000E-1	8.776255E-4	-8.776255E-4	-3.403879E-9	8.033203E+0
-2.000000E-1	9.731550E-4	-9.731550E-4	-3.774391E-9	8.221680E+0
-2.500000E-1	1.067141E-3	-1.067141E-3	-4.138916E-9	8.409180E+0
-3.000000E-1	1.161286E-3	-1.161286E-3	-4.504060E-9	8.597656E+0
-3.500000E-1	1.266012E-3	-1.266012E-3	-4.910238E-9	8.785156E+0
-4.000000E-1	1.378880E-3	-1.378880E-3	-5.348000E-9	8.973633E+0
-4.500000E-1	1.494594E-3	-1.494594E-3	-5.796795E-9	9.162109E+0
-5.000000E-1	1.581956E-3	-1.581956E-3	-6.135633E-9	9.349609E+0
-5.000000E-1	1.576925E-3	-1.576925E-3	-6.116117E-9	9.538086E+0
-4.500000E-1	1.466679E-3	-1.466679E-3	-5.688528E-9	9.726563E+0
-4.000000E-1	1.332364E-3	-1.332364E-3	-5.167585E-9	9.914063E+0
-3.500000E-1	1.199363E-3	-1.199363E-3	-4.651739E-9	1.010254E+1
-3.000000E-1	1.073681E-3	-1.073681E-3	-4.164280E-9	1.029102E+1
-2.500000E-1	9.634255E-4	-9.634255E-4	-3.736655E-9	1.047852E+1
-2.000000E-1	8.583895E-4	-8.583895E-4	-3.329272E-9	1.066699E+1
-1.500000E-1	7.559368E-4	-7.559368E-4	-2.931908E-9	1.085449E+1
-1.000000E-1	6.564757E-4	-6.564757E-4	-2.546147E-9	1.104297E+1
-5.000000E-2	5.579535E-4	-5.579535E-4	-2.164028E-9	1.123145E+1
0.000000E+0	4.603258E-4	-4.603258E-4	-1.785378E-9	1.141895E+1
0.000000E+0	4.662941E-4	-4.662941E-4	-1.808526E-9	1.160840E+1
5.000000E-2	3.679932E-4	-3.679932E-4	-1.427265E-9	1.179590E+1
1.000000E-1	2.723296E-4	-2.723296E-4	-1.056233E-9	1.198438E+1
1.500000E-1	1.940914E-4	-1.940914E-4	-7.527854E-10	1.278320E+1
2.000000E-1	1.037138E-4	-1.037138E-4	-4.022550E-10	1.319434E+1
2.500000E-1	1.410410E-5	-1.410410E-5	-5.470287E-11	1.408984E+1
3.000000E-1	1.406163E-5	1.406163E-5	5.453818E-11	1.461328E+1
3.500000E-1	1.392924E-4	1.392924E-4	5.402470E-10	1.594043E+1
4.000000E-1	3.597756E+2	3.597756E+2	1.395393E-3	1.651855E+1
4.500000E-1	4.944446E+2	4.944446E+2	1.917708E-3	1.670605E+1
5.000000E-1	5.376434E+2	5.376434E+2	2.085255E-3	1.689453E+1
5.000000E-1	5.421941E+2	5.421941E+2	2.102905E-3	1.708203E+1
4.500000E-1	5.079132E+2	5.079132E+2	1.969946E-3	1.727051E+1
4.000000E-1	3.834009E+2	3.834009E+2	1.487024E-3	1.745898E+1
3.500000E-1	1.171787E-4	1.171787E-4	4.544788E-10	1.806738E+1
3.000000E-1	1.383518E-5	1.383518E-5	5.365986E-11	1.896289E+1
2.500000E-1	1.474269E-5	-1.474269E-5	-5.717966E-11	1.948633E+1
2.000000E-1	1.264765E-4	-1.264765E-4	-4.905401E-10	2.009277E+1
1.500000E-1	1.476909E-4	-1.476909E-4	-5.728205E-10	2.028125E+1
1.000000E-1	1.654877E-4	-1.654877E-4	-6.418455E-10	2.046973E+1
