voltage_YSR_1_32B	absJ_YSR_1_32B	J_YSR_1_32B	current_YSR_1_32B	time_YSR_1_32B
0.000000E+0	2.685271E-6	2.685271E-6	1.041485E-11	0.000000E+0
5.000000E-2	3.771596E-6	3.771596E-6	1.462817E-11	5.234375E-1
1.000000E-1	5.568387E-6	5.568387E-6	2.159704E-11	1.046875E+0
1.500000E-1	7.341741E-6	7.341741E-6	2.847501E-11	1.570313E+0
2.000000E-1	8.938787E-6	8.938787E-6	3.466917E-11	2.093750E+0
2.500000E-1	1.063097E-5	1.063097E-5	4.123232E-11	2.617188E+0
3.000000E-1	1.218749E-5	1.218749E-5	4.726928E-11	3.140625E+0
3.500000E-1	1.382203E-5	1.382203E-5	5.360888E-11	3.664063E+0
4.000000E-1	1.382029E-5	1.382029E-5	5.360212E-11	4.436523E+0
4.500000E-1	1.543253E-5	1.543253E-5	5.985521E-11	5.332031E+0
5.000000E-1	1.667122E-5	1.667122E-5	6.465950E-11	5.938477E+0
5.000000E-1	1.613397E-5	1.613397E-5	6.257576E-11	6.833984E+0
4.500000E-1	1.553887E-5	1.553887E-5	6.026766E-11	7.357422E+0
4.000000E-1	1.443346E-5	1.443346E-5	5.598032E-11	7.880859E+0
3.500000E-1	1.266768E-5	1.266768E-5	4.913170E-11	8.404297E+0
3.000000E-1	1.094958E-5	1.094958E-5	4.246805E-11	8.927734E+0
2.500000E-1	9.332020E-6	9.332020E-6	3.619433E-11	9.451172E+0
2.000000E-1	7.720662E-6	7.720662E-6	2.994466E-11	9.974609E+0
1.500000E-1	6.117345E-6	6.117345E-6	2.372618E-11	1.049805E+1
1.000000E-1	4.572643E-6	4.572643E-6	1.773504E-11	1.102148E+1
5.000000E-2	3.016308E-6	3.016308E-6	1.169878E-11	1.154492E+1
0.000000E+0	1.482871E-6	1.482871E-6	5.751330E-12	1.206836E+1
-5.000000E-2	6.296068E-8	-6.296068E-8	-2.441936E-13	1.259180E+1
-1.000000E-1	1.555217E-6	-1.555217E-6	-6.031925E-12	1.311523E+1
-1.500000E-1	3.083087E-6	-3.083087E-6	-1.195778E-11	1.363867E+1
-2.000000E-1	4.550258E-6	-4.550258E-6	-1.764822E-11	1.416211E+1
-2.500000E-1	6.055911E-6	-6.055911E-6	-2.348791E-11	1.468555E+1
-3.000000E-1	7.530991E-6	-7.530991E-6	-2.920902E-11	1.520898E+1
-3.500000E-1	8.985336E-6	-8.985336E-6	-3.484971E-11	1.573242E+1
-4.000000E-1	1.045719E-5	-1.045719E-5	-4.055831E-11	1.625586E+1
-4.500000E-1	1.187521E-5	-1.187521E-5	-4.605813E-11	1.677930E+1
-5.000000E-1	1.336397E-5	-1.336397E-5	-5.183230E-11	1.730273E+1
-5.000000E-1	1.306764E-5	-1.306764E-5	-5.068297E-11	1.782617E+1
-4.500000E-1	1.123184E-5	-1.123184E-5	-4.356281E-11	1.834961E+1
-4.000000E-1	9.422720E-6	-9.422720E-6	-3.654611E-11	1.887305E+1
-3.500000E-1	7.700652E-6	-7.700652E-6	-2.986705E-11	1.939648E+1
-3.000000E-1	6.133782E-6	-6.133782E-6	-2.378993E-11	1.991992E+1
-2.500000E-1	4.527941E-6	-4.527941E-6	-1.756166E-11	2.044336E+1
-2.000000E-1	2.986359E-6	-2.986359E-6	-1.158262E-11	2.096680E+1
-1.500000E-1	1.449842E-6	-1.449842E-6	-5.623224E-12	2.149023E+1
-1.000000E-1	8.140233E-8	8.140233E-8	3.157197E-13	2.201367E+1
-5.000000E-2	1.571433E-6	1.571433E-6	6.094819E-12	2.253711E+1
0.000000E+0	3.074663E-6	3.074663E-6	1.192511E-11	2.306055E+1
0.000000E+0	2.870128E-6	2.870128E-6	1.113182E-11	2.358496E+1
5.000000E-2	4.413317E-6	4.413317E-6	1.711709E-11	2.410840E+1
1.000000E-1	5.939044E-6	5.939044E-6	2.303464E-11	2.463184E+1
1.500000E-1	7.426118E-6	7.426118E-6	2.880227E-11	2.515527E+1
2.000000E-1	8.894747E-6	8.894747E-6	3.449836E-11	2.567871E+1
2.500000E-1	1.030157E-5	1.030157E-5	3.995474E-11	2.620215E+1
3.000000E-1	1.177064E-5	1.177064E-5	4.565252E-11	2.672559E+1
3.500000E-1	1.317445E-5	1.317445E-5	5.109722E-11	2.724902E+1
4.000000E-1	1.451507E-5	1.451507E-5	5.629684E-11	2.777246E+1
4.500000E-1	1.442081E-5	1.442081E-5	5.593126E-11	2.854492E+1
5.000000E-1	1.565473E-5	1.565473E-5	6.071703E-11	2.944043E+1
5.000000E-1	1.538485E-5	1.538485E-5	5.967027E-11	3.004688E+1
4.500000E-1	1.475114E-5	1.475114E-5	5.721244E-11	3.094238E+1
4.000000E-1	1.373209E-5	1.373209E-5	5.326006E-11	3.146582E+1
3.500000E-1	1.202179E-5	1.202179E-5	4.662663E-11	3.198926E+1
3.000000E-1	1.038910E-5	1.038910E-5	4.029421E-11	3.251270E+1
2.500000E-1	8.851944E-6	8.851944E-6	3.433235E-11	3.303613E+1
2.000000E-1	7.388622E-6	7.388622E-6	2.865684E-11	3.355957E+1
1.500000E-1	5.900690E-6	5.900690E-6	2.288588E-11	3.408301E+1
1.000000E-1	4.487090E-6	4.487090E-6	1.740322E-11	3.460645E+1
5.000000E-2	3.049406E-6	3.049406E-6	1.182715E-11	3.512988E+1
0.000000E+0	1.618750E-6	1.618750E-6	6.278339E-12	3.565332E+1
-5.000000E-2	2.082719E-7	2.082719E-7	8.077844E-13	3.617676E+1
-1.000000E-1	1.205627E-6	-1.205627E-6	-4.676037E-12	3.670020E+1
-1.500000E-1	2.585901E-6	-2.585901E-6	-1.002944E-11	3.722363E+1
-2.000000E-1	3.983422E-6	-3.983422E-6	-1.544974E-11	3.774707E+1
-2.500000E-1	5.352672E-6	-5.352672E-6	-2.076039E-11	3.827051E+1
-3.000000E-1	6.731238E-6	-6.731238E-6	-2.610717E-11	3.879395E+1
-3.500000E-1	8.096812E-6	-8.096812E-6	-3.140356E-11	3.931738E+1
-4.000000E-1	9.442927E-6	-9.442927E-6	-3.662448E-11	3.984082E+1
-4.500000E-1	1.081002E-5	-1.081002E-5	-4.192678E-11	4.036426E+1
-5.000000E-1	1.213105E-5	-1.213105E-5	-4.705038E-11	4.088770E+1
-5.000000E-1	1.197118E-5	-1.197118E-5	-4.643035E-11	4.141113E+1
-4.500000E-1	1.014447E-5	-1.014447E-5	-3.934544E-11	4.193457E+1
-4.000000E-1	8.447918E-6	-8.447918E-6	-3.276533E-11	4.245801E+1
-3.500000E-1	6.926233E-6	-6.926233E-6	-2.686346E-11	4.298145E+1
-3.000000E-1	5.413319E-6	-5.413319E-6	-2.099561E-11	4.350488E+1
-2.500000E-1	3.970853E-6	-3.970853E-6	-1.540099E-11	4.402832E+1
-2.000000E-1	2.535677E-6	-2.535677E-6	-9.834647E-12	4.455176E+1
-1.500000E-1	1.114049E-6	-1.114049E-6	-4.320849E-12	4.507520E+1
-1.000000E-1	2.834661E-7	2.834661E-7	1.099426E-12	4.559863E+1
-5.000000E-2	1.691873E-6	1.691873E-6	6.561945E-12	4.612207E+1
0.000000E+0	3.069519E-6	3.069519E-6	1.190516E-11	4.664551E+1
0.000000E+0	2.919163E-6	2.919163E-6	1.132200E-11	4.716992E+1
5.000000E-2	4.314315E-6	4.314315E-6	1.673311E-11	4.769336E+1
1.000000E-1	5.736492E-6	5.736492E-6	2.224904E-11	4.821680E+1
1.500000E-1	7.131490E-6	7.131490E-6	2.765955E-11	4.874023E+1
2.000000E-1	8.480286E-6	8.480286E-6	3.289087E-11	4.926367E+1
2.500000E-1	9.844447E-6	9.844447E-6	3.818178E-11	4.978711E+1
3.000000E-1	1.118024E-5	1.118024E-5	4.336267E-11	5.031055E+1
3.500000E-1	1.251124E-5	1.251124E-5	4.852498E-11	5.083398E+1
4.000000E-1	1.382908E-5	1.382908E-5	5.363623E-11	5.135742E+1
4.500000E-1	1.486124E-5	1.486124E-5	5.763945E-11	5.188086E+1
5.000000E-1	1.564556E-5	1.564556E-5	6.068145E-11	5.240430E+1
5.000000E-1	1.467034E-5	1.467034E-5	5.689904E-11	5.300977E+1
4.500000E-1	1.421807E-5	1.421807E-5	5.514492E-11	5.390527E+1
4.000000E-1	1.302385E-5	1.302385E-5	5.051313E-11	5.442871E+1
3.500000E-1	1.141652E-5	1.141652E-5	4.427908E-11	5.495215E+1
3.000000E-1	9.908229E-6	9.908229E-6	3.842916E-11	5.547559E+1
2.500000E-1	8.464004E-6	8.464004E-6	3.282772E-11	5.599902E+1
2.000000E-1	7.099552E-6	7.099552E-6	2.753568E-11	5.652246E+1
1.500000E-1	5.674935E-6	5.674935E-6	2.201029E-11	5.704590E+1
1.000000E-1	4.365868E-6	4.365868E-6	1.693306E-11	5.756934E+1
5.000000E-2	3.001055E-6	3.001055E-6	1.163962E-11	5.809277E+1
0.000000E+0	1.651154E-6	1.651154E-6	6.404016E-12	5.861621E+1
-5.000000E-2	3.203316E-7	3.203316E-7	1.242409E-12	5.914063E+1
-1.000000E-1	1.049417E-6	-1.049417E-6	-4.070175E-12	5.966406E+1
-1.500000E-1	2.339767E-6	-2.339767E-6	-9.074810E-12	6.018750E+1
-2.000000E-1	3.659140E-6	-3.659140E-6	-1.419201E-11	6.071094E+1
-2.500000E-1	4.966124E-6	-4.966124E-6	-1.926116E-11	6.123437E+1
-3.000000E-1	6.269352E-6	-6.269352E-6	-2.431574E-11	6.175781E+1
-3.500000E-1	7.568552E-6	-7.568552E-6	-2.935470E-11	6.228125E+1
-4.000000E-1	8.858677E-6	-8.858677E-6	-3.435846E-11	6.280469E+1
-4.500000E-1	1.016294E-5	-1.016294E-5	-3.941705E-11	6.332813E+1
-5.000000E-1	1.144328E-5	-1.144328E-5	-4.438286E-11	6.385156E+1
-5.000000E-1	1.126369E-5	-1.126369E-5	-4.368633E-11	6.437500E+1
-4.500000E-1	9.515356E-6	-9.515356E-6	-3.690540E-11	6.489844E+1
-4.000000E-1	7.883964E-6	-7.883964E-6	-3.057803E-11	6.542187E+1
-3.500000E-1	6.440956E-6	-6.440956E-6	-2.498131E-11	6.594531E+1
-3.000000E-1	5.027589E-6	-5.027589E-6	-1.949955E-11	6.646875E+1
-2.500000E-1	3.646803E-6	-3.646803E-6	-1.414416E-11	6.699219E+1
-2.000000E-1	2.280779E-6	-2.280779E-6	-8.846021E-12	6.751563E+1
-1.500000E-1	8.992578E-7	-8.992578E-7	-3.487780E-12	6.803906E+1
-1.000000E-1	4.051402E-7	4.051402E-7	1.571340E-12	6.856250E+1
-5.000000E-2	1.761550E-6	1.761550E-6	6.832188E-12	6.908594E+1
0.000000E+0	3.067426E-6	3.067426E-6	1.189704E-11	6.960938E+1
0.000000E+0	2.900019E-6	2.900019E-6	1.124775E-11	7.013281E+1
5.000000E-2	4.254250E-6	4.254250E-6	1.650015E-11	7.065625E+1
1.000000E-1	5.612520E-6	5.612520E-6	2.176821E-11	7.117969E+1
1.500000E-1	6.949422E-6	6.949422E-6	2.695340E-11	7.170313E+1
2.000000E-1	8.251989E-6	8.251989E-6	3.200542E-11	7.222656E+1
2.500000E-1	9.539038E-6	9.539038E-6	3.699725E-11	7.275000E+1
3.000000E-1	1.081608E-5	1.081608E-5	4.195028E-11	7.327344E+1
3.500000E-1	1.209219E-5	1.209219E-5	4.689966E-11	7.379687E+1
4.000000E-1	1.337369E-5	1.337369E-5	5.186997E-11	7.432031E+1
4.500000E-1	1.453347E-5	1.453347E-5	5.636819E-11	7.484375E+1
5.000000E-1	1.533103E-5	1.533103E-5	5.946153E-11	7.536719E+1
5.000000E-1	1.423612E-5	1.423612E-5	5.521494E-11	7.597266E+1
4.500000E-1	1.349232E-5	1.349232E-5	5.233011E-11	7.686816E+1
4.000000E-1	1.260225E-5	1.260225E-5	4.887796E-11	7.739160E+1
3.500000E-1	1.105032E-5	1.105032E-5	4.285877E-11	7.791504E+1
3.000000E-1	9.606010E-6	9.606010E-6	3.725700E-11	7.843848E+1
2.500000E-1	8.163706E-6	8.163706E-6	3.166301E-11	7.896191E+1
2.000000E-1	6.897495E-6	6.897495E-6	2.675200E-11	7.948535E+1
1.500000E-1	5.560450E-6	5.560450E-6	2.156626E-11	8.000879E+1
1.000000E-1	4.256976E-6	4.256976E-6	1.651072E-11	8.053223E+1
5.000000E-2	2.951461E-6	2.951461E-6	1.144727E-11	8.105566E+1
0.000000E+0	1.592401E-6	1.592401E-6	6.176143E-12	8.157910E+1
-5.000000E-2	3.658668E-7	3.658668E-7	1.419018E-12	8.210352E+1
-1.000000E-1	9.416084E-7	-9.416084E-7	-3.652037E-12	8.262695E+1
-1.500000E-1	2.201029E-6	-2.201029E-6	-8.536713E-12	8.315039E+1
-2.000000E-1	3.475650E-6	-3.475650E-6	-1.348034E-11	8.367383E+1
-2.500000E-1	4.745233E-6	-4.745233E-6	-1.840443E-11	8.419727E+1
-3.000000E-1	5.995347E-6	-5.995347E-6	-2.325301E-11	8.472070E+1
-3.500000E-1	7.262014E-6	-7.262014E-6	-2.816579E-11	8.524414E+1
-4.000000E-1	8.512855E-6	-8.512855E-6	-3.301719E-11	8.576758E+1
-4.500000E-1	9.762227E-6	-9.762227E-6	-3.786289E-11	8.629102E+1
-5.000000E-1	1.101632E-5	-1.101632E-5	-4.272691E-11	8.681445E+1
-5.000000E-1	1.077612E-5	-1.077612E-5	-4.179530E-11	8.733789E+1
-4.500000E-1	9.118147E-6	-9.118147E-6	-3.536482E-11	8.786133E+1
-4.000000E-1	7.541941E-6	-7.541941E-6	-2.925149E-11	8.838477E+1
-3.500000E-1	6.139124E-6	-6.139124E-6	-2.381065E-11	8.890820E+1
-3.000000E-1	4.772204E-6	-4.772204E-6	-1.850904E-11	8.943164E+1
-2.500000E-1	3.432326E-6	-3.432326E-6	-1.331231E-11	8.995508E+1
-2.000000E-1	2.119069E-6	-2.119069E-6	-8.218828E-12	9.047852E+1
-1.500000E-1	7.609237E-7	-7.609237E-7	-2.951250E-12	9.100195E+1
-1.000000E-1	4.924608E-7	4.924608E-7	1.910014E-12	9.152539E+1
-5.000000E-2	1.801059E-6	1.801059E-6	6.985426E-12	9.204883E+1
0.000000E+0	3.065185E-6	3.065185E-6	1.188835E-11	9.257227E+1
