voltage_YSR_1_31E	absJ_YSR_1_31E	J_YSR_1_31E	current_YSR_1_31E	time_YSR_1_31E
0.000000E+0	1.468816E-5	1.468816E-5	5.696816E-11	0.000000E+0
5.000000E-2	6.961607E-5	6.961607E-5	2.700066E-10	6.064453E-1
1.000000E-1	1.309208E-4	1.309208E-4	5.077774E-10	7.949219E-1
1.500000E-1	1.596292E-4	1.596292E-4	6.191235E-10	9.833984E-1
2.000000E-1	2.270864E-4	2.270864E-4	8.807568E-10	1.559570E+0
2.500000E-1	2.835068E-4	2.835068E-4	1.099584E-9	1.747070E+0
3.000000E-1	3.372834E-4	3.372834E-4	1.308157E-9	1.935547E+0
3.500000E-1	3.890417E-4	3.890417E-4	1.508902E-9	2.124023E+0
4.000000E-1	4.393541E-4	4.393541E-4	1.704039E-9	2.311523E+0
4.500000E-1	4.898743E-4	4.898743E-4	1.899982E-9	2.500000E+0
5.000000E-1	5.401062E-4	5.401062E-4	2.094807E-9	2.688477E+0
5.000000E-1	5.284443E-4	5.284443E-4	2.049576E-9	2.875977E+0
4.500000E-1	4.610498E-4	4.610498E-4	1.788186E-9	3.064453E+0
4.000000E-1	4.000091E-4	4.000091E-4	1.551439E-9	3.251953E+0
3.500000E-1	3.407438E-4	3.407438E-4	1.321578E-9	3.440430E+0
3.000000E-1	2.829721E-4	2.829721E-4	1.097510E-9	3.628906E+0
2.500000E-1	1.756904E-4	1.756904E-4	6.814169E-10	4.040039E+0
2.000000E-1	1.576304E-4	1.576304E-4	6.113711E-10	4.228516E+0
1.500000E-1	1.235988E-4	1.235988E-4	4.793791E-10	4.417969E+0
1.000000E-1	6.906604E-5	6.906604E-5	2.678733E-10	4.606445E+0
5.000000E-2	3.501678E-5	3.501678E-5	1.358129E-10	5.918945E+0
0.000000E+0	1.241877E-5	-1.241877E-5	-4.816633E-11	6.814453E+0
-5.000000E-2	1.783733E-5	-1.783733E-5	-6.918226E-11	7.337891E+0
-1.000000E-1	1.000726E-4	-1.000726E-4	-3.881327E-10	7.944336E+0
-1.500000E-1	1.557338E-4	-1.557338E-4	-6.040151E-10	8.132813E+0
-2.000000E-1	1.731165E-4	-1.731165E-4	-6.714338E-10	8.321289E+0
-2.500000E-1	2.585248E-4	-2.585248E-4	-1.002691E-9	8.897461E+0
-3.000000E-1	3.114599E-4	-3.114599E-4	-1.208000E-9	9.085938E+0
-3.500000E-1	3.622330E-4	-3.622330E-4	-1.404924E-9	9.273438E+0
-4.000000E-1	4.119405E-4	-4.119405E-4	-1.597715E-9	9.461914E+0
-4.500000E-1	4.600548E-4	-4.600548E-4	-1.784327E-9	9.650391E+0
-5.000000E-1	5.078018E-4	-5.078018E-4	-1.969514E-9	9.837891E+0
-5.000000E-1	4.978570E-4	-4.978570E-4	-1.930943E-9	1.002637E+1
-4.500000E-1	4.329462E-4	-4.329462E-4	-1.679186E-9	1.021387E+1
-4.000000E-1	3.727635E-4	-3.727635E-4	-1.445767E-9	1.040234E+1
-3.500000E-1	3.161336E-4	-3.161336E-4	-1.226127E-9	1.059082E+1
-3.000000E-1	2.611444E-4	-2.611444E-4	-1.012851E-9	1.077832E+1
-2.500000E-1	1.705888E-4	-1.705888E-4	-6.616301E-10	1.119043E+1
-2.000000E-1	1.624672E-4	-1.624672E-4	-6.301306E-10	1.176562E+1
-1.500000E-1	1.106650E-4	-1.106650E-4	-4.292152E-10	1.217773E+1
-1.000000E-1	5.668930E-5	-5.668930E-5	-2.198700E-10	1.236621E+1
-5.000000E-2	1.527055E-5	-1.527055E-5	-5.922696E-11	1.367871E+1
0.000000E+0	3.813251E-5	3.813251E-5	1.478973E-10	1.386719E+1
0.000000E+0	3.416439E-5	3.416439E-5	1.325069E-10	1.405664E+1
5.000000E-2	8.763230E-5	8.763230E-5	3.398827E-10	1.424512E+1
1.000000E-1	1.384063E-4	1.384063E-4	5.368103E-10	1.443359E+1
1.500000E-1	1.617944E-4	1.617944E-4	6.275211E-10	1.462305E+1
2.000000E-1	1.786314E-4	1.786314E-4	6.928234E-10	1.481152E+1
2.500000E-1	2.742231E-4	2.742231E-4	1.063577E-9	1.538672E+1
3.000000E-1	3.250367E-4	3.250367E-4	1.260658E-9	1.557520E+1
3.500000E-1	3.732777E-4	3.732777E-4	1.447761E-9	1.576367E+1
4.000000E-1	4.212319E-4	4.212319E-4	1.633752E-9	1.595117E+1
4.500000E-1	4.675131E-4	4.675131E-4	1.813254E-9	1.613965E+1
5.000000E-1	5.133031E-4	5.133031E-4	1.990851E-9	1.632813E+1
5.000000E-1	5.036499E-4	5.036499E-4	1.953411E-9	1.651563E+1
4.500000E-1	4.407616E-4	4.407616E-4	1.709498E-9	1.670410E+1
4.000000E-1	3.827120E-4	3.827120E-4	1.484352E-9	1.689160E+1
3.500000E-1	3.271471E-4	3.271471E-4	1.268843E-9	1.708008E+1
3.000000E-1	2.748156E-4	2.748156E-4	1.065875E-9	1.726855E+1
2.500000E-1	1.744351E-4	1.744351E-4	6.765482E-10	1.767969E+1
2.000000E-1	1.771422E-4	1.771422E-4	6.870478E-10	1.825586E+1
1.500000E-1	1.278113E-4	1.278113E-4	4.957173E-10	1.866699E+1
1.000000E-1	7.437826E-5	7.437826E-5	2.884768E-10	1.885547E+1
5.000000E-2	3.310896E-5	3.310896E-5	1.284134E-10	1.983398E+1
0.000000E+0	1.082147E-5	-1.082147E-5	-4.197116E-11	2.072949E+1
-5.000000E-2	1.769941E-5	-1.769941E-5	-6.864731E-11	2.125293E+1
-1.000000E-1	9.094506E-5	-9.094506E-5	-3.527313E-10	2.185938E+1
-1.500000E-1	1.504390E-4	-1.504390E-4	-5.834790E-10	2.204785E+1
-2.000000E-1	1.692860E-4	-1.692860E-4	-6.565775E-10	2.223633E+1
-2.500000E-1	2.410978E-4	-2.410978E-4	-9.351000E-10	2.281250E+1
-3.000000E-1	2.912397E-4	-2.912397E-4	-1.129576E-9	2.300000E+1
-3.500000E-1	3.391130E-4	-3.391130E-4	-1.315253E-9	2.318848E+1
-4.000000E-1	3.861514E-4	-3.861514E-4	-1.497692E-9	2.337695E+1
-4.500000E-1	4.317958E-4	-4.317958E-4	-1.674724E-9	2.356445E+1
-5.000000E-1	4.766447E-4	-4.766447E-4	-1.848671E-9	2.375293E+1
-5.000000E-1	4.673334E-4	-4.673334E-4	-1.812557E-9	2.394141E+1
-4.500000E-1	4.067880E-4	-4.067880E-4	-1.577731E-9	2.412891E+1
-4.000000E-1	3.503415E-4	-3.503415E-4	-1.358803E-9	2.431738E+1
-3.500000E-1	2.966475E-4	-2.966475E-4	-1.150550E-9	2.450488E+1
-3.000000E-1	1.826566E-4	-1.826566E-4	-7.084353E-10	2.491699E+1
-2.500000E-1	1.667401E-4	-1.667401E-4	-6.467031E-10	2.510547E+1
-2.000000E-1	1.515867E-4	-1.515867E-4	-5.879306E-10	2.568164E+1
-1.500000E-1	1.028381E-4	-1.028381E-4	-3.988585E-10	2.609277E+1
-1.000000E-1	5.234875E-5	-5.234875E-5	-2.030351E-10	2.628125E+1
-5.000000E-2	1.062805E-5	-1.062805E-5	-4.122100E-11	2.717676E+1
0.000000E+0	3.047650E-5	3.047650E-5	1.182034E-10	2.778320E+1
0.000000E+0	3.024664E-5	3.024664E-5	1.173119E-10	2.797266E+1
5.000000E-2	8.160607E-5	8.160607E-5	3.165099E-10	2.816113E+1
1.000000E-1	1.302465E-4	1.302465E-4	5.051624E-10	2.834961E+1
1.500000E-1	1.578802E-4	1.578802E-4	6.123400E-10	2.853809E+1
2.000000E-1	1.745366E-4	1.745366E-4	6.769420E-10	2.872754E+1
2.500000E-1	2.525533E-4	2.525533E-4	9.795302E-10	2.949121E+1
3.000000E-1	3.015254E-4	3.015254E-4	1.169469E-9	2.967871E+1
3.500000E-1	3.482998E-4	3.482998E-4	1.350884E-9	2.986719E+1
4.000000E-1	3.934847E-4	3.934847E-4	1.526134E-9	3.005469E+1
4.500000E-1	4.374908E-4	4.374908E-4	1.696812E-9	3.024316E+1
5.000000E-1	4.815786E-4	4.815786E-4	1.867807E-9	3.043164E+1
5.000000E-1	4.728213E-4	4.728213E-4	1.833842E-9	3.061914E+1
4.500000E-1	4.134464E-4	4.134464E-4	1.603556E-9	3.080762E+1
4.000000E-1	3.589237E-4	3.589237E-4	1.392089E-9	3.099609E+1
3.500000E-1	3.071353E-4	3.071353E-4	1.191227E-9	3.118359E+1
3.000000E-1	1.864847E-4	1.864847E-4	7.232826E-10	3.159570E+1
2.500000E-1	2.138635E-4	2.138635E-4	8.294716E-10	3.217090E+1
2.000000E-1	1.663936E-4	1.663936E-4	6.453593E-10	3.296973E+1
1.500000E-1	1.190118E-4	1.190118E-4	4.615882E-10	3.338184E+1
1.000000E-1	6.850524E-5	6.850524E-5	2.656982E-10	3.357031E+1
5.000000E-2	1.592750E-5	1.592750E-5	6.177495E-11	3.446582E+1
0.000000E+0	1.194502E-5	-1.194502E-5	-4.632886E-11	3.498926E+1
-5.000000E-2	5.369109E-5	-5.369109E-5	-2.082414E-10	3.559570E+1
-1.000000E-1	1.073738E-4	-1.073738E-4	-4.164504E-10	3.578418E+1
-1.500000E-1	1.488028E-4	-1.488028E-4	-5.771332E-10	3.597266E+1
-2.000000E-1	1.871779E-4	-1.871779E-4	-7.259713E-10	3.654883E+1
-2.500000E-1	2.224925E-4	-2.224925E-4	-8.629391E-10	3.734766E+1
-3.000000E-1	2.710616E-4	-2.710616E-4	-1.051315E-9	3.753516E+1
