voltage_YSR_1_32A	absJ_YSR_1_32A	J_YSR_1_32A	current_YSR_1_32A	time_YSR_1_32A
0.000000E+0	1.330246E-5	1.330246E-5	5.159373E-11	0.000000E+0
5.000000E-2	2.750680E+0	2.750680E+0	1.066854E-5	5.751953E-1
1.000000E-1	5.493829E+0	5.493829E+0	2.130787E-5	7.636719E-1
1.500000E-1	8.236427E+0	8.236427E+0	3.194506E-5	9.511719E-1
2.000000E-1	1.097605E+1	1.097605E+1	4.257070E-5	1.139648E+0
2.500000E-1	1.371476E+1	1.371476E+1	5.319283E-5	1.328125E+0
3.000000E-1	1.645973E+1	1.645973E+1	6.383922E-5	1.515625E+0
3.500000E-1	1.920552E+1	1.920552E+1	7.448877E-5	1.704102E+0
4.000000E-1	2.195246E+1	2.195246E+1	8.514283E-5	1.892578E+0
4.500000E-1	2.469534E+1	2.469534E+1	9.578109E-5	2.080078E+0
5.000000E-1	2.743270E+1	2.743270E+1	1.063980E-4	2.651367E+0
5.000000E-1	2.743678E+1	2.743678E+1	1.064138E-4	2.839844E+0
4.500000E-1	2.471568E+1	2.471568E+1	9.586001E-5	3.219727E+0
4.000000E-1	2.197554E+1	2.197554E+1	8.523234E-5	3.407227E+0
3.500000E-1	1.922987E+1	1.922987E+1	7.458325E-5	3.595703E+0
3.000000E-1	1.648438E+1	1.648438E+1	6.393483E-5	3.783203E+0
2.500000E-1	1.373856E+1	1.373856E+1	5.328515E-5	3.971680E+0
2.000000E-1	1.099746E+1	1.099746E+1	4.265374E-5	4.160156E+0
1.500000E-1	8.254014E+0	8.254014E+0	3.201327E-5	4.347656E+0
1.000000E-1	5.506512E+0	5.506512E+0	2.135706E-5	4.536133E+0
5.000000E-2	2.757510E+0	2.757510E+0	1.069503E-5	4.723633E+0
0.000000E+0	4.955110E-5	4.955110E-5	1.921844E-10	5.522461E+0
-5.000000E-2	2.745428E+0	-2.745428E+0	-1.064817E-5	6.292969E+0
-1.000000E-1	5.498684E+0	-5.498684E+0	-2.132670E-5	6.481445E+0
-1.500000E-1	8.251605E+0	-8.251605E+0	-3.200393E-5	6.668945E+0
-2.000000E-1	1.100146E+1	-1.100146E+1	-4.266927E-5	6.857422E+0
-2.500000E-1	1.375084E+1	-1.375084E+1	-5.333278E-5	7.045898E+0
-3.000000E-1	1.650656E+1	-1.650656E+1	-6.402083E-5	7.233398E+0
-3.500000E-1	1.926304E+1	-1.926304E+1	-7.471188E-5	7.421875E+0
-4.000000E-1	2.202103E+1	-2.202103E+1	-8.540878E-5	7.610352E+0
-4.500000E-1	2.477280E+1	-2.477280E+1	-9.608154E-5	7.797852E+0
-5.000000E-1	2.751972E+1	-2.751972E+1	-1.067355E-4	8.369141E+0
-5.000000E-1	2.752158E+1	-2.752158E+1	-1.067427E-4	8.557617E+0
-4.500000E-1	2.478367E+1	-2.478367E+1	-9.612368E-5	8.937500E+0
-4.000000E-1	2.203435E+1	-2.203435E+1	-8.546043E-5	9.125000E+0
-3.500000E-1	1.927825E+1	-1.927825E+1	-7.477087E-5	9.313477E+0
-3.000000E-1	1.652241E+1	-1.652241E+1	-6.408234E-5	9.500977E+0
-2.500000E-1	1.376650E+1	-1.376650E+1	-5.339349E-5	9.689453E+0
-2.000000E-1	1.101598E+1	-1.101598E+1	-4.272560E-5	9.877930E+0
-1.500000E-1	8.263870E+0	-8.263870E+0	-3.205150E-5	1.006543E+1
-1.000000E-1	5.507941E+0	-5.507941E+0	-2.136260E-5	1.025391E+1
-5.000000E-2	2.750363E+0	-2.750363E+0	-1.066731E-5	1.044238E+1
0.000000E+0	3.965456E-5	3.965456E-5	1.538006E-10	1.124023E+1
0.000000E+0	3.056195E-5	3.056195E-5	1.185348E-10	1.142969E+1
5.000000E-2	2.767177E+0	2.767177E+0	1.073252E-5	1.220020E+1
1.000000E-1	5.526729E+0	5.526729E+0	2.143547E-5	1.238770E+1
1.500000E-1	8.285183E+0	8.285183E+0	3.213416E-5	1.257617E+1
2.000000E-1	1.104067E+1	1.104067E+1	4.282134E-5	1.276367E+1
2.500000E-1	1.379520E+1	1.379520E+1	5.350482E-5	1.295215E+1
3.000000E-1	1.655535E+1	1.655535E+1	6.421009E-5	1.314062E+1
3.500000E-1	1.931622E+1	1.931622E+1	7.491815E-5	1.332812E+1
4.000000E-1	2.207791E+1	2.207791E+1	8.562940E-5	1.351660E+1
4.500000E-1	2.483513E+1	2.483513E+1	9.632329E-5	1.370508E+1
5.000000E-1	2.757990E+1	2.757990E+1	1.069689E-4	1.427539E+1
5.000000E-1	2.758062E+1	2.758062E+1	1.069717E-4	1.446387E+1
4.500000E-1	2.483872E+1	2.483872E+1	9.633721E-5	1.484375E+1
4.000000E-1	2.208221E+1	2.208221E+1	8.564607E-5	1.503125E+1
3.500000E-1	1.932104E+1	1.932104E+1	7.493683E-5	1.521973E+1
3.000000E-1	1.656047E+1	1.656047E+1	6.422995E-5	1.540820E+1
