1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
3.88E-11,8.92E-12,1.52E-11,9.67E-12,5.28E-12,1.99E-11,1.86E-11,1.78E-11,4.42E-12,1.62E-11,1.55E-11,,0.00E+00,6.51E-01,0,6.51E-01,2.15E-11,7.83E-11,,,3.25E-01,,3.25E-01,,4.99E-11,,0.00E+00,0.00E+00,3.88E-11
2.41E-11,1.85E-11,3.69E-11,1.79E-11,1.3E-11,3.78E-11,3.13E-11,2.01E-11,4.69E-11,1.82E-11,2.65E-11,,0.00E+00,1.30E+00,0,1.30E+00,1.55E-11,4.16E-11,,,6.50E-01,,6.50E-01,,2.85E-11,,6.50E-01,6.50E-01,2.41E-11
7.91E-11,3.77E-11,2.83E-11,1.49E-11,2.18E-11,2.87E-11,2.24E-11,2.13E-11,9.35E-11,1.29E-11,3.61E-11,,6.51E-01,1.95E+00,0.6508,1.95E+00,2.65E-11,4.74E-11,,,1.30E+00,,1.30E+00,,3.69E-11,,1.30E+00,1.30E+00,7.91E-11
7.69E-11,2.97E-11,6.74E-11,3.44E-11,2.26E-11,2.11E-11,2.78E-11,1.4E-11,1.39E-11,1.39E-11,3.22E-11,,1.30E+00,2.60E+00,1.3,2.60E+00,3.61E-11,3.63E-11,,,1.95E+00,,1.95E+00,,3.62E-11,,1.95E+00,1.95E+00,7.69E-11
3.48E-11,1.97E-11,4.78E-11,1.31E-11,1.78E-11,1.32E-11,2.49E-11,2.17E-11,2.23E-11,1.96E-11,2.35E-11,,1.95E+00,3.24E+00,1.95,3.24E+00,3.22E-11,3.43E-11,,,2.60E+00,,2.60E+00,,3.32E-11,,2.59E+00,2.59E+00,3.48E-11
6.50E-11,7.2E-11,2.57E-11,1.36E-11,1.27E-11,6.99E-11,2E-11,1.51E-11,7.4E-11,2.87E-11,3.97E-11,,2.60E+00,3.89E+00,2.599,3.89E+00,2.35E-11,3.45E-11,,,3.24E+00,,3.24E+00,,2.90E-11,,3.24E+00,3.24E+00,6.50E-11
3.41E-11,2.5E-11,1.5E-11,2.03E-11,1.22E-11,4.66E-11,2.3E-11,2.68E-11,2.26E-11,1.22E-11,2.38E-11,,3.24E+00,4.54E+00,3.244,4.54E+00,3.97E-11,3.74E-11,,,3.89E+00,,3.89E+00,,3.86E-11,,3.89E+00,3.89E+00,3.41E-11
3.37E-11,3.23E-11,1.83E-11,1.69E-11,2.26E-11,3.23E-11,3.23E-11,2.29E-11,3.29E-11,3.15E-11,2.76E-11,,3.89E+00,5.19E+00,3.89,5.19E+00,2.38E-11,3.99E-11,,,4.54E+00,,4.54E+00,,3.18E-11,,4.54E+00,4.54E+00,3.37E-11
4.53E-11,3.27E-11,2.24E-11,1.89E-11,3.07E-11,2.43E-11,3.04E-11,2.98E-11,4.2E-11,3.06E-11,3.07E-11,,4.54E+00,5.83E+00,4.54,5.83E+00,2.76E-11,2.76E-11,,,5.19E+00,,5.19E+00,,2.76E-11,,5.18E+00,5.18E+00,4.53E-11
1.20E-10,4.61E-11,1.4E-11,2.07E-11,3.3E-11,1.67E-11,1.68E-11,2.09E-11,3.68E-11,3.55E-11,3.61E-11,,5.19E+00,6.48E+00,5.189,6.48E+00,3.07E-11,1.50E-11,,,5.83E+00,,5.83E+00,,2.28E-11,,5.83E+00,5.83E+00,1.20E-10
3.64E-11,2.35E-11,1.28E-11,1.2E-11,2.31E-11,2.42E-11,2.76E-11,1.62E-11,1.37E-11,1.13E-10,3.03E-11,,5.84E+00,6.48E+00,5.835,6.48E+00,3.61E-11,3.03E-11,,,6.16E+00,,6.16E+00,,3.32E-11,,6.47E+00,6.47E+00,3.64E-11
3.45E-11,8.72E-12,2.75E-12,8.8E-12,9.23E-12,6.36E-12,1.55E-11,8.97E-12,9.06E-12,4.57E-11,1.50E-11,,6.48E+00,,6.479,,3.03E-11,,,,3.24E-01,,-3.24E-01,,2.03E-11,,6.47E+00,6.47E+00,3.45E-11
4.88E-11,2.22E-11,1.51E-11,1.52E-11,1.34E-11,1.15E-11,2.5E-11,2.75E-11,3.24E-11,6.51E-11,2.76E-11,,6.48E+00,,6.479,,1.50E-11,,,,6.50E-01,,-6.50E-01,,3.42E-11,,5.83E+00,5.83E+00,4.88E-11
1.52E-10,2.9E-11,1.84E-11,1.56E-11,2.02E-11,1.15E-11,3.07E-11,2.15E-11,3.16E-11,6.84E-11,3.99E-11,,5.83E+00,,5.831,,2.76E-11,,,,1.30E+00,,-1.30E+00,,2.52E-11,,5.18E+00,5.18E+00,1.52E-10
9.64E-11,3.58E-11,1.9E-11,1.63E-11,2.05E-11,1.36E-11,2.01E-11,2.22E-11,4.73E-11,8.32E-11,3.74E-11,,5.19E+00,,5.188,,3.99E-11,,,,1.95E+00,,-1.95E+00,,2.51E-11,,4.53E+00,4.53E+00,9.64E-11
8.47E-11,2.35E-11,2.55E-11,2.11E-11,2.34E-11,1.38E-11,2.75E-11,2.46E-11,2.89E-11,7.23E-11,3.45E-11,,4.54E+00,,4.539,,3.74E-11,,,,2.59E+00,,-2.59E+00,,2.45E-11,,3.89E+00,3.89E+00,8.47E-11
1.04E-10,2.73E-11,3.32E-11,1.67E-11,2.08E-11,1.7E-11,3.88E-11,1.93E-11,3.08E-11,3.51E-11,3.43E-11,,3.89E+00,,3.89,,3.45E-11,,,,3.24E+00,,-3.24E+00,,9.26E-11,,3.24E+00,3.24E+00,1.04E-10
1.35E-10,2.63E-11,1.59E-11,2.02E-11,1.87E-11,1.76E-11,3.73E-11,2.28E-11,2.4E-11,4.48E-11,3.63E-11,,3.24E+00,,3.24,,3.43E-11,,,,3.88E+00,,-3.88E+00,,3.67E-11,,2.59E+00,2.59E+00,1.35E-10
1.28E-10,2.52E-11,2.52E-11,2.14E-11,2.1E-11,1.03E-10,3.36E-11,3.34E-11,2.72E-11,5.55E-11,4.74E-11,,2.60E+00,,2.595,,3.63E-11,,,,4.53E+00,,-4.53E+00,,4.04E-11,,1.94E+00,1.94E+00,1.28E-10
8.56E-11,4.48E-11,1.61E-11,2.78E-11,1.82E-11,1.05E-10,2.07E-11,2.62E-11,2.78E-11,4.35E-11,4.16E-11,,1.95E+00,,1.949,,4.74E-11,,,,5.17E+00,,-5.17E+00,,2.45E-11,,1.30E+00,1.30E+00,8.56E-11
5.56E-11,4.61E-11,3.85E-11,2.07E-11,1.81E-11,4.75E-10,3.13E-11,3.47E-11,2.76E-11,3.54E-11,7.83E-11,,1.30E+00,,1.3,,4.16E-11,,,,5.82E+00,,-5.82E+00,,2.42E-11,,6.50E-01,6.50E-01,5.56E-11
5.18E-11,2.77E-11,4.44E-11,1.69E-11,2.03E-11,2.31E-10,2.71E-11,2E-11,2.13E-11,5.35E-11,5.14E-11,,6.51E-01,,0.6505,,7.83E-11,,,,6.14E+00,,-6.14E+00,,2.94E-11,,0.00E+00,0.00E+00,5.18E-11
5.15E-11,2.46E-11,4.82E-11,2.08E-11,2.37E-11,4.39E-11,2.81E-11,2.39E-11,2.18E-11,2.96E-11,3.16E-11,,0,6.48E-01,0,-6.48E-01,2.15E-11,1.91E-11,,,,,,,,,6.47E-01,-6.47E-01,5.15E-11
