2.98E-10,7.07E-10,7.39E-10,8.23E-10,3.80E-10,3.45E-10,4.90E-10,2.98E-10,8.16E-10,8.21E-10,5.72E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00012857,7.71E-05,2.98E-10
3.64E-10,7.49E-10,7E-10,2.34E-10,4.41E-11,4.15E-11,2.39E-10,2.56E-10,2.66E-10,6.2E-11,2.96E-10,,2.46E-04,2.77E+00,0.000147373,1.66E+00,5.72E-10,6.46E-06,,,1.39E+00,,8.32E-01,,3.23E-06,,0.00015614,9.37E-05,3.64E-10
6.46E-06,0.00000646,0.00000646,0.00000646,0.00000645,0.00000645,0.00000646,0.00000646,0.00000646,0.00000646,6.46E-06,,1.27E-04,5.54E+00,0.000076122,3.33E+00,2.96E-10,1.29E-05,,,2.77E+00,,1.66E+00,,6.45E-06,,2.7741,1.6644,6.46E-06
1.29E-05,0.0000129,0.0000129,0.0000129,0.0000129,0.0000129,0.0000129,0.0000129,0.0000129,0.0000129,1.29E-05,,2.77E+00,8.31E+00,1.66477,4.98E+00,6.46E-06,1.93E-05,,,5.54E+00,,3.32E+00,,1.29E-05,,5.541,3.3246,1.29E-05
1.94E-05,0.0000193,0.0000193,0.0000193,0.0000193,0.0000193,0.0000193,0.0000193,0.0000193,0.0000193,1.93E-05,,5.54E+00,1.11E+01,3.32526,6.64E+00,1.29E-05,2.58E-05,,,8.31E+00,,4.98E+00,,1.93E-05,,8.3068,4.9841,1.94E-05
2.58E-05,0.0000258,0.0000258,0.0000258,0.0000258,0.0000258,0.0000258,0.0000258,0.0000258,0.0000258,2.58E-05,,8.31E+00,1.38E+01,4.98501,8.30E+00,1.93E-05,3.22E-05,,,1.11E+01,,6.64E+00,,2.58E-05,,11.069,6.6416,2.58E-05
3.22E-05,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,3.22E-05,,1.11E+01,1.66E+01,6.64282,9.96E+00,2.58E-05,3.86E-05,,,1.38E+01,,8.30E+00,,3.22E-05,,13.83,8.2982,3.22E-05
3.86E-05,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000387,0.0000387,3.86E-05,,1.38E+01,1.94E+01,8.29976,1.16E+01,3.22E-05,4.51E-05,,,1.66E+01,,9.96E+00,,3.87E-05,,16.597,9.9581,3.86E-05
4.51E-05,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,4.51E-05,,1.66E+01,2.21E+01,9.96,1.33E+01,3.86E-05,5.15E-05,,,1.94E+01,,1.16E+01,,4.51E-05,,19.364,11.618,4.51E-05
5.15E-05,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,5.15E-05,,1.94E+01,2.49E+01,11.6205,1.49E+01,4.51E-05,5.79E-05,,,2.21E+01,,1.33E+01,,5.15E-05,,22.132,13.279,5.15E-05
5.79E-05,0.0000579,0.0000579,0.0000579,0.0000579,0.0000579,0.0000579,0.000058,0.000058,0.000058,5.79E-05,,2.21E+01,2.77E+01,13.2813,1.66E+01,5.15E-05,6.44E-05,,,2.49E+01,,1.49E+01,,5.80E-05,,24.895,14.937,5.79E-05
6.44E-05,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,6.44E-05,,2.49E+01,2.77E+01,14.9398,1.66E+01,5.79E-05,6.44E-05,,,2.63E+01,,1.58E+01,,6.12E-05,,27.657,16.594,6.44E-05
6.44E-05,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,0.0000644,6.44E-05,,2.77E+01,,16.5977,,6.44E-05,,,,1.38E+00,,-8.28E-01,,-3.21E-06,,27.657,16.594,6.44E-05
5.79E-05,0.0000579,0.0000579,0.0000579,0.0000579,0.0000579,0.0000579,0.000058,0.000058,0.000058,5.79E-05,,2.77E+01,,16.5975,,6.44E-05,,,,2.76E+00,,-1.66E+00,,-6.45E-06,,24.895,14.937,5.79E-05
5.15E-05,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,0.0000515,5.15E-05,,2.49E+01,,14.9397,,5.79E-05,,,,5.53E+00,,-3.32E+00,,-1.29E-05,,22.131,13.279,5.15E-05
4.51E-05,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,0.0000451,4.51E-05,,2.21E+01,,13.2813,,5.15E-05,,,,8.29E+00,,-4.98E+00,,-1.93E-05,,19.363,11.618,4.51E-05
3.86E-05,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000386,0.0000387,3.86E-05,,1.94E+01,,11.6204,,4.51E-05,,,,1.11E+01,,-6.64E+00,,-2.58E-05,,16.596,9.9578,3.86E-05
3.22E-05,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,0.0000322,3.22E-05,,1.66E+01,,9.95984,,3.86E-05,,,,1.38E+01,,-8.29E+00,,-3.22E-05,,13.83,8.2978,3.22E-05
