9.95E-11,9.76E-11,7.23E-11,6.93E-11,1.00E-10,8.91E-11,6.49E-11,1.22E-10,9.57E-11,9.05E-11,9.01E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,4.27E-05,2.56E-05,9.95E-11
5.96E-11,1.01E-10,1.38E-10,8.84E-11,8.24E-11,1.14E-10,7.81E-11,1.05E-10,9.18E-11,6.07E-11,9.19E-11,,3.87E-05,4.60E-01,0.00002319,2.76E-01,9.01E-11,1.07E-06,,,2.30E-01,,1.38E-01,,5.35E-07,,2.56E-05,1.54E-05,5.96E-11
1.07E-06,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,1.07E-06,,3.96E-05,9.19E-01,0.00002368,5.51E-01,9.19E-11,2.14E-06,,,4.60E-01,,2.76E-01,,1.07E-06,,0.46016,0.27609,1.07E-06
2.14E-06,0.00000214,0.00000214,0.00000214,0.00000214,0.00000214,0.00000214,0.00000214,0.00000214,0.00000214,2.14E-06,,4.60E-01,1.38E+00,0.276038,8.27E-01,1.07E-06,3.21E-06,,,9.19E-01,,5.51E-01,,2.14E-06,,0.91928,0.55157,2.14E-06
3.21E-06,0.00000321,0.00000321,0.00000321,0.00000321,0.00000321,0.00000321,0.00000321,0.00000321,0.00000321,3.21E-06,,9.19E-01,1.84E+00,0.551459,1.10E+00,2.14E-06,4.28E-06,,,1.38E+00,,8.27E-01,,3.21E-06,,1.3785,0.8271,3.21E-06
4.28E-06,0.00000428,0.00000428,0.00000428,0.00000428,0.00000428,0.00000428,0.00000428,0.00000427,0.00000428,4.28E-06,,1.38E+00,2.30E+00,0.826906,1.38E+00,3.21E-06,5.34E-06,,,1.84E+00,,1.10E+00,,4.28E-06,,1.8373,1.1024,4.28E-06
5.34E-06,0.00000534,0.00000534,0.00000534,0.00000534,0.00000534,0.00000534,0.00000534,0.00000534,0.00000534,5.34E-06,,1.84E+00,2.76E+00,1.10221,1.65E+00,4.28E-06,6.41E-06,,,2.30E+00,,1.38E+00,,5.35E-06,,2.2963,1.3778,5.34E-06
6.42E-06,0.00000642,0.00000642,0.00000641,0.00000641,0.00000641,0.00000641,0.00000641,0.00000641,0.00000641,6.41E-06,,2.30E+00,3.22E+00,1.37753,1.93E+00,5.34E-06,7.48E-06,,,2.76E+00,,1.65E+00,,6.41E-06,,2.7566,1.6539,6.42E-06
7.49E-06,0.00000749,0.00000748,0.00000749,0.00000749,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,7.48E-06,,2.76E+00,3.68E+00,1.65356,2.21E+00,6.41E-06,8.56E-06,,,3.22E+00,,1.93E+00,,7.49E-06,,3.217,1.9302,7.49E-06
8.56E-06,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,8.56E-06,,3.22E+00,4.14E+00,1.92979,2.48E+00,7.48E-06,9.61E-06,,,3.68E+00,,2.21E+00,,8.55E-06,,3.6776,2.2066,8.56E-06
9.62E-06,0.00000964,0.00000962,0.0000096,0.00000962,0.0000096,0.0000096,0.0000096,0.0000096,0.0000096,9.61E-06,,3.68E+00,4.60E+00,2.20613,2.76E+00,8.56E-06,1.07E-05,,,4.14E+00,,2.48E+00,,9.63E-06,,4.1378,2.4827,9.62E-06
1.07E-05,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,1.07E-05,,4.14E+00,4.60E+00,2.48229,2.76E+00,9.61E-06,1.07E-05,,,4.37E+00,,2.62E+00,,1.02E-05,,4.5986,2.7591,1.07E-05
1.07E-05,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,0.0000107,1.07E-05,,4.60E+00,,2.75867,,1.07E-05,,,,2.29E-01,,-1.37E-01,,-5.30E-07,,4.5986,2.7592,1.07E-05
9.62E-06,0.00000964,0.00000962,0.0000096,0.00000962,0.0000096,0.0000096,0.0000096,0.0000096,0.0000096,9.61E-06,,4.60E+00,,2.75871,,1.07E-05,,,,4.58E-01,,-2.75E-01,,-1.06E-06,,4.138,2.4828,9.62E-06
8.56E-06,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,0.00000856,8.56E-06,,4.14E+00,,2.48229,,9.61E-06,,,,9.16E-01,,-5.50E-01,,-2.13E-06,,3.6776,2.2065,8.56E-06
