Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,3.45E-07,-3.45E-07,-1.34E-12,0,0,0,0,0,0,0
0.05,3.74E-07,-3.74E-07,-1.45E-12,0.52344,0,0,0,0,0,0
0.1,3.27E-07,3.27E-07,1.27E-12,1.0469,0,0,0,0,0,0
0.15,1.73E-07,-1.73E-07,-6.70E-13,1.5703,0,0,0,0,0,0
0.2,2.91E-07,-2.91E-07,-1.13E-12,2.0938,0,0,0,0,0,0
0.25,6.06E-08,-6.06E-08,-2.35E-13,2.6172,0,0,0,0,0,0
0.3,1.73E-08,-1.73E-08,-6.72E-14,3.1406,0,0,0,0,0,0
0.35,3.47E-08,3.47E-08,1.35E-13,3.6641,0,0,0,0,0,0
0.4,4.97E-08,4.97E-08,1.93E-13,4.1875,0,0,0,0,0,0
0.45,8.35E-08,8.35E-08,3.24E-13,4.7109,0,0,0,0,0,0
0.5,2.28E-07,2.28E-07,8.83E-13,5.2344,0,0,0,0,0,0
0.5,1.98E-07,-1.98E-07,-7.66E-13,5.7578,0,0,0,0,0,0
0.45,5.86E-07,-5.86E-07,-2.27E-12,6.2812,0,0,0,0,0,0
0.4,2.45E-06,2.45E-06,9.52E-12,6.8047,0,0,0,0,0,0
0.35,1.99E-06,1.99E-06,7.73E-12,7.3281,0,0,0,0,0,0
0.3,2.24E-07,2.24E-07,8.69E-13,7.8516,0,0,0,0,0,0
0.25,1.33E-07,-1.33E-07,-5.16E-13,8.375,0,0,0,0,0,0
0.2,1.02E-07,1.02E-07,3.94E-13,8.8984,0,0,0,0,0,0
0.15,7.90E-07,-7.90E-07,-3.06E-12,9.4219,0,0,0,0,0,0
0.1,1.51E-07,-1.51E-07,-5.85E-13,9.9453,0,0,0,0,0,0
0.05,2.51E-07,-2.51E-07,-9.73E-13,10.469,0,0,0,0,0,0
0,2.28E-07,-2.28E-07,-8.86E-13,10.992,0,0,0,0,0,0
-0.05,1.80E-07,-1.80E-07,-6.96E-13,11.517,0,0,0,0,0,0
-0.1,2.18E-07,-2.18E-07,-8.47E-13,12.04,0,0,0,0,0,0
-0.15,2.09E-07,-2.09E-07,-8.11E-13,12.563,0,0,0,0,0,0
-0.2,2.33E-07,-2.33E-07,-9.06E-13,13.087,0,0,0,0,0,0
