Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,1.99E-07,1.99E-07,7.71E-13,0,0,0,0,0,0,0
0.05,1.71E-07,1.71E-07,6.62E-13,0.52344,0,0,0,0,0,0
0.1,2.05E-07,2.05E-07,7.93E-13,1.0469,0,0,0,0,0,0
0.15,2.57E-07,2.57E-07,9.98E-13,1.5703,0,0,0,0,0,0
0.2,2.83E-07,2.83E-07,1.10E-12,2.0938,0,0,0,0,0,0
0.25,2.97E-07,2.97E-07,1.15E-12,2.6172,0,0,0,0,0,0
0.3,3.45E-07,3.45E-07,1.34E-12,3.1406,0,0,0,0,0,0
0.35,3.42E-07,3.42E-07,1.33E-12,3.6641,0,0,0,0,0,0
0.4,3.99E-07,3.99E-07,1.55E-12,4.1875,0,0,0,0,0,0
0.45,4.15E-07,4.15E-07,1.61E-12,4.7109,0,0,0,0,0,0
0.5,4.34E-07,4.34E-07,1.68E-12,5.2344,0,0,0,0,0,0
0.5,3.12E-07,3.12E-07,1.21E-12,5.7578,0,0,0,0,0,0
0.45,1.11E-07,1.11E-07,4.31E-13,6.2812,0,0,0,0,0,0
0.4,7.24E-08,7.24E-08,2.81E-13,6.8047,0,0,0,0,0,0
0.35,1.90E-09,-1.90E-09,-7.38E-15,7.3281,0,0,0,0,0,0
0.3,1.16E-07,-1.16E-07,-4.49E-13,7.8516,0,0,0,0,0,0
0.25,7.22E-08,-7.22E-08,-2.80E-13,8.375,0,0,0,0,0,0
0.2,1.63E-08,1.63E-08,6.32E-14,8.8984,0,0,0,0,0,0
0.15,4.25E-07,-4.25E-07,-1.65E-12,9.4219,0,0,0,0,0,0
0.1,2.60E-07,-2.60E-07,-1.01E-12,9.9453,0,0,0,0,0,0
0.05,3.04E-07,-3.04E-07,-1.18E-12,10.469,0,0,0,0,0,0
0,2.70E-07,-2.70E-07,-1.05E-12,10.992,0,0,0,0,0,0
-0.05,1.24E-07,-1.24E-07,-4.82E-13,11.516,0,0,0,0,0,0
-0.1,2.97E-07,-2.97E-07,-1.15E-12,12.039,0,0,0,0,0,0
-0.15,2.41E-08,-2.41E-08,-9.35E-14,12.562,0,0,0,0,0,0
-0.2,7.29E-07,-7.29E-07,-2.83E-12,13.086,0,0,0,0,0,0
-0.25,5.98E-07,-5.98E-07,-2.32E-12,13.609,0,0,0,0,0,0
