Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,8.22E-07,-8.22E-07,-3.19E-12,0,0,0,0,0,0,0
0.05,8.49E-07,-8.49E-07,-3.29E-12,0.52344,0,0,0,0,0,0
0.1,7.82E-07,-7.82E-07,-3.03E-12,1.0469,0,0,0,0,0,0
0.15,9.94E-07,-9.94E-07,-3.86E-12,1.5703,0,0,0,0,0,0
0.2,3.78E-07,-3.78E-07,-1.47E-12,2.0938,0,0,0,0,0,0
0.25,8.81E-07,-8.81E-07,-3.42E-12,2.6172,0,0,0,0,0,0
0.3,1.23E-06,-1.23E-06,-4.77E-12,3.1406,0,0,0,0,0,0
0.35,9.83E-07,9.83E-07,3.81E-12,3.6641,0,0,0,0,0,0
0.4,1.00E-07,-1.00E-07,-3.88E-13,4.1875,0,0,0,0,0,0
0.45,4.09E-08,-4.09E-08,-1.59E-13,4.7109,0,0,0,0,0,0
0.5,6.04E-08,-6.04E-08,-2.34E-13,5.2344,0,0,0,0,0,0
0.5,2.02E-07,-2.02E-07,-7.84E-13,5.7578,0,0,0,0,0,0
0.45,4.11E-07,-4.11E-07,-1.59E-12,6.2812,0,0,0,0,0,0
0.4,5.05E-07,-5.05E-07,-1.96E-12,6.8047,0,0,0,0,0,0
0.35,5.45E-07,-5.45E-07,-2.11E-12,7.3281,0,0,0,0,0,0
0.3,5.90E-07,-5.90E-07,-2.29E-12,7.8516,0,0,0,0,0,0
0.25,5.66E-07,-5.66E-07,-2.20E-12,8.375,0,0,0,0,0,0
0.2,5.41E-07,-5.41E-07,-2.10E-12,8.8984,0,0,0,0,0,0
0.15,5.89E-07,-5.89E-07,-2.28E-12,9.4219,0,0,0,0,0,0
0.1,6.04E-07,-6.04E-07,-2.34E-12,9.9453,0,0,0,0,0,0
0.05,6.49E-07,-6.49E-07,-2.52E-12,10.469,0,0,0,0,0,0
0,6.86E-07,-6.86E-07,-2.66E-12,10.992,0,0,0,0,0,0
-0.05,7.17E-07,-7.17E-07,-2.78E-12,11.517,0,0,0,0,0,0
-0.1,7.65E-07,-7.65E-07,-2.97E-12,12.04,0,0,0,0,0,0
-0.15,7.85E-07,-7.85E-07,-3.04E-12,12.563,0,0,0,0,0,0
-0.2,2.10E-06,-2.10E-06,-8.16E-12,13.087,0,0,0,0,0,0
-0.25,1.61E-06,1.61E-06,6.24E-12,13.61,0,0,0,0,0,0
-0.3,9.22E-07,-9.22E-07,-3.57E-12,14.134,0,0,0,0,0,0
-0.35,6.95E-07,-6.95E-07,-2.70E-12,14.657,0,0,0,0,0,0
-0.4,1.10E-06,-1.10E-06,-4.25E-12,15.181,0,0,0,0,0,0
-0.45,1.29E-06,-1.29E-06,-5.02E-12,15.704,0,0,0,0,0,0
-0.5,6.69E-07,-6.69E-07,-2.60E-12,16.228,0,0,0,0,0,0
-0.5,1.98E-06,-1.98E-06,-7.66E-12,16.751,0,0,0,0,0,0
-0.45,1.02E-06,-1.02E-06,-3.96E-12,17.274,0,0,0,0,0,0
-0.4,4.13E-07,-4.13E-07,-1.60E-12,17.798,0,0,0,0,0,0
-0.35,6.82E-07,-6.82E-07,-2.65E-12,18.321,0,0,0,0,0,0
-0.3,1.01E-06,-1.01E-06,-3.93E-12,18.845,0,0,0,0,0,0
-0.25,5.26E-07,-5.26E-07,-2.04E-12,19.368,0,0,0,0,0,0
-0.2,1.30E-07,-1.30E-07,-5.04E-13,19.892,0,0,0,0,0,0
-0.15,1.53E-08,1.53E-08,5.92E-14,20.415,0,0,0,0,0,0
-0.1,6.74E-08,-6.74E-08,-2.61E-13,20.938,0,0,0,0,0,0
-0.05,2.25E-08,2.25E-08,8.75E-14,21.462,0,0,0,0,0,0
0,2.28E-09,2.28E-09,8.83E-15,21.985,0,0,0,0,0,0
0,1.40E-07,-1.40E-07,-5.42E-13,0,0,0,0,0,0,0
0.05,4.50E-08,-4.50E-08,-1.74E-13,0.52344,0,0,0,0,0,0
0.1,2.56E-08,2.56E-08,9.92E-14,1.0469,0,0,0,0,0,0
0.15,7.48E-08,7.48E-08,2.90E-13,1.5703,0,0,0,0,0,0
0.2,1.46E-07,1.46E-07,5.65E-13,2.0938,0,0,0,0,0,0
0.25,1.70E-07,1.70E-07,6.58E-13,2.6172,0,0,0,0,0,0
0.3,2.33E-07,2.33E-07,9.03E-13,3.1406,0,0,0,0,0,0
0.35,2.68E-07,2.68E-07,1.04E-12,3.6641,0,0,0,0,0,0
0.4,3.05E-07,3.05E-07,1.18E-12,4.1875,0,0,0,0,0,0
0.45,3.59E-07,3.59E-07,1.39E-12,4.7109,0,0,0,0,0,0
0.5,4.23E-07,4.23E-07,1.64E-12,5.2344,0,0,0,0,0,0
0.5,3.06E-07,3.06E-07,1.19E-12,5.7578,0,0,0,0,0,0
0.45,6.40E-07,6.40E-07,2.48E-12,6.2812,0,0,0,0,0,0
0.4,4.53E-07,-4.53E-07,-1.76E-12,6.8047,0,0,0,0,0,0
0.35,8.49E-07,-8.49E-07,-3.29E-12,7.3281,0,0,0,0,0,0
0.3,6.34E-08,-6.34E-08,-2.46E-13,7.8516,0,0,0,0,0,0
0.25,3.97E-07,3.97E-07,1.54E-12,8.375,0,0,0,0,0,0
0.2,9.57E-07,-9.57E-07,-3.71E-12,8.8984,0,0,0,0,0,0
0.15,6.90E-07,-6.90E-07,-2.68E-12,9.4219,0,0,0,0,0,0
0.1,2.03E-07,-2.03E-07,-7.88E-13,9.9453,0,0,0,0,0,0
0.05,9.09E-08,-9.09E-08,-3.53E-13,10.469,0,0,0,0,0,0
0,1.42E-06,-1.42E-06,-5.49E-12,10.992,0,0,0,0,0,0
-0.05,5.50E-07,-5.50E-07,-2.13E-12,11.516,0,0,0,0,0,0
-0.1,1.12E-07,-1.12E-07,-4.35E-13,12.039,0,0,0,0,0,0
-0.15,1.58E-06,-1.58E-06,-6.13E-12,12.562,0,0,0,0,0,0
-0.2,6.70E-07,-6.70E-07,-2.60E-12,13.086,0,0,0,0,0,0
-0.25,1.30E-07,1.30E-07,5.05E-13,13.609,0,0,0,0,0,0
-0.3,1.47E-06,-1.47E-06,-5.71E-12,14.133,0,0,0,0,0,0
