Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,1.05E-07,-1.05E-07,-4.06E-13,0,0,0,0,0,0,0
0.05,0.00076538,0.00076538,2.97E-09,0.5752,0,0,0,0,0,0
0.1,0.0017674,0.0017674,6.86E-09,0.76367,0,0,0,0,0,0
0.15,0.0046924,0.0046924,1.82E-08,1.3389,0,0,0,0,0,0
0.2,0.011215,0.011215,4.35E-08,1.5273,0,0,0,0,0,0
0.25,0.017558,0.017558,6.81E-08,1.7148,0,0,0,0,0,0
0.3,0.038145,0.038145,1.48E-07,2.29,0,0,0,0,0,0
0.35,0.07879,0.07879,3.06E-07,2.4775,0,0,0,0,0,0
0.4,0.11104,0.11104,4.31E-07,3.2461,0,0,0,0,0,0
0.45,0.12091,0.12091,4.69E-07,3.4336,0,0,0,0,0,0
0.5,0.10018,0.10018,3.89E-07,3.6221,0,0,0,0,0,0
0.5,0.10167,0.10167,3.94E-07,3.8096,0,0,0,0,0,0
0.45,0.063161,0.063161,2.45E-07,3.998,0,0,0,0,0,0
0.4,0.043937,0.043937,1.70E-07,4.1865,0,0,0,0,0,0
0.35,0.053207,0.053207,2.06E-07,4.9541,0,0,0,0,0,0
0.3,0.018759,0.018759,7.28E-08,5.3359,0,0,0,0,0,0
0.25,0.013851,0.013851,5.37E-08,5.5244,0,0,0,0,0,0
0.2,0.0095995,0.0095995,3.72E-08,5.7119,0,0,0,0,0,0
0.15,0.0064747,0.0064747,2.51E-08,5.9004,0,0,0,0,0,0
0.1,0.0043059,0.0043059,1.67E-08,6.0879,0,0,0,0,0,0
0.05,0.0018631,0.0018631,7.23E-09,6.4697,0,0,0,0,0,0
0,1.16E-06,1.16E-06,4.49E-12,7.3643,0,0,0,0,0,0
-0.05,0.0012026,-0.0012026,-4.66E-09,7.9414,0,0,0,0,0,0
-0.1,0.0023526,-0.0023526,-9.12E-09,8.1289,0,0,0,0,0,0
-0.15,0.0035016,-0.0035016,-1.36E-08,8.7041,0,0,0,0,0,0
-0.2,0.0048399,-0.0048399,-1.88E-08,8.8926,0,0,0,0,0,0
-0.25,0.0060188,-0.0060188,-2.33E-08,9.0811,0,0,0,0,0,0
-0.3,0.0091368,-0.0091368,-3.54E-08,9.2686,0,0,0,0,0,0
-0.35,0.012188,-0.012188,-4.73E-08,9.457,0,0,0,0,0,0
-0.4,0.015142,-0.015142,-5.87E-08,9.6445,0,0,0,0,0,0
-0.45,0.026584,-0.026584,-1.03E-07,9.833,0,0,0,0,0,0
-0.5,0.033153,-0.033153,-1.29E-07,10.407,0,0,0,0,0,0
