Group,Set,ID,B Area,B Length,B Thickness,PR (nu),R Area,R Length,R Location,Contacts,dR/dX,GF,dR/R_0,Strain,nR
1.00,1.0000,7H,642.0000,64.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.000400,0.028253,4.797980,0.169822,6.792880
1.00,1.0000,7I,592.0000,59.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.000606,0.029013,5.384615,0.185593,7.423720
1.00,1.0000,7J,542.0000,54.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.001250,0.032690,6.692407,0.204722,8.188880
1.00,1.0000,7K,492.0000,49.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.001130,0.029721,6.789649,0.228443,9.137720
1.00,1.0000,7A,442.0000,44.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.001800,0.030835,7.575758,0.245687,9.827480
1.00,1.0000,7B,392.0000,39.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.002200,0.020245,7.987220,0.394529,15.781160
1.00,1.0000,7C,342.0000,34.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.002300,0.067189,9.976526,0.148484,5.939340
1.00,1.0000,7D,292.0000,29.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.005600,0.035544,14.030612,0.394736,15.789460
1.00,1.0000,7E,242.0000,24.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.006500,0.036938,14.175258,0.383761,15.350460
1.00,1.0000,7F,192.0000,19.2000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.011300,0.014978,12.068966,0.805757,32.230260
1.00,2.0000,8A,376.0000,37.6000,0.2600,0.5000,46.2500,8.0000,0.0000,FM,0.003000,0.037073,4.624592,0.124742,4.989660
1.00,2.0000,8B,376.0000,37.6000,0.5200,0.5000,46.2500,8.0000,0.0000,FM,0.007800,0.050856,8.821321,0.173459,6.938340
1.00,2.0000,8C,376.0000,37.6000,0.7800,0.5000,46.2500,8.0000,0.0000,FM,0.022600,0.147185,10.586924,0.071929,2.877180
1.00,2.0000,8D,376.0000,37.6000,1.0400,0.5000,46.2500,8.0000,0.0000,FM,0.033900,0.202292,16.604478,0.082082,3.283280
1.00,2.0000,8E,376.0000,37.6000,1.3000,0.5000,46.2500,8.0000,0.0000,FM,0.043600,0.257544,21.139706,0.082082,3.283280
1.000000,5.000000,12A,442.000000,44.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.006000,0.016785,4.452926,0.265293,10.611720
1.000000,5.000000,12B,392.000000,39.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.010200,0.044692,8.292383,0.185547,7.421880
1.000000,5.000000,12C,342.000000,34.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.010300,0.038944,7.033248,0.180598,7.223900
1.000000,5.000000,12D,292.000000,29.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.011500,0.050170,7.267442,0.144857,5.794280
1.000000,5.000000,12E,242.000000,24.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.009700,0.030372,5.829016,0.191920,7.676800
1.000000,5.000000,12F,192.000000,19.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.008800,0.018822,5.141388,0.273153,10.926140
1.000000,6.000000,13A,442.000000,44.200000,0.260000,0.500000,46.250000,8.000000,0.000000,SP,0.004100,0.014525,3.286684,0.226282,9.051280
1.000000,6.000000,13B,442.000000,44.200000,0.520000,0.500000,46.250000,8.000000,0.000000,SP,0.008300,0.091538,11.335784,0.123837,4.953480
1.000000,6.000000,13C,442.000000,44.200000,0.780000,0.500000,46.250000,8.000000,0.000000,SP,0.013900,0.150452,12.231504,0.081299,3.251940
1.000000,6.000000,13D,442.000000,44.200000,1.040000,0.500000,46.250000,8.000000,0.000000,SP,0.019300,0.210010,14.672686,0.069867,2.794660
1.000000,6.000000,13E,442.000000,44.200000,1.300000,0.500000,46.250000,8.000000,0.000000,SP,0.020100,0.190989,13.826185,0.072392,2.895700
