Group,Set,ID,B Area,B Length,B Thickness,PR (nu),R Area,R Length,R Location,Contacts,dR/dX,GF,dR/R_0,Strain,nR
1.00E+00,3.00E+00,29A,5.00E+02,5.00E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,2.80E-02,0.054517017,12.212644,0.224015258,8.96062
1.00E+00,3.00E+00,29B,5.00E+02,5.00E+01,0.26,0.5,66.25,1.20E+01,0.00E+00,FM,3.84E-02,0.036194446,8.108108,0.224015258,8.96062
1.00E+00,3.00E+00,29C,5.00E+02,5.00E+01,0.26,0.5,71.25,1.30E+01,0.00E+00,FM,1.19E-02,0.067788248,15.185602,0.224015258,8.96062
1.00E+00,3.00E+00,29D,5.00E+02,5.00E+01,0.26,0.5,76.25,1.40E+01,0.00E+00,FM,2.29E-02,0.050440471,11.299435,0.224015258,8.96062
1.00E+00,3.00E+00,29E,5.00E+02,5.00E+01,0.26,0.5,86.25,1.60E+01,0.00E+00,FM,1.19E-01,0.124799487,27.956989,0.224015258,8.96062
1.00E+00,4.00E+00,30A,5.00E+02,5.00E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,2.74E-02,0.080869233,18.115942,0.224015258,8.96062
1.00E+00,4.00E+00,30B,5.00E+02,5.00E+01,0.26,0.5,46.25,8.00E+00,5.00E+00,FM,1.54E-02,0.050832089,11.387164,0.224015258,8.96062
1.00E+00,4.00E+00,30C,5.00E+02,5.00E+01,0.26,0.5,46.25,8,10,FM,0.0149,0.056150713,12.578616,0.224015258,8.96062
1.00E+00,4.00E+00,30D,5.00E+02,5.00E+01,0.26,0.5,46.25,8,15,FM,0.136,0.193932852,43.443918,0.224015258,8.96062
1.00E+00,4.00E+00,30E,5.00E+02,5.00E+01,0.26,0.5,46.25,8,20,FM,0.0343,0.053142639,11.904762,0.224015258,8.96062
1.00E+00,5.00E+00,12A,4.42E+02,4.42E+01,0.26,0.5,46.25,8,0,SP,0.006,0.016784939,4.452926,0.265292958,10.61172
1.00E+00,5.00E+00,12B,3.92E+02,3.92E+01,0.26,0.5,46.25,8,0,SP,0.0102,0.044691504,8.292383,0.185547197,7.42188
1.00E+00,5.00E+00,12C,3.42E+02,3.42E+01,0.26,0.5,46.25,8,0,SP,0.0103,0.038944313,7.033248,0.180597565,7.2239
1.00E+00,5.00E+00,12D,2.92E+02,2.92E+01,0.26,0.5,46.25,8,0,SP,0.0115,0.050169745,7.267442,0.144857062,5.79428
1.00E+00,5.00E+00,12E,2.42E+02,2.42E+01,0.26,0.5,46.25,8,0,SP,0.0097,0.030372079,5.829016,0.191920205,7.6768
1.00E+00,5.00E+00,12F,1.92E+02,1.92E+01,0.26,0.5,46.25,8,0,SP,0.0088,0.01882235,5.141388,0.273153366,10.92614
1.00E+00,6.00E+00,13A,4.42E+02,4.42E+01,0.26,0.5,46.25,8,0,SP,0.0041,0.014524731,3.286684,0.226281892,9.05128
1.00E+00,6.00E+00,13B,4.42E+02,4.42E+01,0.52,0.5,46.25,8,0,SP,0.0083,0.091538009,11.335784,0.123836912,4.95348
1.00E+00,6.00E+00,13C,4.42E+02,4.42E+01,0.78,0.5,46.25,8,0,SP,0.0139,0.150451526,12.231504,0.081298634,3.25194
1.00E+00,6.00E+00,13D,4.42E+02,4.42E+01,1.04,0.5,46.25,8,0,SP,0.0193,0.210010099,14.672686,0.069866575,2.79466
1.00E+00,6.00E+00,13E,4.42E+02,4.42E+01,1.3,0.5,46.25,8,0,SP,0.0201,0.190989219,13.826185,0.07239249,2.8957
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
