voltage_Calibrate,absJ_Calibrate,J_Calibrate,current_Calibrate,time_Calibrate,R Control,dR/dV,R Predict,,,,
0.00E+00,4.39E-04,4.39E-04,1.70E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,
5.00E-02,6.97E+00,6.97E+00,2.70E-05,7.70E-01,1.85E+03,3.70E+04,1.09E+02,,1850.933241,,
1.00E-01,1.39E+01,1.39E+01,5.40E-05,9.58E-01,1.85E+03,5.77E+01,2.18E+02,,1850.933241,,
1.50E-01,2.09E+01,2.09E+01,8.09E-05,1.15E+00,1.85E+03,2.34E+01,3.27E+02,,dI,,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,1.72E+00,1.86E+03,4.32E+01,4.36E+02,,-0.00027063,4.59E-04,
2.50E-01,3.47E+01,3.47E+01,1.35E-04,1.91E+00,1.86E+03,1.58E+01,5.44E+02,,0.000188534,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,2.09E+00,1.86E+03,-3.40E+00,6.53E+02,,,,
3.50E-01,4.86E+01,4.86E+01,1.89E-04,2.28E+00,1.86E+03,-3.51E+00,7.62E+02,,dV,,
4.00E-01,2.30E+02,2.30E+02,8.93E-04,2.47E+00,4.48E+02,-2.82E+04,8.71E+02,,-0.5,8.50E-01,
4.50E-01,3.15E+02,3.15E+02,1.22E-03,3.04E+00,3.69E+02,-1.59E+03,9.80E+02,,3.50E-01,,
5.00E-01,3.67E+02,3.67E+02,1.43E-03,3.23E+00,3.51E+02,-3.54E+02,1.09E+03,,,,
5.00E-01,3.77E+02,3.77E+02,1.46E-03,3.42E+00,3.42E+02,0.00E+00,1.09E+03,,R,1.85E+03,
4.50E-01,3.44E+02,3.44E+02,1.33E-03,3.60E+00,3.37E+02,8.54E+01,9.80E+02,,,,
4.00E-01,3.08E+02,3.08E+02,1.20E-03,3.79E+00,3.34E+02,6.05E+01,8.71E+02,,R/dV,2.18E+03,
3.50E-01,4.86E+01,4.86E+01,1.89E-04,4.17E+00,1.86E+03,-3.04E+04,7.62E+02,,,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,4.36E+00,1.86E+03,-3.78E+00,6.53E+02,,Var S R,4.20E+05,
2.50E-01,3.47E+01,3.47E+01,1.35E-04,4.55E+00,1.86E+03,-3.97E+00,5.44E+02,,Var P R,4.19E+05,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,4.74E+00,1.86E+03,1.56E+01,4.36E+02,,,,
1.50E-01,2.09E+01,2.09E+01,8.09E-05,5.12E+00,1.85E+03,4.25E+01,3.27E+02,,Var S pR,4.26E+05,
1.00E-01,1.39E+01,1.39E+01,5.40E-05,5.30E+00,1.85E+03,2.22E+01,2.18E+02,,Var P pR,4.26E+05,
5.00E-02,6.97E+00,6.97E+00,2.70E-05,5.49E+00,1.85E+03,5.65E+01,1.09E+02,,,,
0.00E+00,4.49E-04,4.49E-04,1.74E-09,6.07E+00,0.00E+00,3.70E+04,0.00E+00,,,,
-5.00E-02,6.93E+00,-6.93E+00,-2.69E-05,6.84E+00,1.86E+03,-3.72E+04,-1.09E+02,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.38E-05,7.03E+00,1.86E+03,5.05E+01,-2.18E+02,,,,
-1.50E-01,2.08E+01,-2.08E+01,-8.08E-05,7.21E+00,1.86E+03,1.30E+01,-3.27E+02,,,,
-2.00E-01,2.78E+01,-2.78E+01,-1.08E-04,7.79E+00,1.86E+03,-1.86E+01,-4.36E+02,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,7.97E+00,1.86E+03,-4.90E+00,-5.44E+02,,,,
-3.00E-01,4.16E+01,-4.16E+01,-1.62E-04,8.16E+00,1.86E+03,1.65E+01,-6.53E+02,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,8.35E+00,1.85E+03,7.34E+01,-7.62E+02,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,8.54E+00,1.85E+03,5.93E+01,-8.71E+02,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,8.73E+00,1.85E+03,3.70E+01,-9.80E+02,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,8.91E+00,1.85E+03,3.08E+01,-1.09E+03,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,9.10E+00,1.85E+03,0.00E+00,-1.09E+03,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,9.29E+00,1.85E+03,3.09E+01,-9.80E+02,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,9.48E+00,1.85E+03,3.70E+01,-8.71E+02,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,9.67E+00,1.85E+03,5.90E+01,-7.62E+02,,,,
-3.00E-01,4.16E+01,-4.16E+01,-1.62E-04,9.85E+00,1.86E+03,7.34E+01,-6.53E+02,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,1.00E+01,1.86E+03,1.84E+01,-5.44E+02,,,,
-2.00E-01,2.77E+01,-2.77E+01,-1.08E-04,1.02E+01,1.86E+03,-4.54E+00,-4.36E+02,,,,
-1.50E-01,2.08E+01,-2.08E+01,-8.08E-05,1.06E+01,1.86E+03,-1.86E+01,-3.27E+02,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.38E-05,1.08E+01,1.86E+03,1.32E+01,-2.18E+02,,,,
-5.00E-02,6.93E+00,-6.93E+00,-2.69E-05,1.10E+01,1.86E+03,5.23E+01,-1.09E+02,,,,
0.00E+00,4.76E-04,4.76E-04,1.85E-09,1.16E+01,0.00E+00,-3.72E+04,0.00E+00,,,,
0.00E+00,3.05E-04,3.05E-04,1.18E-09,1.18E+01,0.00E+00,0.00E+00,0.00E+00,,,,
5.00E-02,6.97E+00,6.97E+00,2.70E-05,1.25E+01,1.85E+03,3.70E+04,1.09E+02,,,,
1.00E-01,1.39E+01,1.39E+01,5.40E-05,1.27E+01,1.85E+03,5.70E+01,2.18E+02,,,,
1.50E-01,2.09E+01,2.09E+01,8.09E-05,1.29E+01,1.85E+03,2.43E+01,3.27E+02,,,,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,1.35E+01,1.86E+03,4.25E+01,4.36E+02,,,,
2.50E-01,3.47E+01,3.47E+01,1.35E-04,1.37E+01,1.86E+03,1.58E+01,5.44E+02,,,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,1.38E+01,1.86E+03,-3.04E+00,6.53E+02,,,,
3.50E-01,4.86E+01,4.86E+01,1.89E-04,1.40E+01,1.86E+03,-4.42E+00,7.62E+02,,,,
4.00E-01,3.46E+02,3.46E+02,1.34E-03,1.46E+01,2.98E+02,-3.12E+04,8.71E+02,,,,
4.50E-01,4.00E+02,4.00E+02,1.55E-03,1.48E+01,2.90E+02,-1.55E+02,9.80E+02,,,,
5.00E-01,4.52E+02,4.52E+02,1.75E-03,1.50E+01,2.85E+02,-9.80E+01,1.09E+03,,,,
5.00E-01,4.60E+02,4.60E+02,1.78E-03,1.52E+01,2.80E+02,0.00E+00,1.09E+03,,,,
4.50E-01,4.24E+02,4.24E+02,1.64E-03,1.54E+01,2.74E+02,1.30E+02,9.80E+02,,,,
4.00E-01,3.86E+02,3.86E+02,1.50E-03,1.55E+01,2.67E+02,1.25E+02,8.71E+02,,,,
3.50E-01,4.86E+01,4.86E+01,1.89E-04,1.59E+01,1.86E+03,-3.18E+04,7.62E+02,,,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,1.61E+01,1.86E+03,-4.58E+00,6.53E+02,,,,
2.50E-01,3.47E+01,3.47E+01,1.35E-04,1.63E+01,1.86E+03,-3.57E+00,5.44E+02,,,,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,1.65E+01,1.86E+03,1.55E+01,4.36E+02,,,,
1.50E-01,2.09E+01,2.09E+01,8.09E-05,1.69E+01,1.85E+03,4.20E+01,3.27E+02,,,,
1.00E-01,1.39E+01,1.39E+01,5.40E-05,1.71E+01,1.85E+03,2.24E+01,2.18E+02,,,,
5.00E-02,6.97E+00,6.97E+00,2.70E-05,1.72E+01,1.85E+03,5.65E+01,1.09E+02,,,,
0.00E+00,5.02E-04,5.02E-04,1.95E-09,1.78E+01,0.00E+00,3.70E+04,0.00E+00,,,,
-5.00E-02,6.93E+00,-6.93E+00,-2.69E-05,1.86E+01,1.86E+03,-3.72E+04,-1.09E+02,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.38E-05,1.88E+01,1.86E+03,5.18E+01,-2.18E+02,,,,
-1.50E-01,2.08E+01,-2.08E+01,-8.08E-05,1.90E+01,1.86E+03,1.22E+01,-3.27E+02,,,,
-2.00E-01,2.77E+01,-2.77E+01,-1.08E-04,1.95E+01,1.86E+03,-1.95E+01,-4.36E+02,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.34E-04,1.97E+01,1.86E+03,-4.97E+00,-5.44E+02,,,,
-3.00E-01,4.16E+01,-4.16E+01,-1.61E-04,1.99E+01,1.86E+03,1.95E+01,-6.53E+02,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,2.01E+01,1.85E+03,7.38E+01,-7.62E+02,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,2.03E+01,1.85E+03,5.94E+01,-8.71E+02,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,2.05E+01,1.85E+03,3.69E+01,-9.80E+02,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,2.07E+01,1.85E+03,3.09E+01,-1.09E+03,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,2.09E+01,1.85E+03,0.00E+00,-1.09E+03,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,2.10E+01,1.85E+03,3.10E+01,-9.80E+02,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,2.12E+01,1.85E+03,3.70E+01,-8.71E+02,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,2.14E+01,1.85E+03,5.92E+01,-7.62E+02,,,,
-3.00E-01,4.16E+01,-4.16E+01,-1.61E-04,2.16E+01,1.86E+03,7.39E+01,-6.53E+02,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.34E-04,2.18E+01,1.86E+03,2.05E+01,-5.44E+02,,,,
-2.00E-01,2.77E+01,-2.77E+01,-1.08E-04,2.20E+01,1.86E+03,-5.03E+00,-4.36E+02,,,,
-1.50E-01,2.08E+01,-2.08E+01,-8.07E-05,2.24E+01,1.86E+03,-1.83E+01,-3.27E+02,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.38E-05,2.25E+01,1.86E+03,1.37E+01,-2.18E+02,,,,
-5.00E-02,6.93E+00,-6.93E+00,-2.69E-05,2.27E+01,1.86E+03,5.51E+01,-1.09E+02,,,,
