Group,Set,Trial,Sweep,B Length,B Thickness,R Length,PR (nu),GF,dR/R_0,Strain,V,I,R,J,t,R_Control,Variance,Pass,,Variance  R Control,Variance of R FM,Variance of R SP
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,0.00E+00,1.66E-08,0.00E+00,4.27E-03,0.00E+00,0,0.00E+00,1,,4.39E+03,2.31252E+16,6.27342E+20
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,5.00E-02,3.57E-05,1.40E+03,9.21E+00,3.81E-01,108.8936255,4.17E+04,0,,4394.037068,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,1.00E-01,7.14E-05,1.40E+03,1.84E+01,5.69E-01,217.787251,2.33E+04,0,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,1.50E-01,1.07E-04,1.40E+03,2.76E+01,1.14E+00,326.6808766,1.44E+04,0,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,2.00E-01,1.42E-04,1.40E+03,3.67E+01,1.33E+00,435.5745021,9.30E+03,0,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,2.50E-01,1.78E-04,1.40E+03,4.59E+01,1.52E+00,544.4681276,6.10E+03,0,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,3.00E-01,2.14E-04,1.40E+03,5.51E+01,1.70E+00,653.3617531,3.98E+03,1,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,3.50E-01,2.49E-04,1.40E+03,6.42E+01,1.89E+00,762.2553786,2.54E+03,1,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,4.00E-01,2.85E-04,1.40E+03,7.34E+01,2.08E+00,871.1490042,1.55E+03,1,,,,
4,1,1,1,44.15,0.26,8,0.5,0.030834973,0.007575758,0.245687184,4.50E-01,3.20E-04,1.40E+03,8.26E+01,2.27E+00,980.0426297,8.82E+02,1,,,,
