voltage_YSR_1_40A	absJ_YSR_1_40A	J_YSR_1_40A	current_YSR_1_40A	time_YSR_1_40A
0.000000E+0	4.272043E-3	4.272043E-3	1.656916E-8	0.000000E+0
5.000000E-2	9.214233E+0	9.214233E+0	3.573749E-5	3.808594E-1
1.000000E-1	1.839920E+1	1.839920E+1	7.136147E-5	5.693359E-1
1.500000E-1	2.756309E+1	2.756309E+1	1.069037E-4	1.140625E+0
2.000000E-1	3.672764E+1	3.672764E+1	1.424485E-4	1.328125E+0
2.500000E-1	4.588763E+1	4.588763E+1	1.779756E-4	1.516602E+0
3.000000E-1	5.506605E+1	5.506605E+1	2.135742E-4	1.704102E+0
3.500000E-1	6.424393E+1	6.424393E+1	2.491707E-4	1.892578E+0
4.000000E-1	7.342442E+1	7.342442E+1	2.847773E-4	2.081055E+0
4.500000E-1	8.259059E+1	8.259059E+1	3.203284E-4	2.268555E+0
5.000000E-1	9.175141E+1	9.175141E+1	3.558587E-4	2.457031E+0
5.000000E-1	9.175035E+1	9.175035E+1	3.558546E-4	2.645508E+0
4.500000E-1	8.258644E+1	8.258644E+1	3.203123E-4	2.833008E+0
4.000000E-1	7.341999E+1	7.341999E+1	2.847601E-4	3.021484E+0
3.500000E-1	6.423867E+1	6.423867E+1	2.491503E-4	3.208984E+0
3.000000E-1	5.506051E+1	5.506051E+1	2.135527E-4	3.397461E+0
2.500000E-1	4.588265E+1	4.588265E+1	1.779563E-4	3.585938E+0
2.000000E-1	3.672385E+1	3.672385E+1	1.424338E-4	3.773438E+0
1.500000E-1	2.755971E+1	2.755971E+1	1.068906E-4	3.961914E+0
1.000000E-1	1.839606E+1	1.839606E+1	7.134931E-5	4.341797E+0
5.000000E-2	9.212142E+0	9.212142E+0	3.572938E-5	4.529297E+0
0.000000E+0	3.743949E-3	3.743949E-3	1.452094E-8	5.104492E+0
-5.000000E-2	9.160619E+0	-9.160619E+0	-3.552955E-5	5.486328E+0
-1.000000E-1	1.834569E+1	-1.834569E+1	-7.115392E-5	5.674805E+0
-1.500000E-1	2.751392E+1	-2.751392E+1	-1.067130E-4	6.245117E+0
-2.000000E-1	3.668077E+1	-3.668077E+1	-1.422667E-4	6.433594E+0
-2.500000E-1	4.584256E+1	-4.584256E+1	-1.778008E-4	6.622070E+0
-3.000000E-1	5.502348E+1	-5.502348E+1	-2.134091E-4	6.809570E+0
-3.500000E-1	6.420596E+1	-6.420596E+1	-2.490234E-4	6.998047E+0
-4.000000E-1	7.339242E+1	-7.339242E+1	-2.846532E-4	7.185547E+0
-4.500000E-1	8.255610E+1	-8.255610E+1	-3.201946E-4	7.374023E+0
-5.000000E-1	9.172441E+1	-9.172441E+1	-3.557540E-4	7.562500E+0
-5.000000E-1	9.172415E+1	-9.172415E+1	-3.557530E-4	7.750000E+0
-4.500000E-1	8.255563E+1	-8.255563E+1	-3.201928E-4	7.938477E+0
-4.000000E-1	7.339044E+1	-7.339044E+1	-2.846455E-4	8.126953E+0
-3.500000E-1	6.420500E+1	-6.420500E+1	-2.490197E-4	8.314453E+0
-3.000000E-1	5.502083E+1	-5.502083E+1	-2.133988E-4	8.502930E+0
-2.500000E-1	4.584047E+1	-4.584047E+1	-1.777927E-4	8.690430E+0
-2.000000E-1	3.667881E+1	-3.667881E+1	-1.422591E-4	8.878906E+0
-1.500000E-1	2.751291E+1	-2.751291E+1	-1.067091E-4	9.067383E+0
-1.000000E-1	1.834510E+1	-1.834510E+1	-7.115166E-5	9.447266E+0
-5.000000E-2	9.159906E+0	-9.159906E+0	-3.552678E-5	9.634766E+0
0.000000E+0	3.757139E-5	3.757139E-5	1.457210E-10	1.043359E+1
0.000000E+0	3.163290E-5	3.163290E-5	1.226885E-10	1.062305E+1
5.000000E-2	9.212768E+0	9.212768E+0	3.573181E-5	1.139258E+1
1.000000E-1	1.839721E+1	1.839721E+1	7.135375E-5	1.158105E+1
1.500000E-1	2.756103E+1	2.756103E+1	1.068957E-4	1.215234E+1
2.000000E-1	3.672555E+1	3.672555E+1	1.424404E-4	1.233984E+1
2.500000E-1	4.588508E+1	4.588508E+1	1.779657E-4	1.252832E+1
3.000000E-1	5.506303E+1	5.506303E+1	2.135625E-4	1.271582E+1
3.500000E-1	6.424300E+1	6.424300E+1	2.491671E-4	1.290430E+1
4.000000E-1	7.342287E+1	7.342287E+1	2.847713E-4	1.309277E+1
4.500000E-1	8.258817E+1	8.258817E+1	3.203190E-4	1.328027E+1
5.000000E-1	9.175082E+1	9.175082E+1	3.558564E-4	1.346875E+1
5.000000E-1	9.175019E+1	9.175019E+1	3.558540E-4	1.365723E+1
4.500000E-1	8.258822E+1	8.258822E+1	3.203192E-4	1.384473E+1
4.000000E-1	7.342228E+1	7.342228E+1	2.847690E-4	1.403320E+1
3.500000E-1	6.424117E+1	6.424117E+1	2.491600E-4	1.422070E+1
3.000000E-1	5.506185E+1	5.506185E+1	2.135579E-4	1.440918E+1
2.500000E-1	4.588355E+1	4.588355E+1	1.779598E-4	1.459766E+1
2.000000E-1	3.672447E+1	3.672447E+1	1.424362E-4	1.478516E+1
1.500000E-1	2.756105E+1	2.756105E+1	1.068958E-4	1.497363E+1
1.000000E-1	1.839775E+1	1.839775E+1	7.135583E-5	1.535352E+1
5.000000E-2	9.212650E+0	9.212650E+0	3.573135E-5	1.554102E+1
0.000000E+0	2.801592E-3	2.801592E-3	1.086600E-8	1.592285E+1
-5.000000E-2	9.161661E+0	-9.161661E+0	-3.553359E-5	1.630469E+1
-1.000000E-1	1.834855E+1	-1.834855E+1	-7.116504E-5	1.649219E+1
-1.500000E-1	2.751859E+1	-2.751859E+1	-1.067311E-4	1.706348E+1
-2.000000E-1	3.668639E+1	-3.668639E+1	-1.422885E-4	1.725195E+1
-2.500000E-1	4.585024E+1	-4.585024E+1	-1.778306E-4	1.743945E+1
-3.000000E-1	5.503300E+1	-5.503300E+1	-2.134460E-4	1.762793E+1
-3.500000E-1	6.421758E+1	-6.421758E+1	-2.490685E-4	1.781641E+1
-4.000000E-1	7.340430E+1	-7.340430E+1	-2.846993E-4	1.800391E+1
-4.500000E-1	8.257216E+1	-8.257216E+1	-3.202569E-4	1.819238E+1
-5.000000E-1	9.173957E+1	-9.173957E+1	-3.558128E-4	1.837988E+1
-5.000000E-1	9.173849E+1	-9.173849E+1	-3.558086E-4	1.856836E+1
-4.500000E-1	8.256842E+1	-8.256842E+1	-3.202424E-4	1.875684E+1
-4.000000E-1	7.340266E+1	-7.340266E+1	-2.846929E-4	1.894434E+1
-3.500000E-1	6.421452E+1	-6.421452E+1	-2.490566E-4	1.913281E+1
-3.000000E-1	5.502838E+1	-5.502838E+1	-2.134281E-4	1.932129E+1
-2.500000E-1	4.584594E+1	-4.584594E+1	-1.778139E-4	1.950879E+1
-2.000000E-1	3.668270E+1	-3.668270E+1	-1.422742E-4	1.969727E+1
-1.500000E-1	2.751570E+1	-2.751570E+1	-1.067199E-4	1.988477E+1
-1.000000E-1	1.834670E+1	-1.834670E+1	-7.115786E-5	2.026465E+1
-5.000000E-2	9.160225E+0	-9.160225E+0	-3.552802E-5	2.045313E+1
0.000000E+0	7.649220E-6	7.649220E-6	2.966757E-11	2.195801E+1
0.000000E+0	7.179632E-6	7.179632E-6	2.784627E-11	2.248242E+1
5.000000E-2	9.213939E+0	9.213939E+0	3.573635E-5	2.305762E+1
1.000000E-1	1.839867E+1	1.839867E+1	7.135943E-5	2.324512E+1
1.500000E-1	2.756293E+1	2.756293E+1	1.069031E-4	2.381641E+1
2.000000E-1	3.672813E+1	3.672813E+1	1.424504E-4	2.400488E+1
2.500000E-1	4.588825E+1	4.588825E+1	1.779780E-4	2.419238E+1
3.000000E-1	5.506670E+1	5.506670E+1	2.135767E-4	2.438086E+1
3.500000E-1	6.424672E+1	6.424672E+1	2.491815E-4	2.456934E+1
4.000000E-1	7.342862E+1	7.342862E+1	2.847936E-4	2.475684E+1
4.500000E-1	8.259438E+1	8.259438E+1	3.203431E-4	2.494531E+1
5.000000E-1	9.175791E+1	9.175791E+1	3.558839E-4	2.513379E+1
5.000000E-1	9.175749E+1	9.175749E+1	3.558823E-4	2.532129E+1
4.500000E-1	8.259408E+1	8.259408E+1	3.203419E-4	2.550977E+1
4.000000E-1	7.342710E+1	7.342710E+1	2.847877E-4	2.569727E+1
3.500000E-1	6.424496E+1	6.424496E+1	2.491747E-4	2.588574E+1
3.000000E-1	5.506598E+1	5.506598E+1	2.135739E-4	2.607422E+1
2.500000E-1	4.588660E+1	4.588660E+1	1.779716E-4	2.626172E+1
2.000000E-1	3.672671E+1	3.672671E+1	1.424449E-4	2.645020E+1
1.500000E-1	2.756252E+1	2.756252E+1	1.069015E-4	2.663770E+1
1.000000E-1	1.839829E+1	1.839829E+1	7.135795E-5	2.701758E+1
5.000000E-2	9.213199E+0	9.213199E+0	3.573348E-5	2.720605E+1
0.000000E+0	3.891137E-3	3.891137E-3	1.509181E-8	2.778125E+1
-5.000000E-2	9.161731E+0	-9.161731E+0	-3.553386E-5	2.816309E+1
-1.000000E-1	1.834898E+1	-1.834898E+1	-7.116669E-5	2.835059E+1
-1.500000E-1	2.751817E+1	-2.751817E+1	-1.067295E-4	2.892187E+1
-2.000000E-1	3.668618E+1	-3.668618E+1	-1.422877E-4	2.911035E+1
-2.500000E-1	4.584949E+1	-4.584949E+1	-1.778277E-4	2.929785E+1
-3.000000E-1	5.503142E+1	-5.503142E+1	-2.134399E-4	2.948633E+1
-3.500000E-1	6.421580E+1	-6.421580E+1	-2.490616E-4	2.967383E+1
-4.000000E-1	7.340351E+1	-7.340351E+1	-2.846962E-4	2.986230E+1
-4.500000E-1	8.257061E+1	-8.257061E+1	-3.202509E-4	3.005078E+1
-5.000000E-1	9.173890E+1	-9.173890E+1	-3.558102E-4	3.023828E+1
-5.000000E-1	9.173679E+1	-9.173679E+1	-3.558020E-4	3.042676E+1
-4.500000E-1	8.256772E+1	-8.256772E+1	-3.202397E-4	3.061523E+1
-4.000000E-1	7.340217E+1	-7.340217E+1	-2.846910E-4	3.080273E+1
-3.500000E-1	6.421299E+1	-6.421299E+1	-2.490507E-4	3.099121E+1
-3.000000E-1	5.502916E+1	-5.502916E+1	-2.134311E-4	3.117871E+1
-2.500000E-1	4.584787E+1	-4.584787E+1	-1.778214E-4	3.136719E+1
-2.000000E-1	3.668402E+1	-3.668402E+1	-1.422793E-4	3.155566E+1
