voltage_YSR_1_40B	absJ_YSR_1_40B	J_YSR_1_40B	current_YSR_1_40B	time_YSR_1_40B
0.000000E+0	1.458198E-5	1.458198E-5	5.655635E-11	0.000000E+0
5.000000E-2	8.670472E+0	8.670472E+0	3.362851E-5	5.751953E-1
1.000000E-1	1.731510E+1	1.731510E+1	6.715680E-5	7.636719E-1
1.500000E-1	2.595745E+1	2.595745E+1	1.006762E-4	9.521484E-1
2.000000E-1	3.457398E+1	3.457398E+1	1.340955E-4	1.523438E+0
2.500000E-1	4.319858E+1	4.319858E+1	1.675461E-4	1.710938E+0
3.000000E-1	5.184071E+1	5.184071E+1	2.010647E-4	1.899414E+0
3.500000E-1	6.048649E+1	6.048649E+1	2.345974E-4	2.086914E+0
4.000000E-1	6.913452E+1	6.913452E+1	2.681389E-4	2.275391E+0
4.500000E-1	7.776882E+1	7.776882E+1	3.016271E-4	2.463867E+0
5.000000E-1	8.640080E+1	8.640080E+1	3.351063E-4	2.651367E+0
5.000000E-1	8.641198E+1	8.641198E+1	3.351497E-4	2.839844E+0
4.500000E-1	7.778558E+1	7.778558E+1	3.016921E-4	3.028320E+0
4.000000E-1	6.915726E+1	6.915726E+1	2.682271E-4	3.215820E+0
3.500000E-1	6.051193E+1	6.051193E+1	2.346961E-4	3.404297E+0
3.000000E-1	5.187039E+1	5.187039E+1	2.011798E-4	3.591797E+0
2.500000E-1	4.322047E+1	4.322047E+1	1.676310E-4	3.780273E+0
2.000000E-1	3.459404E+1	3.459404E+1	1.341733E-4	3.968750E+0
1.500000E-1	2.596322E+1	2.596322E+1	1.006986E-4	4.156250E+0
1.000000E-1	1.733084E+1	1.733084E+1	6.721784E-5	4.536133E+0
5.000000E-2	8.677540E+0	8.677540E+0	3.365592E-5	4.724609E+0
0.000000E+0	9.602191E-6	9.602191E-6	3.724219E-11	6.229492E+0
-5.000000E-2	8.632662E+0	-8.632662E+0	-3.348186E-5	6.805664E+0
-1.000000E-1	1.728754E+1	-1.728754E+1	-6.704987E-5	6.993164E+0
-1.500000E-1	2.593602E+1	-2.593602E+1	-1.005931E-4	7.181641E+0
-2.000000E-1	3.456712E+1	-3.456712E+1	-1.340689E-4	7.752930E+0
-2.500000E-1	4.320425E+1	-4.320425E+1	-1.675681E-4	7.940430E+0
-3.000000E-1	5.185216E+1	-5.185216E+1	-2.011091E-4	8.128906E+0
-3.500000E-1	6.050533E+1	-6.050533E+1	-2.346705E-4	8.317383E+0
-4.000000E-1	6.916719E+1	-6.916719E+1	-2.682656E-4	8.504883E+0
