voltage_YSR_1_40E	absJ_YSR_1_40E	J_YSR_1_40E	current_YSR_1_40E	time_YSR_1_40E
0.000000E+0	3.636449E-5	-3.636449E-5	-1.410400E-10	0.000000E+0
5.000000E-2	4.231466E-5	4.231466E-5	1.641178E-10	1.894531E-1
1.000000E-1	1.154046E-4	1.154046E-4	4.475978E-10	3.779297E-1
1.500000E-1	1.782936E-4	1.782936E-4	6.915135E-10	9.541016E-1
2.000000E-1	2.444295E-4	2.444295E-4	9.480221E-10	1.751953E+0
2.500000E-1	3.193325E-4	3.193325E-4	1.238534E-9	1.940430E+0
3.000000E-1	3.919851E-4	3.919851E-4	1.520318E-9	2.128906E+0
3.500000E-1	4.634716E-4	4.634716E-4	1.797579E-9	2.316406E+0
4.000000E-1	5.335289E-4	5.335289E-4	2.069297E-9	2.504883E+0
4.500000E-1	6.020926E-4	6.020926E-4	2.335222E-9	2.692383E+0
5.000000E-1	6.710253E-4	6.710253E-4	2.602578E-9	2.880859E+0
5.000000E-1	6.630426E-4	6.630426E-4	2.571617E-9	3.069336E+0
4.500000E-1	5.800878E-4	5.800878E-4	2.249876E-9	3.256836E+0
4.000000E-1	5.025356E-4	5.025356E-4	1.949089E-9	3.445313E+0
3.500000E-1	4.282127E-4	4.282127E-4	1.660827E-9	3.633789E+0
3.000000E-1	3.544181E-4	3.544181E-4	1.374614E-9	3.821289E+0
2.500000E-1	2.812949E-4	2.812949E-4	1.091005E-9	4.009766E+0
2.000000E-1	1.673421E-4	1.673421E-4	6.490378E-10	4.420898E+0
1.500000E-1	1.429688E-4	1.429688E-4	5.545060E-10	4.610352E+0
1.000000E-1	7.002631E-5	7.002631E-5	2.715977E-10	4.798828E+0
5.000000E-2	9.302909E-6	9.302909E-6	3.608142E-11	5.694336E+0
0.000000E+0	1.700588E-5	-1.700588E-5	-6.595745E-11	6.217773E+0
-5.000000E-2	1.088079E-4	-1.088079E-4	-4.220123E-10	6.824219E+0
-1.000000E-1	1.635598E-4	-1.635598E-4	-6.343682E-10	7.012695E+0
-1.500000E-1	1.820945E-4	-1.820945E-4	-7.062552E-10	7.201172E+0
-2.000000E-1	3.229403E-4	-3.229403E-4	-1.252527E-9	7.777344E+0
-2.500000E-1	3.927836E-4	-3.927836E-4	-1.523415E-9	7.965820E+0
-3.000000E-1	4.600022E-4	-4.600022E-4	-1.784123E-9	8.153320E+0
-3.500000E-1	5.269112E-4	-5.269112E-4	-2.043630E-9	8.341797E+0
-4.000000E-1	5.929556E-4	-5.929556E-4	-2.299784E-9	8.529297E+0
-4.500000E-1	6.578223E-4	-6.578223E-4	-2.551370E-9	8.717773E+0
-5.000000E-1	7.229736E-4	-7.229736E-4	-2.804060E-9	8.906250E+0
-5.000000E-1	7.143889E-4	-7.143889E-4	-2.770764E-9	9.093750E+0
