voltage_YSR_1_41C_	absJ_YSR_1_41C_	J_YSR_1_41C_	current_YSR_1_41C_	time_YSR_1_41C_
0.000000E+0	4.557230E-5	4.557230E-5	1.767526E-10	0.000000E+0
5.000000E-2	5.304043E-5	5.304043E-5	2.057178E-10	1.884766E-1
1.000000E-1	5.964884E-5	5.964884E-5	2.313486E-10	3.779297E-1
1.500000E-1	6.750421E-5	6.750421E-5	2.618157E-10	5.664063E-1
2.000000E-1	7.347779E-5	7.347779E-5	2.849843E-10	7.548828E-1
2.500000E-1	7.959357E-5	7.959357E-5	3.087044E-10	9.443359E-1
3.000000E-1	8.731960E-5	8.731960E-5	3.386699E-10	1.132813E+0
3.500000E-1	9.315596E-5	9.315596E-5	3.613063E-10	1.321289E+0
4.000000E-1	9.924562E-5	9.924562E-5	3.849251E-10	1.509766E+0
4.500000E-1	1.067216E-4	1.067216E-4	4.139206E-10	1.699219E+0
5.000000E-1	1.124612E-4	1.124612E-4	4.361818E-10	1.887695E+0
5.000000E-1	1.107651E-4	1.107651E-4	4.296035E-10	2.076172E+0
4.500000E-1	1.036207E-4	1.036207E-4	4.018937E-10	2.264648E+0
4.000000E-1	9.525368E-5	9.525368E-5	3.694423E-10	2.454102E+0
3.500000E-1	8.725104E-5	8.725104E-5	3.384040E-10	2.642578E+0
3.000000E-1	8.096958E-5	8.096958E-5	3.140413E-10	2.831055E+0
2.500000E-1	7.329153E-5	7.329153E-5	2.842619E-10	3.019531E+0
2.000000E-1	6.564275E-5	6.564275E-5	2.545960E-10	3.208984E+0
1.500000E-1	5.956141E-5	5.956141E-5	2.310095E-10	3.397461E+0
1.000000E-1	5.238964E-5	5.238964E-5	2.031937E-10	3.585938E+0
5.000000E-2	4.500768E-5	4.500768E-5	1.745627E-10	3.774414E+0
0.000000E+0	3.895878E-5	3.895878E-5	1.511020E-10	3.963867E+0
-5.000000E-2	3.235101E-5	3.235101E-5	1.254737E-10	4.152344E+0
-1.000000E-1	2.558519E-5	2.558519E-5	9.923240E-11	5.130859E+0
-1.500000E-1	1.457820E-5	1.457820E-5	5.654169E-11	6.026367E+0
-2.000000E-1	1.316807E-5	1.316807E-5	5.107247E-11	6.549805E+0
-2.500000E-1	7.976379E-6	7.976379E-6	3.093646E-11	7.073242E+0
-3.000000E-1	1.595671E-6	1.595671E-6	6.188827E-12	7.596680E+0
-3.500000E-1	4.652174E-6	-4.652174E-6	-1.804350E-11	8.120117E+0
-4.000000E-1	1.031359E-5	-1.031359E-5	-4.000135E-11	8.643555E+0
-4.500000E-1	1.431853E-5	-1.431853E-5	-5.553454E-11	9.166992E+0
-5.000000E-1	1.546905E-5	-1.546905E-5	-5.999685E-11	9.690430E+0
-5.000000E-1	1.539979E-5	-1.539979E-5	-5.972824E-11	1.021387E+1
-4.500000E-1	1.218869E-5	-1.218869E-5	-4.727396E-11	1.081934E+1
-4.000000E-1	9.467075E-6	-9.467075E-6	-3.671814E-11	1.171484E+1
-3.500000E-1	3.382258E-6	-3.382258E-6	-1.311812E-11	1.223828E+1
-3.000000E-1	2.551782E-6	2.551782E-6	9.897111E-12	1.276172E+1
-2.500000E-1	8.460472E-6	8.460472E-6	3.281402E-11	1.328516E+1
-2.000000E-1	1.324985E-5	1.324985E-5	5.138967E-11	1.422559E+1
-1.500000E-1	1.459359E-5	1.459359E-5	5.660138E-11	1.512109E+1
-1.000000E-1	2.435950E-5	2.435950E-5	9.447854E-11	1.572656E+1
-5.000000E-2	3.181204E-5	3.181204E-5	1.233833E-10	1.591602E+1
0.000000E+0	3.745328E-5	3.745328E-5	1.452629E-10	1.610449E+1
0.000000E+0	3.818789E-5	3.818789E-5	1.481121E-10	1.629395E+1
5.000000E-2	4.367964E-5	4.367964E-5	1.694119E-10	1.648242E+1
1.000000E-1	4.896525E-5	4.896525E-5	1.899122E-10	1.667090E+1
1.500000E-1	5.580528E-5	5.580528E-5	2.164413E-10	1.685938E+1
2.000000E-1	6.104840E-5	6.104840E-5	2.367768E-10	1.704883E+1
2.500000E-1	6.601482E-5	6.601482E-5	2.560391E-10	1.723730E+1
3.000000E-1	7.258557E-5	7.258557E-5	2.815238E-10	1.742578E+1
3.500000E-1	7.779744E-5	7.779744E-5	3.017381E-10	1.761426E+1
4.000000E-1	8.266068E-5	8.266068E-5	3.206002E-10	1.780371E+1
4.500000E-1	8.903209E-5	8.903209E-5	3.453118E-10	1.799219E+1
5.000000E-1	9.427786E-5	9.427786E-5	3.656576E-10	1.818066E+1
5.000000E-1	9.250775E-5	9.250775E-5	3.587922E-10	1.836914E+1
4.500000E-1	8.620327E-5	8.620327E-5	3.343402E-10	1.855859E+1
4.000000E-1	7.944701E-5	7.944701E-5	3.081360E-10	1.874707E+1
3.500000E-1	7.238657E-5	7.238657E-5	2.807520E-10	1.893555E+1
3.000000E-1	6.690155E-5	6.690155E-5	2.594783E-10	1.912402E+1
2.500000E-1	6.078939E-5	6.078939E-5	2.357722E-10	1.931348E+1
2.000000E-1	5.408062E-5	5.408062E-5	2.097522E-10	1.950195E+1
1.500000E-1	4.876190E-5	4.876190E-5	1.891235E-10	1.969043E+1
1.000000E-1	4.303756E-5	4.303756E-5	1.669216E-10	1.987988E+1
5.000000E-2	3.654932E-5	3.654932E-5	1.417569E-10	2.006836E+1
0.000000E+0	3.126637E-5	3.126637E-5	1.212669E-10	2.025684E+1
-5.000000E-2	2.597013E-5	2.597013E-5	1.007254E-10	2.044629E+1
-1.000000E-1	2.000830E-5	2.000830E-5	7.760237E-11	2.142383E+1
-1.500000E-1	1.378300E-5	1.378300E-5	5.345750E-11	2.231934E+1
-2.000000E-1	1.050534E-5	1.050534E-5	4.074505E-11	2.284277E+1
-2.500000E-1	5.313402E-6	5.313402E-6	2.060808E-11	2.336621E+1
-3.000000E-1	1.269017E-7	-1.269017E-7	-4.921896E-13	2.388965E+1
-3.500000E-1	5.511906E-6	-5.511906E-6	-2.137798E-11	2.441309E+1
-4.000000E-1	1.040695E-5	-1.040695E-5	-4.036346E-11	2.493652E+1
-4.500000E-1	1.416458E-5	-1.416458E-5	-5.493746E-11	2.545996E+1
-5.000000E-1	1.531651E-5	-1.531651E-5	-5.940524E-11	2.598340E+1
-5.000000E-1	1.524065E-5	-1.524065E-5	-5.911101E-11	2.650684E+1
-4.500000E-1	1.104392E-5	-1.104392E-5	-4.283396E-11	2.711328E+1
-4.000000E-1	9.406315E-6	-9.406315E-6	-3.648248E-11	2.800781E+1
-3.500000E-1	4.087859E-6	-4.087859E-6	-1.585480E-11	2.853125E+1
-3.000000E-1	1.165753E-6	1.165753E-6	4.521383E-12	2.905469E+1
-2.500000E-1	6.351229E-6	6.351229E-6	2.463330E-11	2.957813E+1
-2.000000E-1	1.157199E-5	1.157199E-5	4.488206E-11	3.010156E+1
-1.500000E-1	1.399452E-5	1.399452E-5	5.427787E-11	3.062500E+1
-1.000000E-1	1.508635E-5	1.508635E-5	5.851255E-11	3.114844E+1
-5.000000E-2	2.527344E-5	2.527344E-5	9.802326E-11	3.175488E+1
0.000000E+0	3.154972E-5	3.154972E-5	1.223659E-10	3.194336E+1
0.000000E+0	3.080075E-5	3.080075E-5	1.194610E-10	3.213281E+1
5.000000E-2	3.769087E-5	3.769087E-5	1.461844E-10	3.232129E+1
1.000000E-1	4.209362E-5	4.209362E-5	1.632605E-10	3.250977E+1
1.500000E-1	4.688644E-5	4.688644E-5	1.818495E-10	3.269824E+1
2.000000E-1	5.298025E-5	5.298025E-5	2.054844E-10	3.288770E+1
2.500000E-1	5.716784E-5	5.716784E-5	2.217260E-10	3.307617E+1
3.000000E-1	6.166555E-5	6.166555E-5	2.391704E-10	3.326465E+1
3.500000E-1	6.776093E-5	6.776093E-5	2.628114E-10	3.345312E+1
4.000000E-1	7.180980E-5	7.180980E-5	2.785150E-10	3.364258E+1
4.500000E-1	7.621296E-5	7.621296E-5	2.955927E-10	3.383105E+1
5.000000E-1	8.209633E-5	8.209633E-5	3.184114E-10	3.401953E+1
5.000000E-1	8.057275E-5	8.057275E-5	3.125022E-10	3.420801E+1
4.500000E-1	7.381416E-5	7.381416E-5	2.862889E-10	3.439746E+1
4.000000E-1	6.921662E-5	6.921662E-5	2.684573E-10	3.458594E+1
3.500000E-1	6.291456E-5	6.291456E-5	2.440147E-10	3.477441E+1
3.000000E-1	5.706963E-5	5.706963E-5	2.213451E-10	3.496289E+1
2.500000E-1	5.279425E-5	5.279425E-5	2.047630E-10	3.515234E+1
2.000000E-1	4.699499E-5	4.699499E-5	1.822705E-10	3.534082E+1
1.500000E-1	4.129958E-5	4.129958E-5	1.601808E-10	3.552930E+1
1.000000E-1	3.713377E-5	3.713377E-5	1.440237E-10	3.571777E+1
5.000000E-2	3.159724E-5	3.159724E-5	1.225502E-10	3.590723E+1
0.000000E+0	2.602018E-5	2.602018E-5	1.009195E-10	3.609570E+1
-5.000000E-2	1.524220E-5	1.524220E-5	5.911703E-11	3.699121E+1
-1.000000E-1	1.688110E-5	1.688110E-5	6.547352E-11	3.776465E+1
-1.500000E-1	1.277053E-5	1.277053E-5	4.953064E-11	3.866016E+1
-2.000000E-1	8.513422E-6	8.513422E-6	3.301939E-11	3.918359E+1
-2.500000E-1	3.513726E-6	3.513726E-6	1.362802E-11	3.970703E+1
-3.000000E-1	9.832470E-7	-9.832470E-7	-3.813533E-12	4.023047E+1
-3.500000E-1	5.888079E-6	-5.888079E-6	-2.283697E-11	4.075391E+1
-4.000000E-1	1.011207E-5	-1.011207E-5	-3.921977E-11	4.127734E+1
-4.500000E-1	1.394431E-5	-1.394431E-5	-5.408313E-11	4.180078E+1
-5.000000E-1	1.576607E-5	-1.576607E-5	-6.114886E-11	4.240625E+1
-5.000000E-1	1.499400E-5	-1.499400E-5	-5.815437E-11	4.330176E+1
-4.500000E-1	1.351313E-5	-1.351313E-5	-5.241080E-11	4.382520E+1
-4.000000E-1	9.248452E-6	-9.248452E-6	-3.587021E-11	4.434863E+1
-3.500000E-1	4.234245E-6	-4.234245E-6	-1.642256E-11	4.487207E+1
-3.000000E-1	5.989244E-7	5.989244E-7	2.322934E-12	4.539551E+1
-2.500000E-1	4.988110E-6	4.988110E-6	1.934643E-11	4.591895E+1
-2.000000E-1	9.777055E-6	9.777055E-6	3.792040E-11	4.644238E+1
-1.500000E-1	1.333068E-5	1.333068E-5	5.170318E-11	4.696582E+1
-1.000000E-1	1.458207E-5	1.458207E-5	5.655671E-11	4.748926E+1
-5.000000E-2	2.178325E-5	2.178325E-5	8.448653E-11	4.809570E+1
0.000000E+0	2.803007E-5	2.803007E-5	1.087149E-10	4.828418E+1
0.000000E+0	2.688569E-5	2.688569E-5	1.042764E-10	4.847363E+1
5.000000E-2	3.276181E-5	3.276181E-5	1.270670E-10	4.866211E+1
1.000000E-1	3.763727E-5	3.763727E-5	1.459765E-10	4.885059E+1
1.500000E-1	4.141738E-5	4.141738E-5	1.606377E-10	4.903906E+1
2.000000E-1	4.652416E-5	4.652416E-5	1.804444E-10	4.922754E+1
2.500000E-1	5.127805E-5	5.127805E-5	1.988824E-10	4.941699E+1
3.000000E-1	5.483986E-5	5.483986E-5	2.126969E-10	4.960547E+1
3.500000E-1	5.971157E-5	5.971157E-5	2.315919E-10	4.979395E+1
4.000000E-1	6.449013E-5	6.449013E-5	2.501256E-10	4.998340E+1
4.500000E-1	6.795708E-5	6.795708E-5	2.635722E-10	5.017188E+1
