voltage_YSR_1_41D	absJ_YSR_1_41D	J_YSR_1_41D	current_YSR_1_41D	time_YSR_1_41D
0.000000E+0	3.833878E-5	3.833878E-5	1.486973E-10	0.000000E+0
5.000000E-2	1.426597E-4	1.426597E-4	5.533071E-10	1.884766E-1
1.000000E-1	1.714061E-4	1.714061E-4	6.648000E-10	3.779297E-1
1.500000E-1	4.166498E-4	4.166498E-4	1.615980E-9	9.531250E-1
2.000000E-1	5.430787E-4	5.430787E-4	2.106336E-9	1.141602E+0
2.500000E-1	6.662449E-4	6.662449E-4	2.584037E-9	1.329102E+0
3.000000E-1	7.784382E-4	7.784382E-4	3.019180E-9	1.517578E+0
3.500000E-1	8.950276E-4	8.950276E-4	3.471373E-9	1.706055E+0
4.000000E-1	1.020315E-3	1.020315E-3	3.957300E-9	1.893555E+0
4.500000E-1	1.127272E-3	1.127272E-3	4.372136E-9	2.082031E+0
5.000000E-1	1.247147E-3	1.247147E-3	4.837072E-9	2.269531E+0
5.000000E-1	1.236360E-3	1.236360E-3	4.795235E-9	2.458008E+0
4.500000E-1	1.090149E-3	1.090149E-3	4.228153E-9	2.646484E+0
4.000000E-1	9.654516E-4	9.654516E-4	3.744513E-9	2.833984E+0
3.500000E-1	8.397703E-4	8.397703E-4	3.257057E-9	3.022461E+0
3.000000E-1	7.065823E-4	7.065823E-4	2.740486E-9	3.210938E+0
2.500000E-1	5.750199E-4	5.750199E-4	2.230220E-9	3.398438E+0
2.000000E-1	4.527641E-4	4.527641E-4	1.756050E-9	3.586914E+0
1.500000E-1	3.351891E-4	3.351891E-4	1.300034E-9	3.774414E+0
1.000000E-1	2.357479E-4	2.357479E-4	9.143504E-10	4.573242E+0
5.000000E-2	1.121081E-4	1.121081E-4	4.348124E-10	4.985352E+0
0.000000E+0	8.645099E-6	8.645099E-6	3.353010E-11	5.880859E+0
-5.000000E-2	1.605149E-5	-1.605149E-5	-6.225584E-11	6.404297E+0
-1.000000E-1	1.948183E-4	-1.948183E-4	-7.556045E-10	7.397461E+0
-1.500000E-1	3.066407E-4	-3.066407E-4	-1.189309E-9	7.585938E+0
-2.000000E-1	4.096525E-4	-4.096525E-4	-1.588841E-9	7.773438E+0
-2.500000E-1	5.140088E-4	-5.140088E-4	-1.993588E-9	7.961914E+0
-3.000000E-1	6.208027E-4	-6.208027E-4	-2.407789E-9	8.150391E+0
-3.500000E-1	7.258766E-4	-7.258766E-4	-2.815319E-9	8.337891E+0
-4.000000E-1	8.260194E-4	-8.260194E-4	-3.203724E-9	8.526367E+0
-4.500000E-1	9.188569E-4	-9.188569E-4	-3.563795E-9	8.713867E+0
-5.000000E-1	1.014187E-3	-1.014187E-3	-3.933533E-9	8.902344E+0
-5.000000E-1	1.000886E-3	-1.000886E-3	-3.881945E-9	9.090820E+0
-4.500000E-1	8.831532E-4	-8.831532E-4	-3.425318E-9	9.278320E+0
-4.000000E-1	7.715742E-4	-7.715742E-4	-2.992558E-9	9.466797E+0
-3.500000E-1	6.567765E-4	-6.567765E-4	-2.547314E-9	9.655273E+0
-3.000000E-1	5.513551E-4	-5.513551E-4	-2.138436E-9	9.842773E+0
-2.500000E-1	4.478414E-4	-4.478414E-4	-1.736957E-9	1.003125E+1
-2.000000E-1	3.487858E-4	-3.487858E-4	-1.352769E-9	1.021875E+1
-1.500000E-1	2.531097E-4	-2.531097E-4	-9.816885E-10	1.120605E+1
-1.000000E-1	1.397511E-4	-1.397511E-4	-5.420260E-10	1.161719E+1
-5.000000E-2	5.274369E-5	-5.274369E-5	-2.045669E-10	1.180566E+1
0.000000E+0	4.414526E-5	4.414526E-5	1.712178E-10	1.199512E+1
0.000000E+0	3.717250E-5	3.717250E-5	1.441739E-10	1.218457E+1
5.000000E-2	1.214247E-4	1.214247E-4	4.709468E-10	1.275977E+1
1.000000E-1	2.100910E-4	2.100910E-4	8.148398E-10	1.355859E+1
1.500000E-1	3.087658E-4	3.087658E-4	1.197551E-9	1.374609E+1
2.000000E-1	4.004832E-4	4.004832E-4	1.553278E-9	1.393457E+1
2.500000E-1	4.916590E-4	4.916590E-4	1.906904E-9	1.412207E+1
3.000000E-1	5.809979E-4	5.809979E-4	2.253406E-9	1.431055E+1
3.500000E-1	6.677805E-4	6.677805E-4	2.589993E-9	1.449902E+1
4.000000E-1	7.574897E-4	7.574897E-4	2.937931E-9	1.468652E+1
4.500000E-1	8.431110E-4	8.431110E-4	3.270014E-9	1.487500E+1
5.000000E-1	9.300908E-4	9.300908E-4	3.607366E-9	1.506348E+1
5.000000E-1	9.186684E-4	9.186684E-4	3.563064E-9	1.525098E+1
4.500000E-1	8.138655E-4	8.138655E-4	3.156585E-9	1.543945E+1
4.000000E-1	7.184110E-4	7.184110E-4	2.786364E-9	1.562695E+1
3.500000E-1	6.224468E-4	6.224468E-4	2.414166E-9	1.581543E+1
3.000000E-1	5.276408E-4	5.276408E-4	2.046460E-9	1.600391E+1
2.500000E-1	4.379835E-4	4.379835E-4	1.698723E-9	1.619141E+1
2.000000E-1	3.487252E-4	3.487252E-4	1.352534E-9	1.637988E+1
1.500000E-1	2.581365E-4	2.581365E-4	1.001185E-9	1.656738E+1
1.000000E-1	1.411959E-4	1.411959E-4	5.476296E-10	1.697949E+1
5.000000E-2	8.118196E-5	8.118196E-5	3.148650E-10	1.716797E+1
0.000000E+0	4.674533E-7	-4.674533E-7	-1.813022E-12	1.806348E+1
