voltage_Calibrate	absJ_Calibrate	J_Calibrate	current_Calibrate	time_Calibrate
0.000000E+0	4.391625E-4	4.391625E-4	1.703296E-9	0.000000E+0
5.000000E-2	6.970670E+0	6.970670E+0	2.703581E-5	7.695313E-1
1.000000E-1	1.391964E+1	1.391964E+1	5.398746E-5	9.580078E-1
1.500000E-1	2.086627E+1	2.086627E+1	8.093001E-5	1.145508E+0
2.000000E-1	2.778928E+1	2.778928E+1	1.077810E-4	1.716797E+0
2.500000E-1	3.472182E+1	3.472182E+1	1.346689E-4	1.905273E+0
3.000000E-1	4.167000E+1	4.167000E+1	1.616175E-4	2.092773E+0
3.500000E-1	4.861961E+1	4.861961E+1	1.885716E-4	2.281250E+0
4.000000E-1	2.302003E+2	2.302003E+2	8.928341E-4	2.469727E+0
4.500000E-1	3.148129E+2	3.148129E+2	1.221005E-3	3.040039E+0
5.000000E-1	3.674352E+2	3.674352E+2	1.425101E-3	3.228516E+0
5.000000E-1	3.773016E+2	3.773016E+2	1.463368E-3	3.416992E+0
4.500000E-1	3.438682E+2	3.438682E+2	1.333696E-3	3.604492E+0
4.000000E-1	3.084254E+2	3.084254E+2	1.196231E-3	3.792969E+0
3.500000E-1	4.861734E+1	4.861734E+1	1.885628E-4	4.172852E+0
3.000000E-1	4.166776E+1	4.166776E+1	1.616088E-4	4.360352E+0
2.500000E-1	3.471942E+1	3.471942E+1	1.346596E-4	4.548828E+0
2.000000E-1	2.778720E+1	2.778720E+1	1.077729E-4	4.737305E+0
1.500000E-1	2.086426E+1	2.086426E+1	8.092225E-5	5.117188E+0
1.000000E-1	1.391785E+1	1.391785E+1	5.398050E-5	5.304688E+0
5.000000E-2	6.969556E+0	6.969556E+0	2.703149E-5	5.493164E+0
0.000000E+0	4.486118E-4	4.486118E-4	1.739945E-9	6.068359E+0
-5.000000E-2	6.929479E+0	-6.929479E+0	-2.687605E-5	6.837891E+0
-1.000000E-1	1.387779E+1	-1.387779E+1	-5.382513E-5	7.026367E+0
-1.500000E-1	2.082396E+1	-2.082396E+1	-8.076591E-5	7.213867E+0
-2.000000E-1	2.775141E+1	-2.775141E+1	-1.076341E-4	7.785156E+0
-2.500000E-1	3.468469E+1	-3.468469E+1	-1.345249E-4	7.973633E+0
-3.000000E-1	4.164014E+1	-4.164014E+1	-1.615017E-4	8.161133E+0
-3.500000E-1	4.867630E+1	-4.867630E+1	-1.887915E-4	8.349609E+0
-4.000000E-1	5.571914E+1	-5.571914E+1	-2.161072E-4	8.538086E+0
-4.500000E-1	6.274681E+1	-6.274681E+1	-2.433641E-4	8.725586E+0
-5.000000E-1	6.977683E+1	-6.977683E+1	-2.706301E-4	8.914063E+0
-5.000000E-1	6.977704E+1	-6.977704E+1	-2.706309E-4	9.101563E+0
