voltage_YSR_1_31A	absJ_YSR_1_31A	J_YSR_1_31A	current_YSR_1_31A	time_YSR_1_31A
0.000000E+0	4.844998E-5	4.844998E-5	1.879137E-10	0.000000E+0
5.000000E-2	1.339406E-1	1.339406E-1	5.194900E-7	3.828125E-1
1.000000E-1	2.676165E-1	2.676165E-1	1.037953E-6	5.703125E-1
1.500000E-1	4.011420E-1	4.011420E-1	1.555833E-6	1.152344E+0
2.000000E-1	5.350184E-1	5.350184E-1	2.075074E-6	1.339844E+0
2.500000E-1	6.687879E-1	6.687879E-1	2.593900E-6	1.528320E+0
3.000000E-1	8.027110E-1	8.027110E-1	3.113322E-6	1.716797E+0
3.500000E-1	9.367397E-1	9.367397E-1	3.633154E-6	1.904297E+0
4.000000E-1	1.070899E+0	1.070899E+0	4.153491E-6	2.092773E+0
4.500000E-1	1.204572E+0	1.204572E+0	4.671942E-6	2.280273E+0
5.000000E-1	1.339239E+0	1.339239E+0	5.194250E-6	2.468750E+0
5.000000E-1	1.339522E+0	1.339522E+0	5.195349E-6	2.657227E+0
4.500000E-1	1.204652E+0	1.204652E+0	4.672254E-6	2.844727E+0
4.000000E-1	1.070853E+0	1.070853E+0	4.153314E-6	3.033203E+0
3.500000E-1	9.371866E-1	9.371866E-1	3.634887E-6	3.221680E+0
3.000000E-1	8.035319E-1	8.035319E-1	3.116506E-6	3.409180E+0
2.500000E-1	6.696820E-1	6.696820E-1	2.597368E-6	3.597656E+0
2.000000E-1	5.360276E-1	5.360276E-1	2.078988E-6	3.785156E+0
1.500000E-1	4.021524E-1	4.021524E-1	1.559752E-6	3.973633E+0
1.000000E-1	2.682484E-1	2.682484E-1	1.040404E-6	4.162109E+0
5.000000E-2	1.343201E-1	1.343201E-1	5.209619E-7	4.543945E+0
0.000000E+0	4.916141E-5	4.916141E-5	1.906730E-10	5.148438E+0
-5.000000E-2	1.338932E-1	-1.338932E-1	-5.193059E-7	5.531250E+0
-1.000000E-1	2.681919E-1	-2.681919E-1	-1.040185E-6	5.719727E+0
-1.500000E-1	4.028883E-1	-4.028883E-1	-1.562606E-6	6.300781E+0
-2.000000E-1	5.370458E-1	-5.370458E-1	-2.082937E-6	6.489258E+0
-2.500000E-1	6.711614E-1	-6.711614E-1	-2.603106E-6	6.676758E+0
-3.000000E-1	8.059282E-1	-8.059282E-1	-3.125800E-6	6.865234E+0
-3.500000E-1	9.406681E-1	-9.406681E-1	-3.648390E-6	7.053711E+0
-4.000000E-1	1.075391E+0	-1.075391E+0	-4.170913E-6	7.241211E+0
-4.500000E-1	1.209650E+0	-1.209650E+0	-4.691640E-6	7.429688E+0
-5.000000E-1	1.343968E+0	-1.343968E+0	-5.212593E-6	7.618164E+0
-5.000000E-1	1.344012E+0	-1.344012E+0	-5.212763E-6	7.805664E+0
-4.500000E-1	1.209347E+0	-1.209347E+0	-4.690462E-6	7.994141E+0
-4.000000E-1	1.076077E+0	-1.076077E+0	-4.173574E-6	8.181641E+0
-3.500000E-1	9.416341E-1	-9.416341E-1	-3.652137E-6	8.370117E+0
-3.000000E-1	8.069280E-1	-8.069280E-1	-3.129678E-6	8.558594E+0
-2.500000E-1	6.722889E-1	-6.722889E-1	-2.607479E-6	8.746094E+0
-2.000000E-1	5.380639E-1	-5.380639E-1	-2.086886E-6	8.934570E+0
-1.500000E-1	4.036602E-1	-4.036602E-1	-1.565600E-6	9.123047E+0
-1.000000E-1	2.689598E-1	-2.689598E-1	-1.043163E-6	9.310547E+0
-5.000000E-2	1.343391E-1	-1.343391E-1	-5.210354E-7	9.692383E+0
0.000000E+0	4.266990E-5	4.266990E-5	1.654956E-10	1.029785E+1
0.000000E+0	2.910729E-5	2.910729E-5	1.128929E-10	1.048730E+1
5.000000E-2	1.349754E-1	1.349754E-1	5.235032E-7	1.086914E+1
1.000000E-1	2.691619E-1	2.691619E-1	1.043947E-6	1.105762E+1
1.500000E-1	4.042839E-1	4.042839E-1	1.568019E-6	1.163867E+1
2.000000E-1	5.387779E-1	5.387779E-1	2.089655E-6	1.182715E+1
2.500000E-1	6.732973E-1	6.732973E-1	2.611390E-6	1.201465E+1
3.000000E-1	8.083552E-1	8.083552E-1	3.135213E-6	1.220312E+1
3.500000E-1	9.431659E-1	9.431659E-1	3.658078E-6	1.239160E+1
4.000000E-1	1.077673E+0	1.077673E+0	4.179763E-6	1.257910E+1
4.500000E-1	1.212533E+0	1.212533E+0	4.702821E-6	1.276758E+1
5.000000E-1	1.347145E+0	1.347145E+0	5.224913E-6	1.295508E+1
