voltage_YSR_1_31C	absJ_YSR_1_31C	J_YSR_1_31C	current_YSR_1_31C	time_YSR_1_31C
0.000000E+0	1.403698E-6	-1.403698E-6	-5.444256E-12	0.000000E+0
5.000000E-2	1.753113E-6	1.753113E-6	6.799464E-12	5.234375E-1
1.000000E-1	4.591859E-6	4.591859E-6	1.780957E-11	1.046875E+0
1.500000E-1	9.531084E-6	9.531084E-6	3.696640E-11	1.570313E+0
2.000000E-1	1.306784E-5	1.306784E-5	5.068376E-11	2.093750E+0
2.500000E-1	1.626277E-5	1.626277E-5	6.307532E-11	2.617188E+0
3.000000E-1	1.973198E-5	1.973198E-5	7.653067E-11	3.222656E+0
3.500000E-1	1.804306E-5	1.804306E-5	6.998019E-11	4.118164E+0
4.000000E-1	1.912006E-5	1.912006E-5	7.415733E-11	4.641602E+0
4.500000E-1	1.997689E-5	1.997689E-5	7.748057E-11	5.165039E+0
5.000000E-1	3.407611E-5	3.407611E-5	1.321645E-10	5.771484E+0
5.000000E-1	3.478421E-5	3.478421E-5	1.349109E-10	5.959961E+0
4.500000E-1	2.925655E-5	2.925655E-5	1.134718E-10	6.148438E+0
4.000000E-1	1.831835E-5	1.831835E-5	7.104790E-11	7.043945E+0
3.500000E-1	1.759525E-5	1.759525E-5	6.824336E-11	7.567383E+0
3.000000E-1	1.674356E-5	1.674356E-5	6.494005E-11	8.172852E+0
2.500000E-1	1.327223E-5	1.327223E-5	5.147647E-11	9.068359E+0
2.000000E-1	9.887164E-6	9.887164E-6	3.834746E-11	9.591797E+0
1.500000E-1	6.253975E-6	6.253975E-6	2.425610E-11	1.011523E+1
1.000000E-1	2.662729E-6	2.662729E-6	1.032742E-11	1.063867E+1
5.000000E-2	8.530140E-7	-8.530140E-7	-3.308423E-12	1.116211E+1
0.000000E+0	4.147815E-6	-4.147815E-6	-1.608734E-11	1.168555E+1
-5.000000E-2	7.586894E-6	-7.586894E-6	-2.942584E-11	1.220996E+1
-1.000000E-1	1.074815E-5	-1.074815E-5	-4.168681E-11	1.273340E+1
-1.500000E-1	1.416346E-5	-1.416346E-5	-5.493311E-11	1.325684E+1
-2.000000E-1	1.179487E-5	-1.179487E-5	-4.574652E-11	1.402930E+1
-2.500000E-1	1.732160E-5	-1.732160E-5	-6.718200E-11	1.492480E+1
-3.000000E-1	2.020484E-5	-2.020484E-5	-7.836465E-11	1.553125E+1
-3.500000E-1	2.682806E-5	-2.682806E-5	-1.040529E-10	1.571973E+1
-4.000000E-1	3.036337E-5	-3.036337E-5	-1.177646E-10	1.590820E+1
-4.500000E-1	3.463354E-5	-3.463354E-5	-1.343265E-10	1.609668E+1
-5.000000E-1	3.862912E-5	-3.862912E-5	-1.498234E-10	1.628613E+1
-5.000000E-1	3.688783E-5	-3.688783E-5	-1.430698E-10	1.647461E+1
-4.500000E-1	3.268856E-5	-3.268856E-5	-1.267829E-10	1.666309E+1
-4.000000E-1	2.901553E-5	-2.901553E-5	-1.125370E-10	1.685254E+1
-3.500000E-1	1.771031E-5	-1.771031E-5	-6.868961E-11	1.783008E+1
-3.000000E-1	1.762435E-5	-1.762435E-5	-6.835620E-11	1.872559E+1
-2.500000E-1	1.450975E-5	-1.450975E-5	-5.627621E-11	1.933105E+1
-2.000000E-1	1.376304E-5	-1.376304E-5	-5.338008E-11	2.022656E+1
-1.500000E-1	1.077476E-5	-1.077476E-5	-4.178999E-11	2.075000E+1
-1.000000E-1	7.494178E-6	-7.494178E-6	-2.906624E-11	2.127344E+1
-5.000000E-2	4.240395E-6	-4.240395E-6	-1.644641E-11	2.179688E+1
0.000000E+0	1.002061E-6	-1.002061E-6	-3.886502E-12	2.232031E+1
0.000000E+0	1.350359E-6	-1.350359E-6	-5.237380E-12	2.284473E+1
5.000000E-2	1.810273E-6	1.810273E-6	7.021161E-12	2.336816E+1
1.000000E-1	4.902355E-6	4.902355E-6	1.901383E-11	2.389160E+1
1.500000E-1	7.913324E-6	7.913324E-6	3.069190E-11	2.441504E+1
2.000000E-1	1.095403E-5	1.095403E-5	4.248529E-11	2.493848E+1
2.500000E-1	1.380425E-5	1.380425E-5	5.353990E-11	2.546191E+1
3.000000E-1	1.609665E-5	1.609665E-5	6.243101E-11	2.598535E+1
3.500000E-1	1.858815E-5	1.858815E-5	7.209433E-11	2.659082E+1
4.000000E-1	1.770967E-5	1.770967E-5	6.868713E-11	2.748633E+1
4.500000E-1	2.384001E-5	2.384001E-5	9.246370E-11	2.809180E+1
5.000000E-1	2.888195E-5	2.888195E-5	1.120189E-10	2.828125E+1
5.000000E-1	2.774983E-5	2.774983E-5	1.076280E-10	2.846973E+1
4.500000E-1	1.806369E-5	1.806369E-5	7.006018E-11	2.936523E+1
4.000000E-1	1.743559E-5	1.743559E-5	6.762411E-11	2.988867E+1
3.500000E-1	1.622760E-5	1.622760E-5	6.293890E-11	3.041211E+1
3.000000E-1	1.378912E-5	1.378912E-5	5.348123E-11	3.093555E+1
2.500000E-1	1.051082E-5	1.051082E-5	4.076631E-11	3.145898E+1
2.000000E-1	7.288901E-6	7.288901E-6	2.827007E-11	3.198242E+1
1.500000E-1	4.305711E-6	4.305711E-6	1.669974E-11	3.250586E+1
1.000000E-1	1.400091E-6	1.400091E-6	5.430267E-12	3.302930E+1
5.000000E-2	1.695805E-6	-1.695805E-6	-6.577197E-12	3.355273E+1
0.000000E+0	4.527200E-6	-4.527200E-6	-1.755879E-11	3.407617E+1
-5.000000E-2	7.350290E-6	-7.350290E-6	-2.850817E-11	3.459961E+1
-1.000000E-1	1.008071E-5	-1.008071E-5	-3.909811E-11	3.512305E+1
-1.500000E-1	1.294558E-5	-1.294558E-5	-5.020956E-11	3.564648E+1
-2.000000E-1	1.228233E-5	-1.228233E-5	-4.763712E-11	3.641992E+1
-2.500000E-1	1.658053E-5	-1.658053E-5	-6.430773E-11	3.731543E+1
-3.000000E-1	1.814741E-5	-1.814741E-5	-7.038492E-11	3.792090E+1
-3.500000E-1	1.839348E-5	-1.839348E-5	-7.133927E-11	3.881641E+1
-4.000000E-1	2.424505E-5	-2.424505E-5	-9.403467E-11	3.942285E+1
-4.500000E-1	2.931015E-5	-2.931015E-5	-1.136797E-10	3.961133E+1
-5.000000E-1	3.222870E-5	-3.222870E-5	-1.249993E-10	3.979980E+1
-5.000000E-1	3.233647E-5	-3.233647E-5	-1.254173E-10	3.998828E+1
