voltage_YSR_1_31B	absJ_YSR_1_31B	J_YSR_1_31B	current_YSR_1_31B	time_YSR_1_31B
0.000000E+0	1.177764E-5	1.177764E-5	4.567968E-11	0.000000E+0
5.000000E-2	1.483444E-5	1.483444E-5	5.753552E-11	5.234375E-1
1.000000E-1	1.367196E-5	1.367196E-5	5.302681E-11	1.128906E+0
1.500000E-1	1.494098E-5	1.494098E-5	5.794874E-11	2.024414E+0
2.000000E-1	1.471671E-5	1.471671E-5	5.707890E-11	2.630859E+0
2.500000E-1	1.560627E-5	1.560627E-5	6.052905E-11	3.525391E+0
3.000000E-1	2.064675E-5	2.064675E-5	8.007861E-11	4.131836E+0
3.500000E-1	1.899563E-5	1.899563E-5	7.367473E-11	5.027344E+0
4.000000E-1	2.512791E-5	2.512791E-5	9.745882E-11	5.632813E+0
4.500000E-1	2.841888E-5	2.841888E-5	1.102229E-10	5.821289E+0
5.000000E-1	2.999054E-5	2.999054E-5	1.163186E-10	6.010742E+0
5.000000E-1	3.074980E-5	3.074980E-5	1.192634E-10	6.199219E+0
4.500000E-1	2.808943E-5	2.808943E-5	1.089451E-10	6.387695E+0
4.000000E-1	2.445688E-5	2.445688E-5	9.485623E-11	7.366211E+0
3.500000E-1	1.888180E-5	1.888180E-5	7.323325E-11	8.261719E+0
3.000000E-1	2.055549E-5	2.055549E-5	7.972467E-11	8.867188E+0
2.500000E-1	1.742222E-5	1.742222E-5	6.757223E-11	9.762695E+0
2.000000E-1	1.684131E-5	1.684131E-5	6.531919E-11	1.028613E+1
1.500000E-1	1.587357E-5	1.587357E-5	6.156580E-11	1.080957E+1
1.000000E-1	1.410987E-5	1.410987E-5	5.472525E-11	1.133301E+1
5.000000E-2	1.221625E-5	1.221625E-5	4.738086E-11	1.185645E+1
0.000000E+0	1.044380E-5	1.044380E-5	4.050636E-11	1.237988E+1
-5.000000E-2	8.600108E-6	8.600108E-6	3.335560E-11	1.290332E+1
-1.000000E-1	6.895270E-6	6.895270E-6	2.674337E-11	1.342676E+1
