voltage_YSR_1_32C	absJ_YSR_1_32C	J_YSR_1_32C	current_YSR_1_32C	time_YSR_1_32C
0.000000E+0	2.806609E-7	2.806609E-7	1.088546E-12	0.000000E+0
5.000000E-2	2.235955E-6	2.235955E-6	8.672174E-12	5.234375E-1
1.000000E-1	3.633092E-6	3.633092E-6	1.409098E-11	1.046875E+0
1.500000E-1	4.682211E-6	4.682211E-6	1.816000E-11	1.570313E+0
2.000000E-1	6.496785E-6	6.496785E-6	2.519784E-11	2.093750E+0
2.500000E-1	8.191405E-6	8.191405E-6	3.177044E-11	2.617188E+0
3.000000E-1	9.370027E-6	9.370027E-6	3.634174E-11	3.140625E+0
3.500000E-1	1.116790E-5	1.116790E-5	4.331480E-11	3.664063E+0
4.000000E-1	1.287250E-5	1.287250E-5	4.992611E-11	4.187500E+0
4.500000E-1	1.496849E-5	1.496849E-5	5.805544E-11	4.710938E+0
5.000000E-1	1.601136E-5	1.601136E-5	6.210019E-11	5.234375E+0
5.000000E-1	1.534254E-5	1.534254E-5	5.950618E-11	5.839844E+0
4.500000E-1	1.424219E-5	1.424219E-5	5.523847E-11	6.735352E+0
4.000000E-1	1.274355E-5	1.274355E-5	4.942597E-11	7.258789E+0
3.500000E-1	1.091564E-5	1.091564E-5	4.233640E-11	7.782227E+0
3.000000E-1	9.164374E-6	9.164374E-6	3.554411E-11	8.305664E+0
2.500000E-1	7.456300E-6	7.456300E-6	2.891933E-11	8.829102E+0
2.000000E-1	5.812720E-6	5.812720E-6	2.254469E-11	9.352539E+0
1.500000E-1	4.181784E-6	4.181784E-6	1.621909E-11	9.875977E+0
1.000000E-1	2.579120E-6	2.579120E-6	1.000314E-11	1.039941E+1
5.000000E-2	1.000619E-6	1.000619E-6	3.880909E-12	1.092285E+1
0.000000E+0	5.746146E-7	-5.746146E-7	-2.228648E-12	1.144629E+1
-5.000000E-2	1.871109E-6	-1.871109E-6	-7.257112E-12	1.197070E+1
-1.000000E-1	2.676074E-6	-2.676074E-6	-1.037918E-11	1.249414E+1
-1.500000E-1	5.305010E-6	-5.305010E-6	-2.057553E-11	1.301758E+1
-2.000000E-1	6.874940E-6	-6.874940E-6	-2.666452E-11	1.354102E+1
-2.500000E-1	8.414276E-6	-8.414276E-6	-3.263485E-11	1.406445E+1
-3.000000E-1	9.766035E-6	-9.766035E-6	-3.787766E-11	1.458789E+1
-3.500000E-1	1.122443E-5	-1.122443E-5	-4.353405E-11	1.511133E+1
-4.000000E-1	1.270209E-5	-1.270209E-5	-4.926516E-11	1.563477E+1
-4.500000E-1	1.417047E-5	-1.417047E-5	-5.496029E-11	1.615820E+1
-5.000000E-1	1.558950E-5	-1.558950E-5	-6.046401E-11	1.668164E+1
-5.000000E-1	1.541744E-5	-1.541744E-5	-5.979670E-11	1.720508E+1
-4.500000E-1	1.343119E-5	-1.343119E-5	-5.209298E-11	1.772852E+1
-4.000000E-1	1.161076E-5	-1.161076E-5	-4.503246E-11	1.825195E+1
-3.500000E-1	9.935613E-6	-9.935613E-6	-3.853537E-11	1.877539E+1
-3.000000E-1	8.280130E-6	-8.280130E-6	-3.211456E-11	1.929883E+1
-2.500000E-1	6.697508E-6	-6.697508E-6	-2.597635E-11	1.982227E+1
-2.000000E-1	5.136033E-6	-5.136033E-6	-1.992015E-11	2.034570E+1
-1.500000E-1	3.581587E-6	-3.581587E-6	-1.389122E-11	2.086914E+1
-1.000000E-1	2.076310E-6	-2.076310E-6	-8.052989E-12	2.139258E+1
-5.000000E-2	5.580299E-7	-5.580299E-7	-2.164324E-12	2.191602E+1
0.000000E+0	9.227625E-7	9.227625E-7	3.578943E-12	2.243945E+1
0.000000E+0	7.800453E-7	7.800453E-7	3.025413E-12	2.296387E+1
5.000000E-2	2.248783E-6	2.248783E-6	8.721926E-12	2.348633E+1
1.000000E-1	3.768662E-6	3.768662E-6	1.461679E-11	2.400977E+1
1.500000E-1	5.231737E-6	5.231737E-6	2.029134E-11	2.453320E+1
2.000000E-1	6.664896E-6	6.664896E-6	2.584986E-11	2.505664E+1
2.500000E-1	8.111041E-6	8.111041E-6	3.145875E-11	2.558008E+1
3.000000E-1	9.528122E-6	9.528122E-6	3.695491E-11	2.610352E+1
3.500000E-1	1.091605E-5	1.091605E-5	4.233801E-11	2.662695E+1
4.000000E-1	1.230775E-5	1.230775E-5	4.773573E-11	2.715039E+1
4.500000E-1	1.368133E-5	1.368133E-5	5.306316E-11	2.767383E+1
5.000000E-1	1.504369E-5	1.504369E-5	5.834711E-11	2.819727E+1
5.000000E-1	1.474042E-5	1.474042E-5	5.717085E-11	2.872070E+1
4.500000E-1	1.292749E-5	1.292749E-5	5.013940E-11	2.924414E+1
4.000000E-1	1.123434E-5	1.123434E-5	4.357249E-11	2.976758E+1
3.500000E-1	9.594469E-6	9.594469E-6	3.721224E-11	3.029102E+1
3.000000E-1	8.107148E-6	8.107148E-6	3.144365E-11	3.081445E+1
2.500000E-1	6.564687E-6	6.564687E-6	2.546120E-11	3.133789E+1
2.000000E-1	5.155083E-6	5.155083E-6	1.999404E-11	3.186133E+1
1.500000E-1	3.709734E-6	3.709734E-6	1.438824E-11	3.238477E+1
1.000000E-1	2.224881E-6	2.224881E-6	8.629222E-12	3.290820E+1
5.000000E-2	8.638881E-7	8.638881E-7	3.350598E-12	3.343164E+1
0.000000E+0	5.483584E-7	-5.483584E-7	-2.126813E-12	3.395508E+1
-5.000000E-2	1.943290E-6	-1.943290E-6	-7.537068E-12	3.447949E+1
-1.000000E-1	3.324586E-6	-3.324586E-6	-1.289444E-11	3.500293E+1
-1.500000E-1	4.693455E-6	-4.693455E-6	-1.820361E-11	3.552637E+1
-2.000000E-1	6.036389E-6	-6.036389E-6	-2.341219E-11	3.604980E+1
-2.500000E-1	7.396888E-6	-7.396888E-6	-2.868890E-11	3.657324E+1
-3.000000E-1	8.731650E-6	-8.731650E-6	-3.386579E-11	3.709668E+1
-3.500000E-1	1.007875E-5	-1.007875E-5	-3.909054E-11	3.762012E+1
-4.000000E-1	1.138393E-5	-1.138393E-5	-4.415268E-11	3.814355E+1
-4.500000E-1	1.269541E-5	-1.269541E-5	-4.923925E-11	3.866699E+1
-5.000000E-1	1.402453E-5	-1.402453E-5	-5.439429E-11	3.919043E+1
-5.000000E-1	1.369757E-5	-1.369757E-5	-5.312614E-11	3.971387E+1
-4.500000E-1	1.200790E-5	-1.200790E-5	-4.657277E-11	4.023730E+1
-4.000000E-1	1.035384E-5	-1.035384E-5	-4.015747E-11	4.076074E+1
-3.500000E-1	8.823490E-6	-8.823490E-6	-3.422199E-11	4.128418E+1
-3.000000E-1	7.357350E-6	-7.357350E-6	-2.853555E-11	4.180762E+1
-2.500000E-1	5.923742E-6	-5.923742E-6	-2.297529E-11	4.233105E+1
-2.000000E-1	4.550470E-6	-4.550470E-6	-1.764904E-11	4.285449E+1
-1.500000E-1	3.138603E-6	-3.138603E-6	-1.217310E-11	4.337793E+1
-1.000000E-1	1.758999E-6	-1.758999E-6	-6.822293E-12	4.390137E+1
-5.000000E-2	4.522106E-7	-4.522106E-7	-1.753903E-12	4.442480E+1
0.000000E+0	9.269953E-7	9.269953E-7	3.595360E-12	4.494824E+1
0.000000E+0	7.486366E-7	7.486366E-7	2.903594E-12	4.547168E+1
5.000000E-2	2.128898E-6	2.128898E-6	8.256951E-12	4.599512E+1
1.000000E-1	3.497527E-6	3.497527E-6	1.356519E-11	4.651855E+1
1.500000E-1	4.823670E-6	4.823670E-6	1.870865E-11	4.704199E+1
2.000000E-1	6.135522E-6	6.135522E-6	2.379668E-11	4.756543E+1
2.500000E-1	7.419832E-6	7.419832E-6	2.877789E-11	4.808887E+1
3.000000E-1	8.706077E-6	8.706077E-6	3.376660E-11	4.861230E+1
3.500000E-1	9.976618E-6	9.976618E-6	3.869441E-11	4.913574E+1
4.000000E-1	1.123047E-5	1.123047E-5	4.355748E-11	4.965918E+1
4.500000E-1	1.248532E-5	1.248532E-5	4.842442E-11	5.018262E+1
5.000000E-1	1.373944E-5	1.373944E-5	5.328856E-11	5.070605E+1
5.000000E-1	1.352529E-5	1.352529E-5	5.245795E-11	5.122949E+1
4.500000E-1	1.178968E-5	1.178968E-5	4.572639E-11	5.175293E+1
4.000000E-1	1.018308E-5	1.018308E-5	3.949518E-11	5.227637E+1
3.500000E-1	8.765501E-6	8.765501E-6	3.399708E-11	5.279980E+1
3.000000E-1	7.327942E-6	7.327942E-6	2.842149E-11	5.332324E+1
2.500000E-1	6.005467E-6	6.005467E-6	2.329226E-11	5.384668E+1
2.000000E-1	4.662750E-6	4.662750E-6	1.808452E-11	5.437012E+1
1.500000E-1	3.263909E-6	3.263909E-6	1.265910E-11	5.489355E+1
1.000000E-1	1.992088E-6	1.992088E-6	7.726333E-12	5.541699E+1
5.000000E-2	6.333245E-7	6.333245E-7	2.456355E-12	5.594043E+1
0.000000E+0	5.787938E-7	-5.787938E-7	-2.244857E-12	5.646387E+1
-5.000000E-2	1.851694E-6	-1.851694E-6	-7.181811E-12	5.698828E+1
-1.000000E-1	3.121519E-6	-3.121519E-6	-1.210684E-11	5.751172E+1
-1.500000E-1	4.369045E-6	-4.369045E-6	-1.694538E-11	5.803516E+1
-2.000000E-1	5.639388E-6	-5.639388E-6	-2.187242E-11	5.855859E+1
-2.500000E-1	6.860383E-6	-6.860383E-6	-2.660806E-11	5.908203E+1
-3.000000E-1	8.088527E-6	-8.088527E-6	-3.137143E-11	5.960547E+1
-3.500000E-1	9.316981E-6	-9.316981E-6	-3.613600E-11	6.012891E+1
-4.000000E-1	1.053801E-5	-1.053801E-5	-4.087179E-11	6.065234E+1
-4.500000E-1	1.175132E-5	-1.175132E-5	-4.557761E-11	6.117578E+1
-5.000000E-1	1.295498E-5	-1.295498E-5	-5.024600E-11	6.169922E+1
-5.000000E-1	1.277929E-5	-1.277929E-5	-4.956459E-11	6.222266E+1
-4.500000E-1	1.105713E-5	-1.105713E-5	-4.288517E-11	6.274609E+1
-4.000000E-1	9.562298E-6	-9.562298E-6	-3.708746E-11	6.326953E+1
-3.500000E-1	8.147878E-6	-8.147878E-6	-3.160162E-11	6.379297E+1
-3.000000E-1	6.805509E-6	-6.805509E-6	-2.639523E-11	6.431641E+1
-2.500000E-1	5.471460E-6	-5.471460E-6	-2.122111E-11	6.483984E+1
-2.000000E-1	4.117755E-6	-4.117755E-6	-1.597075E-11	6.536328E+1
-1.500000E-1	2.894782E-6	-2.894782E-6	-1.122744E-11	6.588672E+1
-1.000000E-1	1.620332E-6	-1.620332E-6	-6.284473E-12	6.641016E+1
-5.000000E-2	3.096867E-7	-3.096867E-7	-1.201123E-12	6.693359E+1
