voltage_YSR_32D	absJ_YSR_32D	J_YSR_32D	current_YSR_32D	time_YSR_32D
0.000000E+0	4.547623E-6	4.547623E-6	1.763800E-11	0.000000E+0
5.000000E-2	5.831062E-6	5.831062E-6	2.261583E-11	5.234375E-1
1.000000E-1	6.844070E-6	6.844070E-6	2.654479E-11	1.046875E+0
1.500000E-1	7.902368E-6	7.902368E-6	3.064941E-11	1.570313E+0
2.000000E-1	8.840097E-6	8.840097E-6	3.428640E-11	2.093750E+0
2.500000E-1	9.675655E-6	9.675655E-6	3.752712E-11	2.617188E+0
3.000000E-1	1.071502E-5	1.071502E-5	4.155830E-11	3.140625E+0
3.500000E-1	1.205068E-5	1.205068E-5	4.673868E-11	3.664063E+0
4.000000E-1	1.350640E-5	1.350640E-5	5.238471E-11	4.187500E+0
4.500000E-1	1.470136E-5	1.470136E-5	5.701935E-11	4.710938E+0
5.000000E-1	1.594196E-5	1.594196E-5	6.183104E-11	5.234375E+0
5.000000E-1	1.554146E-5	1.554146E-5	6.027771E-11	5.757813E+0
4.500000E-1	1.393097E-5	1.393097E-5	5.403140E-11	6.281250E+0
4.000000E-1	1.260151E-5	1.260151E-5	4.887506E-11	6.804688E+0
3.500000E-1	1.133311E-5	1.133311E-5	4.395559E-11	7.328125E+0
3.000000E-1	1.011515E-5	1.011515E-5	3.923169E-11	7.851563E+0
2.500000E-1	8.958597E-6	8.958597E-6	3.474600E-11	8.375000E+0
2.000000E-1	7.744491E-6	7.744491E-6	3.003708E-11	8.898438E+0
1.500000E-1	6.538360E-6	6.538360E-6	2.535909E-11	9.421875E+0
1.000000E-1	5.416006E-6	5.416006E-6	2.100603E-11	9.945313E+0
5.000000E-2	4.298146E-6	4.298146E-6	1.667040E-11	1.046875E+1
0.000000E+0	3.236083E-6	3.236083E-6	1.255118E-11	1.099219E+1
-5.000000E-2	2.240442E-6	2.240442E-6	8.689577E-12	1.151563E+1
-1.000000E-1	1.278782E-6	1.278782E-6	4.959769E-12	1.203906E+1
-1.500000E-1	2.770719E-7	2.770719E-7	1.074626E-12	1.256250E+1
-2.000000E-1	7.776374E-7	-7.776374E-7	-3.016074E-12	1.308594E+1
-2.500000E-1	1.771501E-6	-1.771501E-6	-6.870782E-12	1.360937E+1
-3.000000E-1	2.734942E-6	-2.734942E-6	-1.060750E-11	1.413281E+1
-3.500000E-1	4.035813E-6	-4.035813E-6	-1.565294E-11	1.465625E+1
-4.000000E-1	5.095999E-6	-5.095999E-6	-1.976488E-11	1.517969E+1
-4.500000E-1	6.335336E-6	-6.335336E-6	-2.457166E-11	1.570313E+1
-5.000000E-1	9.231536E-6	-9.231536E-6	-3.580460E-11	1.622656E+1
-5.000000E-1	7.550086E-6	-7.550086E-6	-2.928308E-11	1.675000E+1
-4.500000E-1	4.779862E-6	-4.779862E-6	-1.853874E-11	1.727344E+1
-4.000000E-1	4.464132E-6	-4.464132E-6	-1.731418E-11	1.779688E+1
-3.500000E-1	2.019923E-6	-2.019923E-6	-7.834289E-12	1.832031E+1
-3.000000E-1	9.674639E-7	-9.674639E-7	-3.752318E-12	1.884375E+1
-2.500000E-1	1.570546E-7	1.570546E-7	6.091377E-13	1.936719E+1
-2.000000E-1	1.150617E-6	1.150617E-6	4.462680E-12	1.989063E+1
-1.500000E-1	2.207527E-6	2.207527E-6	8.561915E-12	2.041406E+1
-1.000000E-1	3.266987E-6	3.266987E-6	1.267104E-11	2.093750E+1
-5.000000E-2	4.267281E-6	4.267281E-6	1.655069E-11	2.146094E+1
0.000000E+0	5.139428E-6	5.139428E-6	1.993332E-11	2.198437E+1
0.000000E+0	4.571604E-6	4.571604E-6	1.773101E-11	2.250879E+1
5.000000E-2	5.796941E-6	5.796941E-6	2.248349E-11	2.303223E+1
1.000000E-1	6.752661E-6	6.752661E-6	2.619026E-11	2.355566E+1
1.500000E-1	7.689585E-6	7.689585E-6	2.982413E-11	2.407910E+1
2.000000E-1	8.666945E-6	8.666945E-6	3.361483E-11	2.460254E+1
2.500000E-1	9.526244E-6	9.526244E-6	3.694763E-11	2.512598E+1
3.000000E-1	1.050970E-5	1.050970E-5	4.076196E-11	2.564941E+1
3.500000E-1	1.155687E-5	1.155687E-5	4.482343E-11	2.617285E+1
4.000000E-1	1.256094E-5	1.256094E-5	4.871772E-11	2.669629E+1
4.500000E-1	1.359679E-5	1.359679E-5	5.273527E-11	2.721973E+1
