voltage_YSR_32E	absJ_YSR_32E	J_YSR_32E	current_YSR_32E	time_YSR_32E
0.000000E+0	1.436827E-5	-1.436827E-5	-5.572748E-11	0.000000E+0
5.000000E-2	1.193286E-5	-1.193286E-5	-4.628173E-11	5.234375E-1
1.000000E-1	6.018186E-6	-6.018186E-6	-2.334159E-11	1.046875E+0
1.500000E-1	5.385718E+0	5.385718E+0	2.088856E-5	1.622070E+0
2.000000E-1	3.770041E-3	3.770041E-3	1.462214E-8	2.197266E+0
2.500000E-1	1.557026E-2	1.557026E-2	6.038941E-8	2.385742E+0
3.000000E-1	7.485002E+0	7.485002E+0	2.903065E-5	2.766602E+0
3.500000E-1	6.555250E+0	6.555250E+0	2.542460E-5	2.954102E+0
4.000000E-1	8.785837E+0	8.785837E+0	3.407595E-5	3.142578E+0
4.500000E-1	1.094914E+1	1.094914E+1	4.246633E-5	3.331055E+0
5.000000E-1	1.049161E+1	1.049161E+1	4.069181E-5	3.518555E+0
5.000000E-1	1.121103E+1	1.121103E+1	4.348210E-5	3.707031E+0
4.500000E-1	4.403369E+0	4.403369E+0	1.707851E-5	3.894531E+0
4.000000E-1	2.987269E+0	2.987269E+0	1.158615E-5	4.083008E+0
3.500000E-1	1.253680E+1	1.253680E+1	4.862411E-5	4.853516E+0
3.000000E-1	9.166519E+0	9.166519E+0	3.555243E-5	5.041016E+0
2.500000E-1	4.012745E-3	4.012745E-3	1.556347E-8	5.422852E+0
2.000000E-1	3.309888E+0	3.309888E+0	1.283743E-5	5.803711E+0
1.500000E-1	2.709239E-4	2.709239E-4	1.050781E-9	6.945313E+0
1.000000E-1	3.908009E-4	3.908009E-4	1.515725E-9	7.743164E+0
5.000000E-2	6.460699E-5	6.460699E-5	2.505788E-10	8.155273E+0
0.000000E+0	1.355955E-5	-1.355955E-5	-5.259086E-11	9.050781E+0
-5.000000E-2	1.603406E-5	-1.603406E-5	-6.218827E-11	9.574219E+0
-1.000000E-1	1.421082E-3	-1.421082E-3	-5.511681E-9	1.056738E+1
-1.500000E-1	5.385324E+0	-5.385324E+0	-2.088703E-5	1.133691E+1
-2.000000E-1	7.206699E+0	-7.206699E+0	-2.795125E-5	1.152539E+1
-2.500000E-1	9.023449E+0	-9.023449E+0	-3.499753E-5	1.171289E+1
-3.000000E-1	1.084013E+1	-1.084013E+1	-4.204355E-5	1.190137E+1
-3.500000E-1	1.265618E+1	-1.265618E+1	-4.908712E-5	1.208984E+1
-4.000000E-1	1.446672E+1	-1.446672E+1	-5.610933E-5	1.227734E+1
-4.500000E-1	1.627575E+1	-1.627575E+1	-6.312563E-5	1.246582E+1
-5.000000E-1	1.808518E+1	-1.808518E+1	-7.014356E-5	1.265332E+1
-5.000000E-1	1.808616E+1	-1.808616E+1	-7.014733E-5	1.284180E+1
-4.500000E-1	1.628091E+1	-1.628091E+1	-6.314566E-5	1.303027E+1
-4.000000E-1	1.447156E+1	-1.447156E+1	-5.612810E-5	1.321777E+1
-3.500000E-1	1.265785E+1	-1.265785E+1	-4.909359E-5	1.340625E+1
-3.000000E-1	1.084762E+1	-1.084762E+1	-4.207261E-5	1.359473E+1
-2.500000E-1	9.034045E+0	-9.034045E+0	-3.503863E-5	1.378223E+1
-2.000000E-1	7.225105E+0	-7.225105E+0	-2.802264E-5	1.397070E+1
-1.500000E-1	5.417156E+0	-5.417156E+0	-2.101049E-5	1.415820E+1
-1.000000E-1	3.610070E+0	-3.610070E+0	-1.400169E-5	1.434668E+1
-5.000000E-2	1.798198E+0	-1.798198E+0	-6.974329E-6	1.472852E+1
0.000000E+0	3.941635E-6	-3.941635E-6	-1.528767E-11	1.623340E+1
0.000000E+0	8.991501E-6	-8.991501E-6	-3.487362E-11	1.675781E+1
5.000000E-2	1.016792E-5	-1.016792E-5	-3.943638E-11	1.728125E+1
1.000000E-1	7.511236E-6	-7.511236E-6	-2.913240E-11	1.780469E+1
1.500000E-1	5.793873E-6	-5.793873E-6	-2.247159E-11	1.832813E+1
2.000000E-1	3.288464E-6	-3.288464E-6	-1.275434E-11	1.885156E+1
2.500000E-1	1.074339E-6	-1.074339E-6	-4.166834E-12	1.937500E+1
3.000000E-1	1.439465E-6	1.439465E-6	5.582979E-12	1.989844E+1
3.500000E-1	3.232569E-6	3.232569E-6	1.253755E-11	2.042187E+1
4.000000E-1	5.324507E-6	5.324507E-6	2.065115E-11	2.094531E+1
4.500000E-1	7.651481E-6	7.651481E-6	2.967634E-11	2.146875E+1
5.000000E-1	1.015625E-5	1.015625E-5	3.939112E-11	2.199219E+1
5.000000E-1	1.701832E+1	1.701832E+1	6.600573E-5	2.273438E+1
4.500000E-1	1.522640E+1	1.522640E+1	5.905572E-5	2.292285E+1
4.000000E-1	6.287310E+0	6.287310E+0	2.438539E-5	2.311035E+1
3.500000E-1	1.363194E-6	1.363194E-6	5.287160E-12	2.419922E+1
3.000000E-1	1.090469E-7	1.090469E-7	4.229395E-13	2.472266E+1
2.500000E-1	2.263156E-6	-2.263156E-6	-8.777673E-12	2.524609E+1
2.000000E-1	4.451117E-6	-4.451117E-6	-1.726370E-11	2.576953E+1
1.500000E-1	6.554654E-6	-6.554654E-6	-2.542229E-11	2.629297E+1
1.000000E-1	8.597016E-6	-8.597016E-6	-3.334361E-11	2.681641E+1
5.000000E-2	1.059767E-5	-1.059767E-5	-4.110318E-11	2.733984E+1
0.000000E+0	1.258640E-5	-1.258640E-5	-4.881646E-11	2.786328E+1
-5.000000E-2	1.094319E-5	-1.094319E-5	-4.244327E-11	2.846973E+1
-1.000000E-1	1.501234E-5	-1.501234E-5	-5.822549E-11	2.936523E+1
-1.500000E-1	1.569236E-5	-1.569236E-5	-6.086298E-11	2.997070E+1
-2.000000E-1	1.085222E-5	-1.085222E-5	-4.209044E-11	3.128320E+1
-2.500000E-1	1.699732E-5	-1.699732E-5	-6.592428E-11	3.217871E+1
-3.000000E-1	1.334093E-5	-1.334093E-5	-5.174294E-11	3.278516E+1
-3.500000E-1	1.828964E-5	-1.828964E-5	-7.093655E-11	3.367969E+1
-4.000000E-1	2.191025E-5	-2.191025E-5	-8.497913E-11	3.428613E+1
-4.500000E-1	2.899354E-5	-2.899354E-5	-1.124517E-10	3.447461E+1
-5.000000E-1	3.099474E-5	-3.099474E-5	-1.202134E-10	3.466309E+1
-5.000000E-1	3.124373E-5	-3.124373E-5	-1.211791E-10	3.485254E+1
-4.500000E-1	2.853473E-5	-2.853473E-5	-1.106722E-10	3.504102E+1
-4.000000E-1	2.005647E-5	-2.005647E-5	-7.778922E-11	3.601855E+1
-3.500000E-1	1.789945E-5	-1.789945E-5	-6.942320E-11	3.691406E+1
-3.000000E-1	1.891897E-5	-1.891897E-5	-7.337742E-11	3.752051E+1
-2.500000E-1	1.640196E-5	-1.640196E-5	-6.361515E-11	3.841504E+1
-2.000000E-1	1.562760E-5	-1.562760E-5	-6.061179E-11	3.893848E+1
-1.500000E-1	1.452209E-5	-1.452209E-5	-5.632406E-11	3.946191E+1
-1.000000E-1	1.273068E-5	-1.273068E-5	-4.937607E-11	3.998535E+1
-5.000000E-2	1.074233E-5	-1.074233E-5	-4.166423E-11	4.050879E+1
0.000000E+0	8.747500E-6	-8.747500E-6	-3.392726E-11	4.103223E+1
0.000000E+0	8.975005E-6	-8.975005E-6	-3.480964E-11	4.155664E+1
5.000000E-2	6.996682E-6	-6.996682E-6	-2.713670E-11	4.208008E+1
1.000000E-1	4.909262E-6	-4.909262E-6	-1.904062E-11	4.260352E+1
1.500000E-1	3.101039E-6	-3.101039E-6	-1.202741E-11	4.312695E+1
2.000000E-1	1.247867E-6	-1.247867E-6	-4.839865E-12	4.365039E+1
2.500000E-1	7.471659E-7	7.471659E-7	2.897890E-12	4.417383E+1
3.000000E-1	2.364181E-6	2.364181E-6	9.169498E-12	4.469727E+1
3.500000E-1	4.294642E-6	4.294642E-6	1.665681E-11	4.522070E+1
4.000000E-1	5.914329E-6	5.914329E-6	2.293878E-11	4.574414E+1
4.500000E-1	7.751540E-6	7.751540E-6	3.006442E-11	4.626758E+1
5.000000E-1	9.602980E-6	9.602980E-6	3.724525E-11	4.679102E+1
5.000000E-1	9.049172E-6	9.049172E-6	3.509730E-11	4.731445E+1
4.500000E-1	6.524540E-6	6.524540E-6	2.530549E-11	4.783789E+1
4.000000E-1	4.316029E-6	4.316029E-6	1.673976E-11	4.836133E+1
