8.57E-08,8.92E-08,-7.02E-08,-4.13E-08,8.34E-08,4.95E-08,6.36E-08,9.00E-08,7.87E-08,6.84E-08,4.97E-08,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.70E-07,8.57E-08,3.32E-13
-1.76E-07,0.000000053,-5.37E-08,-4.32E-08,1.54E-08,6.79E-08,-8.01E-08,-2.91E-08,-1.51E-09,-8.43E-08,-3.32E-08,,2.15E-07,7.83E-07,4.97E-08,-4.28E-07,4.97E-08,-4.28E-07,,,4.99E-07,,-1.89E-07,,-1.89E-07,,3.88E-07,-1.76E-07,-6.84E-13
-2.85E-08,3.76E-08,-8.07E-08,0.000000108,0.000000078,-4.38E-08,7.71E-08,5.84E-09,-0.000000127,0.000000109,1.36E-08,,1.55E-07,4.16E-07,-3.3161E-08,-1.66E-07,-3.32E-08,-1.66E-07,,,2.85E-07,,-9.97E-08,,-9.97E-08,,2.41E-07,-2.85E-08,-1.11E-13
-1.36E-07,-0.0000001,0.00000017,8.94E-08,0.000000131,-0.000000022,3.66E-08,9.98E-08,-0.000000167,6.53E-08,1.67E-08,,2.65E-07,4.74E-07,1.3554E-08,-1.42E-07,1.36E-08,-1.42E-07,,,3.69E-07,,-6.41E-08,,-6.41E-08,,7.91E-07,-1.36E-07,-5.25E-13
-3.53E-07,0.000000178,0.000000387,0.000000197,0.000000135,0.000000127,6.54E-08,3.64E-08,5.08E-08,3.67E-08,8.60E-08,,3.61E-07,3.63E-07,1.671E-08,-1.76E-07,1.67E-08,-1.76E-07,,,3.62E-07,,-7.95E-08,,-7.95E-08,,7.69E-07,-3.53E-07,-1.37E-12
-1.95E-08,0.000000118,0.000000287,4.98E-08,0.000000107,7.91E-08,5.57E-08,8.84E-08,0.000000134,0.000000115,1.01E-07,,3.22E-07,3.43E-07,8.603E-08,-5.12E-08,8.60E-08,-5.12E-08,,,3.32E-07,,1.74E-08,,1.74E-08,,3.48E-07,-1.95E-08,-7.58E-14
3.31E-07,0.000000432,0.000000154,4.88E-08,7.63E-08,0.000000419,3.61E-08,7.46E-08,4.63E-08,0.000000172,1.79E-07,,2.35E-07,3.45E-07,1.0145E-07,-1.70E-07,1.01E-07,-1.70E-07,,,2.90E-07,,-3.44E-08,,-3.44E-08,,6.50E-07,3.31E-07,1.28E-12
-2.79E-08,-1.01E-08,8.99E-08,0.000000122,7.32E-08,0.000000279,-6.41E-08,-9.55E-08,0.000000136,7.31E-08,5.76E-08,,3.97E-07,3.74E-07,1.7901E-07,-5.73E-08,1.79E-07,-5.73E-08,,,3.86E-07,,6.09E-08,,6.09E-08,,3.41E-07,-2.79E-08,-1.09E-13
5.23E-08,-3.61E-08,0.00000011,7.77E-08,0.000000135,0.000000194,-1.26E-09,0.000000103,0.000000197,-7.84E-08,7.53E-08,,2.38E-07,3.99E-07,5.756E-08,-3.58E-08,5.76E-08,-3.58E-08,,,3.18E-07,,1.09E-08,,1.09E-08,,3.37E-07,5.23E-08,2.02E-13
7.80E-10,0.000000196,0.000000135,0.000000113,-2.34E-08,0.000000146,-8.42E-08,0.000000122,-0.000000127,6.24E-08,5.41E-08,,2.76E-07,2.76E-07,7.5324E-08,-1.47E-07,7.53E-08,-1.47E-07,,,2.76E-07,,-3.58E-08,,-3.58E-08,,4.53E-07,7.80E-10,3.00E-15
-2.99E-07,0.000000276,8.38E-08,3.06E-08,0.000000198,9.99E-08,3.04E-09,9.04E-08,4.13E-08,0.00000021,7.34E-08,,3.07E-07,1.50E-07,5.4058E-08,6.58E-09,5.41E-08,6.58E-09,,,2.28E-07,,3.03E-08,,3.03E-08,,1.20E-06,-2.99E-07,-1.16E-12
