3.82E-11,9.07E-11,5.17E-11,9.72E-11,1.02E-10,7.61E-11,3.81E-11,6.85E-11,4.18E-11,7.53E-11,6.80E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.64E-05,9.84E-06,3.82E-11
8.57E-11,3.69E-11,1.92E-11,5.27E-11,5.44E-11,5.26E-11,4.08E-11,5.71E-11,3.55E-11,5E-11,4.85E-11,,2.92E-05,8.39E-01,0.000017519,5.03E-01,6.80E-11,1.95E-06,,,4.19E-01,,2.52E-01,,9.75E-07,,3.73E-05,2.21E-05,8.57E-11
1.96E-06,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,1.95E-06,,2.10E-05,1.68E+00,0.000012488,1.00E+00,4.85E-11,3.90E-06,,,8.38E-01,,5.03E-01,,1.95E-06,,0.84112,0.50467,1.96E-06
3.91E-06,0.0000039,0.0000039,0.0000039,0.0000039,0.0000039,0.0000039,0.0000039,0.0000039,0.0000039,3.90E-06,,8.39E-01,2.51E+00,0.503243,1.51E+00,1.95E-06,5.84E-06,,,1.67E+00,,1.00E+00,,3.90E-06,,1.6797,1.0078,3.91E-06
5.86E-06,0.00000585,0.00000584,0.00000584,0.00000584,0.00000584,0.00000584,0.00000584,0.00000584,0.00000584,5.84E-06,,1.68E+00,3.35E+00,1.00514,2.01E+00,3.90E-06,7.79E-06,,,2.51E+00,,1.51E+00,,5.84E-06,,2.5182,1.5109,5.86E-06
7.80E-06,0.00000779,0.00000779,0.00000779,0.00000778,0.00000778,0.00000778,0.00000778,0.00000778,0.00000778,7.79E-06,,2.51E+00,4.18E+00,1.50682,2.51E+00,5.84E-06,9.72E-06,,,3.35E+00,,2.01E+00,,7.78E-06,,3.3556,2.0133,7.80E-06
9.74E-06,0.00000972,0.00000972,0.00000972,0.00000972,0.00000972,0.00000972,0.00000972,0.00000972,0.00000972,9.72E-06,,3.35E+00,5.02E+00,2.00793,3.01E+00,7.79E-06,1.17E-05,,,4.18E+00,,2.51E+00,,9.74E-06,,4.1932,2.5159,9.74E-06
1.17E-05,0.0000117,0.0000117,0.0000117,0.0000117,0.0000117,0.0000117,0.0000117,0.0000117,0.0000117,1.17E-05,,4.18E+00,5.85E+00,2.50866,3.51E+00,9.72E-06,1.36E-05,,,5.02E+00,,3.01E+00,,1.17E-05,,5.0314,3.0188,1.17E-05
1.37E-05,0.0000136,0.0000136,0.0000136,0.0000136,0.0000136,0.0000136,0.0000136,0.0000136,0.0000136,1.36E-05,,5.02E+00,6.69E+00,3.01045,4.01E+00,1.17E-05,1.56E-05,,,5.85E+00,,3.51E+00,,1.36E-05,,5.8755,3.5253,1.37E-05
1.56E-05,0.0000156,0.0000156,0.0000156,0.0000156,0.0000156,0.0000155,0.0000155,0.0000155,0.0000155,1.56E-05,,5.85E+00,7.52E+00,3.51268,4.51E+00,1.36E-05,1.75E-05,,,6.69E+00,,4.01E+00,,1.56E-05,,6.7092,4.0255,1.56E-05
1.76E-05,0.0000175,0.0000175,0.0000175,0.0000175,0.0000175,0.0000175,0.0000175,0.0000175,0.0000175,1.75E-05,,6.69E+00,8.36E+00,4.01437,5.02E+00,1.56E-05,1.95E-05,,,7.53E+00,,4.52E+00,,1.75E-05,,7.5428,4.5257,1.76E-05
