3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
5.71E-10,6.39E-10,2.77E-10,4.58E-10,2.36E-10,7.74E-11,5.06E-10,3.23E-10,4.76E-10,7.28E-11,3.64E-10,,2.03E-04,4.00E+00,0.00012182,2.40E+00,4.73E-10,9.30E-06,,,2.00E+00,,1.20E+00,,4.65E-06,,0.00024667,0.00014721,5.71E-10
6.46E-06,0.0000084,0.00000861,0.00000864,0.00000864,0.0000109,0.0000109,0.0000109,0.00000867,0.00000869,9.08E-06,,1.56E-04,8.09E+00,0.000093815,4.85E+00,3.64E-10,1.88E-05,,,4.04E+00,,2.43E+00,,9.42E-06,,2.7761,1.6657,6.46E-06
1.29E-05,0.0000169,0.0000173,0.0000173,0.0000173,0.0000218,0.0000218,0.0000218,0.0000173,0.0000174,1.82E-05,,3.91E+00,1.22E+01,2.34331,7.31E+00,9.08E-06,2.83E-05,,,8.04E+00,,4.83E+00,,1.87E-05,,5.5385,3.3231,1.29E-05
2.34E-05,0.0000253,0.0000259,0.0000259,0.0000259,0.0000327,0.0000327,0.0000327,0.0000259,0.0000261,2.77E-05,,7.81E+00,1.60E+01,4.68371,9.57E+00,1.82E-05,3.71E-05,,,1.19E+01,,7.13E+00,,2.76E-05,,10.076,6.0454,2.34E-05
3.19E-05,0.0000338,0.0000345,0.0000345,0.0000345,0.0000435,0.0000435,0.0000436,0.0000346,0.0000347,3.69E-05,,1.19E+01,1.99E+01,7.12848,1.20E+01,2.77E-05,4.64E-05,,,1.59E+01,,9.54E+00,,3.70E-05,,13.711,8.2266,3.19E-05
4.05E-05,0.0000422,0.0000431,0.0000431,0.0000431,0.0000544,0.0000544,0.0000544,0.0000432,0.0000433,4.62E-05,,1.59E+01,2.39E+01,9.51654,1.44E+01,3.69E-05,5.57E-05,,,1.99E+01,,1.19E+01,,4.63E-05,,17.403,10.442,4.05E-05
4.91E-05,0.0000511,0.0000517,0.0000517,0.0000518,0.0000653,0.0000653,0.0000653,0.0000518,0.0000521,5.55E-05,,1.98E+01,2.79E+01,11.9083,1.67E+01,4.62E-05,6.50E-05,,,2.39E+01,,1.43E+01,,5.56E-05,,21.117,12.67,4.91E-05
5.77E-05,0.0000598,0.0000603,0.0000604,0.0000605,0.0000761,0.0000762,0.0000762,0.0000605,0.0000608,6.49E-05,,2.39E+01,3.19E+01,14.3186,1.91E+01,5.55E-05,7.42E-05,,,2.79E+01,,1.67E+01,,6.49E-05,,24.808,14.885,5.77E-05
6.61E-05,0.0000683,0.000069,0.0000691,0.0000692,0.000087,0.0000871,0.0000871,0.0000692,0.0000695,7.42E-05,,2.79E+01,3.59E+01,16.7212,2.15E+01,6.49E-05,8.35E-05,,,3.19E+01,,1.91E+01,,7.42E-05,,28.414,17.049,6.61E-05
7.45E-05,0.0000768,0.0000776,0.0000777,0.0000779,0.0000979,0.000098,0.000098,0.0000779,0.0000781,8.34E-05,,3.19E+01,3.99E+01,19.1212,2.39E+01,7.42E-05,9.28E-05,,,3.59E+01,,2.15E+01,,8.35E-05,,32.036,19.222,7.45E-05
8.29E-05,0.0000854,0.0000862,0.0000863,0.0000865,0.00010874,0.00010881,0.00010884,0.0000866,0.000087,9.27E-05,,3.59E+01,3.98E+01,21.5149,2.39E+01,8.34E-05,9.27E-05,,,3.79E+01,,2.27E+01,,8.81E-05,,35.635,21.381,8.29E-05
8.33E-05,0.0000855,0.0000865,0.0000863,0.0000865,0.00010875,0.00010881,0.00010883,0.0000867,0.000087,9.28E-05,,3.98E+01,,23.9093,,9.27E-05,,,,2.03E+00,,-1.22E+00,,-4.73E-06,,35.779,21.467,8.33E-05
7.49E-05,0.0000772,0.0000776,0.0000776,0.0000778,0.0000979,0.000098,0.000098,0.0000779,0.0000782,8.35E-05,,3.99E+01,,23.9307,,9.28E-05,,,,4.05E+00,,-2.43E+00,,-9.42E-06,,32.201,19.321,7.49E-05
