Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
0.05	2.72E-05	2.72E-05	1.05E-10	3.88E-07	-1.76E-07	-6.84E-13	0.00015614	9.37E-05	3.64E-10	2.56E-05	1.54E-05	5.96E-11	3.73E-05	2.21E-05	8.57E-11	2.07E-06	-1.22E-06	-4.72E-12	0.00024667	0.00014721	5.71E-10
0.1	0.65	0.65	2.52E-06	2.41E-07	-2.85E-08	-1.11E-13	2.7741	1.6644	6.46E-06	0.46016	0.27609	1.07E-06	0.84112	0.50467	1.96E-06	2.67E-06	1.60E-06	6.21E-12	2.7761	1.6657	6.46E-06
0.15	1.298	1.298	5.04E-06	7.91E-07	-1.36E-07	-5.25E-13	5.541	3.3246	1.29E-05	0.91928	0.55157	2.14E-06	1.6797	1.0078	3.91E-06	1.17E-06	3.32E-07	1.29E-12	5.5385	3.3231	1.29E-05
0.2	1.948	1.948	7.55E-06	7.69E-07	-3.53E-07	-1.37E-12	8.3068	4.9841	1.94E-05	1.3785	0.8271	3.21E-06	2.5182	1.5109	5.86E-06	1.06E-06	4.12E-07	1.60E-12	10.076	6.0454	2.34E-05
0.25	2.594	2.594	1.01E-05	3.48E-07	-1.95E-08	-7.58E-14	11.069	6.6416	2.58E-05	1.8373	1.1024	4.28E-06	3.3556	2.0133	7.80E-06	2.27E-06	8.86E-08	3.43E-13	13.711	8.2266	3.19E-05
0.3	3.24	3.24	1.26E-05	6.50E-07	3.31E-07	1.28E-12	13.83	8.2982	3.22E-05	2.2963	1.3778	5.34E-06	4.1932	2.5159	9.74E-06	1.62E-06	-7.85E-07	-3.05E-12	17.403	10.442	4.05E-05
0.35	3.89	3.89	1.51E-05	3.41E-07	-2.79E-08	-1.09E-13	16.597	9.9581	3.86E-05	2.7566	1.6539	6.42E-06	5.0314	3.0188	1.17E-05	8.90E-07	-5.34E-07	-2.07E-12	21.117	12.67	4.91E-05
0.4	4.538	4.538	1.76E-05	3.37E-07	5.23E-08	2.02E-13	19.364	11.618	4.51E-05	3.217	1.9302	7.49E-06	5.8755	3.5253	1.37E-05	1.07E-06	-5.61E-07	-2.18E-12	24.808	14.885	5.77E-05
0.45	5.184	5.184	2.01E-05	4.53E-07	7.80E-10	3.00E-15	22.132	13.279	5.15E-05	3.6776	2.2066	8.56E-06	6.7092	4.0255	1.56E-05	5.03E-07	-2.46E-08	-9.36E-14	28.414	17.049	6.61E-05
0.5	5.828	5.828	2.26E-05	1.20E-06	-2.99E-07	-1.16E-12	24.895	14.937	5.79E-05	4.1378	2.4827	9.62E-06	7.5428	4.5257	1.76E-05	6.85E-07	2.42E-07	9.36E-13	32.036	19.222	7.45E-05
0.5	6.472	6.472	2.51E-05	3.64E-07	1.85E-07	7.15E-13	27.657	16.594	6.44E-05	4.5986	2.7591	1.07E-05	8.3759	5.0256	1.95E-05	1.89E-07	5.51E-08	2.14E-13	35.635	21.381	8.29E-05
