YSR-25-Series		25A			25B 			25C			25D			25E			25F			25G	
Voltage	AbsJ	J	I	AbsJ	J	I	AbsJ	J	I	AbsJ	J	I	AbsJ	J	I	AbsJ	J	I	AbsJ	J	I
0.05	6.50E-01	6.50E-01	2.85E-11	2.85E-07	-9.97E-08	-9.97E-08	2.771028431	1.662623061	6.45E-06	0.459566275	0.27573934	1.07E-06	0.837510476	0.502501244	1.95E-06	1.75E-06	-9.86E-07	-3.83E-12	4.04396825	2.426386908	9.42E-06
0.1	1.30E+00	1.30E+00	3.69E-11	3.69E-07	-6.41E-08	-6.41E-08	5.54135	3.324815	0.000012884	0.919126	0.551475	0.00000214	1.6749395	1.0049715	0.000003897	2.46E-06	-9.26E-07	-3.60E-12	8.042555	4.82551	1.87E-05
0.15	1.95E+00	1.95E+00	3.62E-11	3.62E-07	-7.95E-08	-7.95E-08	8.30655	4.98393	0.000019345	1.3780385	0.8268245	0.000003209	2.51098	1.506585	5.84E-06	1.45E-06	6.90E-07	2.67E-12	11.87985	7.1279	0.000027645
0.2	2.60E+00	2.60E+00	3.32E-11	3.32E-07	1.74E-08	1.74E-08	11.07048	6.64227	0.000025755	1.836995	1.102188	0.000004275	3.346325	2.007795	7.78E-06	1.17E-06	5.45E-07	2.12E-12	15.90805	9.54489	0.000037015
0.25	3.24E+00	3.24E+00	2.90E-11	2.90E-07	-3.44E-08	-3.44E-08	13.83545	8.30133	0.000032205	2.296435	1.377865	5.35E-06	4.18216	2.5093	9.74E-06	1.86E-06	8.42E-07	3.26E-12	19.8925	11.93552	0.00004629
0.3	3.89E+00	3.89E+00	3.86E-11	3.86E-07	6.09E-08	6.09E-08	16.60015	9.96008	0.00003865	2.756075	1.65364	0.000006412	5.017645	3.01059	0.000011666	1.38E-06	5.10E-07	1.98E-12	23.8813	14.32885	0.000055565
0.35	4.54E+00	4.54E+00	3.18E-11	3.18E-07	1.09E-08	1.09E-08	19.36785	11.62065	0.00004506	3.216325	1.929785	7.49E-06	5.8533	3.511975	0.00001363	7.47E-07	1.86E-07	7.22E-13	27.88415	16.73035	0.000064875
0.4	5.19E+00	5.19E+00	2.76E-11	2.76E-07	-3.58E-08	-3.58E-08	22.1336	13.2801	0.000051515	3.676755	2.20604	0.000008547	6.6896	4.01376	0.000015555	6.63E-07	1.53E-07	5.91E-13	31.87875	19.12725	0.00007418
0.45	5.83E+00	5.83E+00	2.28E-11	2.28E-07	3.03E-08	3.03E-08	24.89915	14.9394	0.00005795	4.13735	2.48242	0.00000963	7.525255	4.515155	0.00001752	5.05E-07	9.46E-08	3.68E-13	35.8766	21.52595	8.35E-05
0.5	6.16E+00	6.16E+00	3.32E-11	3.32E-07	6.29E-08	6.29E-08	26.2811	15.76875	0.000061165	4.36747	2.62048	0.000010155	7.94283	4.7657	0.000018495	5.35E-07	2.96E-07	1.15E-12	37.8533	22.7121	8.81E-05
0	3.24E-01	-3.24E-01	2.03E-11	2.03E-07	7.06E-08	7.06E-08	1.380787807	-0.828326314	-3.21E-06	0.228894835	-0.137313405	-5.30E-07	0.4172916	-0.250358241	-9.70E-07	1.51E-06	-1.10E-07	-4.19E-13	2.029231516	-1.21741409	-4.73E-06
-0.05	6.50E-01	-6.50E-01	3.42E-11	3.42E-07	3.14E-08	3.14E-08	2.764508206	-1.658494077	-6.45E-06	0.45816399	-0.27487385	-1.06E-06	0.83547346	-0.501262095	-1.94E-06	1.77E-06	5.49E-07	2.13E-12	4.052569673	-2.431404197	-9.42E-06
-0.1	1.30E+00	-1.30E+00	2.52E-11	2.52E-07	-3.47E-08	-3.47E-08	5.52836	-3.317025	-1.29E-05	0.9161175	-0.5496695	-2.13E-06	1.6707885	-1.002476	-0.000003888	1.38E-06	4.88E-07	1.90E-12	8.2168	-4.930095	-1.91E-05
-0.15	1.95E+00	-1.95E+00	2.51E-11	2.51E-07	-1.81E-08	-1.81E-08	8.2939	-4.976345	-0.0000193	1.3741305	-0.8244785	-0.000003195	2.506535	-1.50391	-5.83E-06	3.35E-07	-1.41E-07	-5.47E-13	12.404565	-7.44272	-0.000028855
-0.2	2.59E+00	-2.59E+00	2.45E-11	2.45E-07	-2.96E-08	-2.96E-08	11.05846	-6.635085	-0.00002575	1.8318	-1.099087	-0.000004265	3.341985	-2.005185	-7.78E-06	1.74E-06	7.06E-07	2.75E-12	16.5511	-9.93077	-0.000038525
-0.25	3.24E+00	-3.24E+00	9.26E-11	9.26E-07	3.92E-07	3.92E-07	13.82405	-8.294465	-0.000032155	2.289515	-1.373705	-5.33E-06	4.17773	-2.50664	-0.000009739	1.65E-06	6.95E-07	2.70E-12	20.65755	-12.39456	-0.00004807
-0.3	3.88E+00	-3.88E+00	3.67E-11	3.67E-07	-7.12E-08	-7.12E-08	16.5893	-9.95368	-0.00003862	2.747115	-1.648265	-6.39E-06	5.01338	-3.00804	-0.00001166	3.59E-07	-2.03E-07	-7.87E-13	24.71875	-14.8312	-0.000057515
-0.35	4.53E+00	-4.53E+00	4.04E-11	4.04E-07	-1.61E-07	-1.61E-07	19.35765	-11.61465	-0.00004505	3.20527	-1.92317	-0.000007455	5.84997	-3.50998	-0.00001362	5.27E-07	-3.11E-07	-1.21E-12	28.86625	-17.31985	-0.000067185
-0.4	5.17E+00	-5.17E+00	2.45E-11	2.45E-07	-1.32E-08	-1.32E-08	22.1232	-13.2739	-0.00005148	3.66275	-2.197645	-0.00000853	6.68566	-4.0114	-0.00001555	3.76E-07	-2.05E-07	-7.95E-13	33.22935	-19.93755	-0.000077335
-0.45	5.82E+00	-5.82E+00	2.42E-11	2.42E-07	-5.82E-08	-5.82E-08	24.8896	-14.93385	-0.000057925	4.120475	-2.47229	-0.000009566	7.52161	-4.512975	-0.000017495	5.10E-07	-3.04E-07	-1.18E-12	37.6193	-22.57155	-0.000087543
-0.5	6.14E+00	-6.14E+00	2.94E-11	2.94E-07	-1.55E-07	-1.55E-07	26.2709	-15.76265	-0.00006113	4.3491	-2.60946	-0.000010105	7.93906	-4.76343	-0.000018475	5.61E-07	-3.36E-07	-1.30E-12	39.76295	-23.85785	-9.25E-05
