Voltage,Abs_J (Current Density),J (Current Density),Current,Time
0.00E+00,4.01E-05,4.01E-05,1.55E-10,0.00E+00
5.00E-02,6.49E-01,6.49E-01,2.52E-06,7.76E-01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,9.64E-01
1.50E-01,1.95E+00,1.95E+00,7.54E-06,1.15E+00
2.00E-01,2.59E+00,2.59E+00,1.01E-05,1.34E+00
2.50E-01,3.24E+00,3.24E+00,1.26E-05,1.92E+00
3.00E-01,3.89E+00,3.89E+00,1.51E-05,2.10E+00
3.50E-01,4.53E+00,4.53E+00,1.76E-05,2.29E+00
4.00E-01,5.18E+00,5.18E+00,2.01E-05,2.48E+00
4.50E-01,5.82E+00,5.82E+00,2.26E-05,2.67E+00
5.00E-01,6.47E+00,6.47E+00,2.51E-05,2.86E+00
5.00E-01,6.47E+00,6.47E+00,2.51E-05,3.04E+00
4.50E-01,5.82E+00,5.82E+00,2.26E-05,3.23E+00
4.00E-01,5.18E+00,5.18E+00,2.01E-05,3.42E+00
3.50E-01,4.53E+00,4.53E+00,1.76E-05,3.61E+00
3.00E-01,3.88E+00,3.88E+00,1.51E-05,3.80E+00
2.50E-01,3.24E+00,3.24E+00,1.26E-05,3.99E+00
2.00E-01,2.59E+00,2.59E+00,1.00E-05,4.17E+00
1.50E-01,1.94E+00,1.94E+00,7.54E-06,4.55E+00
1.00E-01,1.30E+00,1.30E+00,5.03E-06,4.74E+00
5.00E-02,6.49E-01,6.49E-01,2.52E-06,4.93E+00
0.00E+00,9.42E-06,9.42E-06,3.66E-11,6.24E+00
-5.00E-02,6.46E-01,-6.46E-01,-2.51E-06,7.01E+00
-1.00E-01,1.29E+00,-1.29E+00,-5.01E-06,7.20E+00
-1.50E-01,1.94E+00,-1.94E+00,-7.52E-06,7.39E+00
-2.00E-01,2.58E+00,-2.58E+00,-1.00E-05,7.58E+00
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,8.15E+00
-3.00E-01,3.87E+00,-3.87E+00,-1.50E-05,8.34E+00
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,8.53E+00
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,8.72E+00
-4.50E-01,5.80E+00,-5.80E+00,-2.25E-05,8.91E+00
-5.00E-01,6.44E+00,-6.44E+00,-2.50E-05,9.09E+00
-5.00E-01,6.44E+00,-6.44E+00,-2.50E-05,9.28E+00
-4.50E-01,5.80E+00,-5.80E+00,-2.25E-05,9.47E+00
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,9.66E+00
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,9.85E+00
-3.00E-01,3.87E+00,-3.87E+00,-1.50E-05,1.00E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,1.02E+01
-2.00E-01,2.58E+00,-2.58E+00,-1.00E-05,1.04E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.52E-06,1.08E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,1.10E+01
-5.00E-02,6.46E-01,-6.46E-01,-2.51E-06,1.12E+01
0.00E+00,8.35E-06,8.35E-06,3.24E-11,1.25E+01
0.00E+00,5.69E-06,5.69E-06,2.21E-11,1.30E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,1.38E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,1.40E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,1.41E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,1.43E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,1.49E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,1.51E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,1.53E+01
