Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,3.60E-05,3.60E-05,1.39E-10,0,0,0,0,0,0,0
0.05,1.6842,1.6842,6.53E-06,0.77637,0,0,0,0,0,0
0.1,3.3641,3.3641,1.30E-05,1.3516,0,0,0,0,0,0
0.15,5.0432,5.0432,1.96E-05,1.54,0,0,0,0,0,0
0.2,6.7204,6.7204,2.61E-05,1.7285,0,0,0,0,0,0
0.25,8.3967,8.3967,3.26E-05,1.916,0,0,0,0,0,0
0.3,10.076,10.076,3.91E-05,2.1045,0,0,0,0,0,0
0.35,11.756,11.756,4.56E-05,2.292,0,0,0,0,0,0
0.4,13.437,13.437,5.21E-05,2.4805,0,0,0,0,0,0
0.45,15.114,15.114,5.86E-05,2.6689,0,0,0,0,0,0
0.5,16.791,16.791,6.51E-05,2.8564,0,0,0,0,0,0
0.5,16.791,16.791,6.51E-05,3.0449,0,0,0,0,0,0
0.45,15.114,15.114,5.86E-05,3.2334,0,0,0,0,0,0
0.4,13.436,13.436,5.21E-05,3.4209,0,0,0,0,0,0
0.35,11.755,11.755,4.56E-05,3.6094,0,0,0,0,0,0
0.3,10.075,10.075,3.91E-05,3.7969,0,0,0,0,0,0
0.25,8.3957,8.3957,3.26E-05,3.9854,0,0,0,0,0,0
0.2,6.7195,6.7195,2.61E-05,4.1738,0,0,0,0,0,0
0.15,5.0426,5.0426,1.96E-05,4.3613,0,0,0,0,0,0
0.1,3.3637,3.3637,1.30E-05,4.5498,0,0,0,0,0,0
0.05,1.684,1.684,6.53E-06,4.9316,0,0,0,0,0,0
0,4.58E-05,4.58E-05,1.78E-10,5.7305,0,0,0,0,0,0
-0.05,1.6762,-1.6762,-6.50E-06,6.5068,0,0,0,0,0,0
-0.1,3.3565,-3.3565,-1.30E-05,7.082,0,0,0,0,0,0
-0.15,5.0364,-5.0364,-1.95E-05,7.2705,0,0,0,0,0,0
-0.2,6.7144,-6.7144,-2.60E-05,7.458,0,0,0,0,0,0
-0.25,8.3918,-8.3918,-3.25E-05,7.6465,0,0,0,0,0,0
-0.3,10.072,-10.072,-3.91E-05,7.835,0,0,0,0,0,0
-0.35,11.754,-11.754,-4.56E-05,8.0225,0,0,0,0,0,0
-0.4,13.435,-13.435,-5.21E-05,8.2109,0,0,0,0,0,0
-0.45,15.113,-15.113,-5.86E-05,8.3994,0,0,0,0,0,0
-0.5,16.792,-16.792,-6.51E-05,8.5869,0,0,0,0,0,0
-0.5,16.792,-16.792,-6.51E-05,8.7754,0,0,0,0,0,0
-0.45,15.114,-15.114,-5.86E-05,8.9629,0,0,0,0,0,0
-0.4,13.436,-13.436,-5.21E-05,9.1514,0,0,0,0,0,0
-0.35,11.755,-11.755,-4.56E-05,9.3398,0,0,0,0,0,0
-0.3,10.074,-10.074,-3.91E-05,9.5273,0,0,0,0,0,0
-0.25,8.3931,-8.3931,-3.26E-05,9.7158,0,0,0,0,0,0
-0.2,6.7156,-6.7156,-2.60E-05,9.9043,0,0,0,0,0,0
-0.15,5.0373,-5.0373,-1.95E-05,10.092,0,0,0,0,0,0
-0.1,3.3573,-3.3573,-1.30E-05,10.28,0,0,0,0,0,0
-0.05,1.6767,-1.6767,-6.50E-06,10.662,0,0,0,0,0,0
0,0.00031393,0.00031393,1.22E-09,11.237,0,0,0,0,0,0
0,0.00032678,0.00032678,1.27E-09,11.426,0,0,0,0,0,0
0.05,1.6847,1.6847,6.53E-06,11.808,0,0,0,0,0,0
0.1,3.365,3.365,1.31E-05,12.383,0,0,0,0,0,0
0.15,5.0444,5.0444,1.96E-05,12.571,0,0,0,0,0,0
0.2,6.7217,6.7217,2.61E-05,12.759,0,0,0,0,0,0
0.25,8.3978,8.3978,3.26E-05,12.947,0,0,0,0,0,0
0.3,10.077,10.077,3.91E-05,13.136,0,0,0,0,0,0
0.35,11.757,11.757,4.56E-05,13.323,0,0,0,0,0,0
0.4,13.437,13.437,5.21E-05,13.512,0,0,0,0,0,0
0.45,15.114,15.114,5.86E-05,13.7,0,0,0,0,0,0
0.5,16.79,16.79,6.51E-05,13.888,0,0,0,0,0,0
0.5,16.79,16.79,6.51E-05,14.076,0,0,0,0,0,0
0.45,15.112,15.112,5.86E-05,14.264,0,0,0,0,0,0
0.4,13.435,13.435,5.21E-05,14.452,0,0,0,0,0,0
0.35,11.754,11.754,4.56E-05,14.641,0,0,0,0,0,0
0.3,10.074,10.074,3.91E-05,14.828,0,0,0,0,0,0
0.25,8.3948,8.3948,3.26E-05,15.017,0,0,0,0,0,0
0.2,6.7189,6.7189,2.61E-05,15.205,0,0,0,0,0,0
