Voltage,Abs_J,J,Current,Time,0,0,0,0,0,0
0,1.64E-06,-1.64E-06,-6.35E-12,0,0,0,0,0,0,0
0.05,3.58E-07,3.58E-07,1.39E-12,0.52344,0,0,0,0,0,0
0.1,3.21E-07,-3.21E-07,-1.25E-12,1.0469,0,0,0,0,0,0
0.15,2.69E-07,-2.69E-07,-1.04E-12,1.5703,0,0,0,0,0,0
0.2,1.11E-07,-1.11E-07,-4.30E-13,2.0938,0,0,0,0,0,0
0.25,3.44E-07,-3.44E-07,-1.33E-12,2.6172,0,0,0,0,0,0
0.3,3.59E-07,-3.59E-07,-1.39E-12,3.1406,0,0,0,0,0,0
0.35,1.04E-06,-1.04E-06,-4.05E-12,3.6641,0,0,0,0,0,0
0.4,6.12E-07,6.12E-07,2.38E-12,4.1875,0,0,0,0,0,0
0.45,1.05E-06,1.05E-06,4.05E-12,4.7109,0,0,0,0,0,0
0.5,2.27E-07,2.27E-07,8.80E-13,5.2344,0,0,0,0,0,0
0.5,9.77E-07,-9.77E-07,-3.79E-12,5.7578,0,0,0,0,0,0
0.45,6.57E-06,-6.57E-06,-2.55E-11,6.2812,0,0,0,0,0,0
0.4,6.52E-06,-6.52E-06,-2.53E-11,6.8047,0,0,0,0,0,0
0.35,5.45E-05,5.45E-05,2.11E-10,7.9629,0,0,0,0,0,0
0.3,8.47E-05,8.47E-05,3.28E-10,8.1514,0,0,0,0,0,0
0.25,3.96E-05,3.96E-05,1.54E-10,8.3398,0,0,0,0,0,0
0.2,9.58E-06,9.58E-06,3.72E-11,9.2354,0,0,0,0,0,0
0.15,6.00E-06,6.00E-06,2.33E-11,9.7588,0,0,0,0,0,0
0.1,3.31E-08,3.31E-08,1.28E-13,10.282,0,0,0,0,0,0
0.05,4.76E-07,4.76E-07,1.85E-12,10.806,0,0,0,0,0,0
0,2.39E-06,-2.39E-06,-9.26E-12,11.329,0,0,0,0,0,0
-0.05,3.31E-06,-3.31E-06,-1.28E-11,11.854,0,0,0,0,0,0
-0.1,1.05E-06,-1.05E-06,-4.06E-12,12.377,0,0,0,0,0,0
-0.15,8.97E-07,-8.97E-07,-3.48E-12,12.9,0,0,0,0,0,0
-0.2,8.33E-07,-8.33E-07,-3.23E-12,13.424,0,0,0,0,0,0
-0.25,8.39E-07,-8.39E-07,-3.25E-12,13.947,0,0,0,0,0,0
-0.3,7.59E-07,-7.59E-07,-2.94E-12,14.471,0,0,0,0,0,0
-0.35,9.18E-07,-9.18E-07,-3.56E-12,14.994,0,0,0,0,0,0
-0.4,8.81E-07,-8.81E-07,-3.42E-12,15.518,0,0,0,0,0,0
-0.45,8.73E-07,-8.73E-07,-3.38E-12,16.041,0,0,0,0,0,0
-0.5,8.90E-07,-8.90E-07,-3.45E-12,16.564,0,0,0,0,0,0
-0.5,7.27E-07,-7.27E-07,-2.82E-12,17.088,0,0,0,0,0,0
-0.45,5.78E-07,-5.78E-07,-2.24E-12,17.611,0,0,0,0,0,0
